ITER 0 - 24:
	(0x402dd2, 0, 3, 139793782603848, 0x00007f2446c10048, 8);
	(0x402dda, 0, 3, 139793782603920, 0x00007f2446c10090, 16);
	(0x402de3, 0, 3, 139793782604080, 0x00007f2446c10130, 48);
	(0x402df1, 0, 3, 139793782604008, 0x00007f2446c100e8, 40);
	(0x402dfa, 0, 1, 139793782603848, 0x00007f2446c10048, 8);
	(0x402dfe, 0, 1, 139793782604008, 0x00007f2446c100e8, 40);
	(0x402e06, 0, 3, 139793782604240, 0x00007f2446c101d0, 16);
	(0x402e0b, 0, 3, 139793782604400, 0x00007f2446c10270, 48);
	(0x402e19, 0, 3, 139793782604168, 0x00007f2446c10188, 8);
	(0x402e1d, 0, 3, 139793782604328, 0x00007f2446c10228, 40);
	(0x402e26, 0, 1, 139793782604168, 0x00007f2446c10188, 8);
	(0x402e2a, 0, 1, 139793782604328, 0x00007f2446c10228, 40);
	(0x402e32, 0, 3, 139793782604560, 0x00007f2446c10310, 16);
	(0x402e37, 0, 3, 139793782604720, 0x00007f2446c103b0, 48);
	(0x402e46, 0, 3, 139793782604488, 0x00007f2446c102c8, 8);
	(0x402e4e, 0, 3, 139793782604648, 0x00007f2446c10368, 40);
	(0x402e58, 0, 1, 139793782604488, 0x00007f2446c102c8, 8);
	(0x402e5d, 0, 1, 139793782604648, 0x00007f2446c10368, 40);
	(0x402e66, 0, 3, 139793782604880, 0x00007f2446c10450, 16);
	(0x402e6b, 0, 3, 139793782605040, 0x00007f2446c104f0, 48);
	(0x402e76, 0, 3, 139793782604808, 0x00007f2446c10408, 8);
	(0x402e7b, 0, 3, 139793782604968, 0x00007f2446c104a8, 40);
	(0x402e86, 0, 1, 139793782604808, 0x00007f2446c10408, 8);
	(0x402e8b, 0, 1, 139793782604968, 0x00007f2446c104a8, 40);

ITER 1 - 24:
	(0x402dd2, 1, 3, 139793782605128, 0x00007f2446c10548, 8);
	(0x402dda, 1, 3, 139793782605200, 0x00007f2446c10590, 16);
	(0x402de3, 1, 3, 139793782605360, 0x00007f2446c10630, 48);
	(0x402df1, 1, 3, 139793782605288, 0x00007f2446c105e8, 40);
	(0x402dfa, 1, 1, 139793782605128, 0x00007f2446c10548, 8);
	(0x402dfe, 1, 1, 139793782605288, 0x00007f2446c105e8, 40);
	(0x402e06, 1, 3, 139793782605520, 0x00007f2446c106d0, 16);
	(0x402e0b, 1, 3, 139793782605680, 0x00007f2446c10770, 48);
	(0x402e19, 1, 3, 139793782605448, 0x00007f2446c10688, 8);
	(0x402e1d, 1, 3, 139793782605608, 0x00007f2446c10728, 40);
	(0x402e26, 1, 1, 139793782605448, 0x00007f2446c10688, 8);
	(0x402e2a, 1, 1, 139793782605608, 0x00007f2446c10728, 40);
	(0x402e32, 1, 3, 139793782605840, 0x00007f2446c10810, 16);
	(0x402e37, 1, 3, 139793782606000, 0x00007f2446c108b0, 48);
	(0x402e46, 1, 3, 139793782605768, 0x00007f2446c107c8, 8);
	(0x402e4e, 1, 3, 139793782605928, 0x00007f2446c10868, 40);
	(0x402e58, 1, 1, 139793782605768, 0x00007f2446c107c8, 8);
