ITER 0 - 16:
	(0x402d8f, 0, 3, 139728853651520, 0x00007f1528afd040, 0);
	(0x402d99, 0, 1, 139728853651520, 0x00007f1528afd040, 0);
	(0x402da3, 0, 3, 139728853675524, 0x00007f1528b02e04, 4);
	(0x402dae, 0, 1, 139728853675524, 0x00007f1528b02e04, 4);
	(0x402db9, 0, 3, 139728853699528, 0x00007f1528b08bc8, 8);
	(0x402dc4, 0, 1, 139728853699528, 0x00007f1528b08bc8, 8);
	(0x402dd0, 0, 3, 139728853723532, 0x00007f1528b0e98c, 12);
	(0x402ddb, 0, 1, 139728853723532, 0x00007f1528b0e98c, 12);
	(0x402de6, 0, 3, 139728853747536, 0x00007f1528b14750, 16);
	(0x402df1, 0, 1, 139728853747536, 0x00007f1528b14750, 16);
	(0x402dfc, 0, 3, 139728853771540, 0x00007f1528b1a514, 20);
	(0x402e07, 0, 1, 139728853771540, 0x00007f1528b1a514, 20);
	(0x402e13, 0, 3, 139728853795544, 0x00007f1528b202d8, 24);
	(0x402e1e, 0, 1, 139728853795544, 0x00007f1528b202d8, 24);
	(0x402e29, 0, 3, 139728853819548, 0x00007f1528b2609c, 28);
	(0x402e39, 0, 1, 139728853819548, 0x00007f1528b2609c, 28);

ITER 1 - 16:
	(0x402d8f, 1, 3, 139728853843552, 0x00007f1528b2be60, 32);
	(0x402d99, 1, 1, 139728853843552, 0x00007f1528b2be60, 32);
	(0x402da3, 1, 3, 139728853867556, 0x00007f1528b31c24, 36);
	(0x402dae, 1, 1, 139728853867556, 0x00007f1528b31c24, 36);
	(0x402db9, 1, 3, 139728853891560, 0x00007f1528b379e8, 40);
	(0x402dc4, 1, 1, 139728853891560, 0x00007f1528b379e8, 40);
	(0x402dd0, 1, 3, 139728853915564, 0x00007f1528b3d7ac, 44);
	(0x402ddb, 1, 1, 139728853915564, 0x00007f1528b3d7ac, 44);
	(0x402de6, 1, 3, 139728853939568, 0x00007f1528b43570, 48);
	(0x402df1, 1, 1, 139728853939568, 0x00007f1528b43570, 48);
	(0x402dfc, 1, 3, 139728853963572, 0x00007f1528b49334, 52);
	(0x402e07, 1, 1, 139728853963572, 0x00007f1528b49334, 52);
	(0x402e13, 1, 3, 139728853987576, 0x00007f1528b4f0f8, 56);
	(0x402e1e, 1, 1, 139728853987576, 0x00007f1528b4f0f8, 56);
	(0x402e29, 1, 3, 139728854011580, 0x00007f1528b54ebc, 60);
	(0x402e39, 1, 1, 139728854011580, 0x00007f1528b54ebc, 60);

ITER 2 - 16:
	(0x402d8f, 2, 3, 139728854035584, 0x00007f1528b5ac80, 0);
	(0x402d99, 2, 1, 139728854035584, 0x00007f1528b5ac80, 0);
	(0x402da3, 2, 3, 139728854059588, 0x00007f1528b60a44, 4);
	(0x402dae, 2, 1, 139728854059588, 0x00007f1528b60a44, 4);
	(0x402db9, 2, 3, 139728854083592, 0x00007f1528b66808, 8);
	(0x402dc4, 2, 1, 139728854083592, 0x00007f1528b66808, 8);
	(0x402dd0, 2, 3, 139728854107596, 0x00007f1528b6c5cc, 12);
	(0x402ddb, 2, 1, 139728854107596, 0x00007f1528b6c5cc, 12);
	(0x402de6, 2, 3, 139728854131600, 0x00007f1528b72390, 16);
	(0x402df1, 2, 1, 139728854131600, 0x00007f1528b72390, 16);
	(0x402dfc, 2, 3, 139728854155604, 0x00007f1528b78154, 20);
	(0x402e07, 2, 1, 139728854155604, 0x00007f1528b78154, 20);
	(0x402e13, 2, 3, 139728854179608, 0x00007f1528b7df18, 24);
