ITER 0 - 21:
	(0x402ffb, 0, 3, 139744515284112, 0x00007f18ce315c90, 16);
	(0x403004, 0, 1, 139744515278448, 0x00007f18ce314670, 48);
	(0x40300b, 0, 1, 139744515281288, 0x00007f18ce315188, 8);
	(0x403011, 0, 1, 139744515281280, 0x00007f18ce315180, 0);
	(0x403021, 0, 1, 139744515281272, 0x00007f18ce315178, 56);
	(0x403031, 0, 1, 139744515281296, 0x00007f18ce315190, 16);
	(0x403050, 0, 1, 139744515281336, 0x00007f18ce3151b8, 56);
	(0x403055, 0, 3, 139744516284800, 0x00007f18ce40a180, 0);
	(0x40305f, 0, 1, 139744515284128, 0x00007f18ce315ca0, 32);
	(0x403065, 0, 1, 139744515278464, 0x00007f18ce314680, 0);
	(0x40306c, 0, 1, 139744515281304, 0x00007f18ce315198, 24);
	(0x403086, 0, 3, 139744515284160, 0x00007f18ce315cc0, 0);
	(0x40308c, 0, 1, 139744515278496, 0x00007f18ce3146a0, 32);
	(0x40309c, 0, 1, 139744515281312, 0x00007f18ce3151a0, 32);
	(0x4030a2, 0, 1, 139744516284816, 0x00007f18ce40a190, 16);
	(0x4030ad, 0, 1, 139744515281320, 0x00007f18ce3151a8, 40);
	(0x4030b7, 0, 1, 139744515281328, 0x00007f18ce3151b0, 48);
	(0x4030c1, 0, 1, 139744515284144, 0x00007f18ce315cb0, 48);
	(0x4030cb, 0, 1, 139744515278480, 0x00007f18ce314690, 16);
	(0x4030e8, 0, 1, 139744516284832, 0x00007f18ce40a1a0, 32);
	(0x403105, 0, 1, 139744516284848, 0x00007f18ce40a1b0, 48);

ITER 1 - 21:
	(0x402ffb, 1, 1, 139744515284176, 0x00007f18ce315cd0, 16);
	(0x403004, 1, 1, 139744515278512, 0x00007f18ce3146b0, 48);
	(0x40300b, 1, 1, 139744515281352, 0x00007f18ce3151c8, 8);
	(0x403011, 1, 1, 139744515281344, 0x00007f18ce3151c0, 0);
