ITER 0 - 21:
	(0x402ffb, 0, 3, 139744515281280, 0x00007f18ce315180, 0);
	(0x403004, 0, 3, 139744515275616, 0x00007f18ce313b60, 32);
	(0x40300b, 0, 3, 139744515278456, 0x00007f18ce314678, 56);
	(0x403011, 0, 1, 139744515278448, 0x00007f18ce314670, 48);
	(0x403021, 0, 1, 139744515278440, 0x00007f18ce314668, 40);
	(0x403031, 0, 3, 139744515278464, 0x00007f18ce314680, 0);
	(0x403050, 0, 1, 139744515278504, 0x00007f18ce3146a8, 40);
	(0x403055, 0, 3, 139744516281968, 0x00007f18ce409670, 48);
	(0x40305f, 0, 1, 139744515281296, 0x00007f18ce315190, 16);
	(0x403065, 0, 1, 139744515275632, 0x00007f18ce313b70, 48);
	(0x40306c, 0, 1, 139744515278472, 0x00007f18ce314688, 8);
	(0x403086, 0, 1, 139744515281328, 0x00007f18ce3151b0, 48);
	(0x40308c, 0, 3, 139744515275664, 0x00007f18ce313b90, 16);
	(0x40309c, 0, 1, 139744515278480, 0x00007f18ce314690, 16);
	(0x4030a2, 0, 3, 139744516281984, 0x00007f18ce409680, 0);
	(0x4030ad, 0, 1, 139744515278488, 0x00007f18ce314698, 24);
	(0x4030b7, 0, 1, 139744515278496, 0x00007f18ce3146a0, 32);
	(0x4030c1, 0, 1, 139744515281312, 0x00007f18ce3151a0, 32);
	(0x4030cb, 0, 1, 139744515275648, 0x00007f18ce313b80, 0);
	(0x4030e8, 0, 1, 139744516282000, 0x00007f18ce409690, 16);
	(0x403105, 0, 1, 139744516282016, 0x00007f18ce4096a0, 32);

ITER 1 - 21:
	(0x402ffb, 1, 3, 139744515281344, 0x00007f18ce3151c0, 0);
	(0x403004, 1, 1, 139744515275680, 0x00007f18ce313ba0, 32);
	(0x40300b, 1, 1, 139744515278520, 0x00007f18ce3146b8, 56);
	(0x403011, 1, 1, 139744515278512, 0x00007f18ce3146b0, 48);
	(0x403021, 1, 1, 139744515278504, 0x00007f18ce3146a8, 40);
	(0x403031, 1, 3, 139744515278528, 0x00007f18ce3146c0, 0);
	(0x403050, 1, 1, 139744515278568, 0x00007f18ce3146e8, 40);
	(0x403055, 1, 1, 139744516282032, 0x00007f18ce4096b0, 48);
	(0x40305f, 1, 1, 139744515281360, 0x00007f18ce3151d0, 16);
	(0x403065, 1, 1, 139744515275696, 0x00007f18ce313bb0, 48);
	(0x40306c, 1, 1, 139744515278536, 0x00007f18ce3146c8, 8);
	(0x403086, 1, 1, 139744515281392, 0x00007f18ce3151f0, 48);
	(0x40308c, 1, 3, 139744515275728, 0x00007f18ce313bd0, 16);
	(0x40309c, 1, 1, 139744515278544, 0x00007f18ce3146d0, 16);
	(0x4030a2, 1, 3, 139744516282048, 0x00007f18ce4096c0, 0);
	(0x4030ad, 1, 1, 139744515278552, 0x00007f18ce3146d8, 24);
	(0x4030b7, 1, 1, 139744515278560, 0x00007f18ce3146e0, 32);
	(0x4030c1, 1, 1, 139744515281376, 0x00007f18ce3151e0, 32);
	(0x4030cb, 1, 1, 139744515275712, 0x00007f18ce313bc0, 0);
	(0x4030e8, 1, 1, 139744516282064, 0x00007f18ce4096d0, 16);
	(0x403105, 1, 1, 139744516282080, 0x00007f18ce4096e0, 32);

ITER 2 - 21:
	(0x402ffb, 2, 3, 139744515281408, 0x00007f18ce315200, 0);
	(0x403004, 2, 1, 139744515275744, 0x00007f18ce313be0, 32);
	(0x40300b, 2, 1, 139744515278584, 0x00007f18ce3146f8, 56);
	(0x403011, 2, 1, 139744515278576, 0x00007f18ce3146f0, 48);
	(0x403021, 2, 1, 139744515278568, 0x00007f18ce3146e8, 40);
	(0x403031, 2, 3, 139744515278592, 0x00007f18ce314700, 0);
	(0x403050, 2, 1, 139744515278632, 0x00007f18ce314728, 40);
	(0x403055, 2, 1, 139744516282096, 0x00007f18ce4096f0, 48);
	(0x40305f, 2, 1, 139744515281424, 0x00007f18ce315210, 16);
	(0x403065, 2, 1, 139744515275760, 0x00007f18ce313bf0, 48);
	(0x40306c, 2, 1, 139744515278600, 0x00007f18ce314708, 8);
	(0x403086, 2, 1, 139744515281456, 0x00007f18ce315230, 48);
	(0x40308c, 2, 3, 139744515275792, 0x00007f18ce313c10, 16);
	(0x40309c, 2, 1, 139744515278608, 0x00007f18ce314710, 16);
	(0x4030a2, 2, 3, 139744516282112, 0x00007f18ce409700, 0);
	(0x4030ad, 2, 1, 139744515278616, 0x00007f18ce314718, 24);
	(0x4030b7, 2, 1, 139744515278624, 0x00007f18ce314720, 32);
	(0x4030c1, 2, 1, 139744515281440, 0x00007f18ce315220, 32);
	(0x4030cb, 2, 1, 139744515275776, 0x00007f18ce313c00, 0);
	(0x4030e8, 2, 1, 139744516282128, 0x00007f18ce409710, 16);
	(0x403105, 2, 1, 139744516282144, 0x00007f18ce409720, 32);

ITER 3 - 21:
	(0x402ffb, 3, 3, 139744515281472, 0x00007f18ce315240, 0);
	(0x403004, 3, 1, 139744515275808, 0x00007f18ce313c20, 32);
	(0x40300b, 3, 1, 139744515278648, 0x00007f18ce314738, 56);
	(0x403011, 3, 1, 139744515278640, 0x00007f18ce314730, 48);
	(0x403021, 3, 1, 139744515278632, 0x00007f18ce314728, 40);
	(0x403031, 3, 3, 139744515278656, 0x00007f18ce314740, 0);
	(0x403050, 3, 1, 139744515278696, 0x00007f18ce314768, 40);
	(0x403055, 3, 1, 139744516282160, 0x00007f18ce409730, 48);
	(0x40305f, 3, 1, 139744515281488, 0x00007f18ce315250, 16);
	(0x403065, 3, 1, 139744515275824, 0x00007f18ce313c30, 48);
	(0x40306c, 3, 1, 139744515278664, 0x00007f18ce314748, 8);
	(0x403086, 3, 1, 139744515281520, 0x00007f18ce315270, 48);
	(0x40308c, 3, 3, 139744515275856, 0x00007f18ce313c50, 16);
	(0x40309c, 3, 1, 139744515278672, 0x00007f18ce314750, 16);
	(0x4030a2, 3, 3, 139744516282176, 0x00007f18ce409740, 0);
	(0x4030ad, 3, 1, 139744515278680, 0x00007f18ce314758, 24);
	(0x4030b7, 3, 1, 139744515278688, 0x00007f18ce314760, 32);
	(0x4030c1, 3, 1, 139744515281504, 0x00007f18ce315260, 32);
	(0x4030cb, 3, 1, 139744515275840, 0x00007f18ce313c40, 0);
	(0x4030e8, 3, 1, 139744516282192, 0x00007f18ce409750, 16);
	(0x403105, 3, 1, 139744516282208, 0x00007f18ce409760, 32);

ITER 4 - 21:
	(0x402ffb, 4, 3, 139744515281536, 0x00007f18ce315280, 0);
	(0x403004, 4, 1, 139744515275872, 0x00007f18ce313c60, 32);
	(0x40300b, 4, 1, 139744515278712, 0x00007f18ce314778, 56);
	(0x403011, 4, 1, 139744515278704, 0x00007f18ce314770, 48);
	(0x403021, 4, 1, 139744515278696, 0x00007f18ce314768, 40);
	(0x403031, 4, 3, 139744515278720, 0x00007f18ce314780, 0);
	(0x403050, 4, 1, 139744515278760, 0x00007f18ce3147a8, 40);
	(0x403055, 4, 1, 139744516282224, 0x00007f18ce409770, 48);
	(0x40305f, 4, 1, 139744515281552, 0x00007f18ce315290, 16);
	(0x403065, 4, 1, 139744515275888, 0x00007f18ce313c70, 48);
	(0x40306c, 4, 1, 139744515278728, 0x00007f18ce314788, 8);
	(0x403086, 4, 1, 139744515281584, 0x00007f18ce3152b0, 48);
	(0x40308c, 4, 3, 139744515275920, 0x00007f18ce313c90, 16);
	(0x40309c, 4, 1, 139744515278736, 0x00007f18ce314790, 16);
	(0x4030a2, 4, 3, 139744516282240, 0x00007f18ce409780, 0);
	(0x4030ad, 4, 1, 139744515278744, 0x00007f18ce314798, 24);
	(0x4030b7, 4, 1, 139744515278752, 0x00007f18ce3147a0, 32);
	(0x4030c1, 4, 1, 139744515281568, 0x00007f18ce3152a0, 32);
	(0x4030cb, 4, 1, 139744515275904, 0x00007f18ce313c80, 0);
	(0x4030e8, 4, 1, 139744516282256, 0x00007f18ce409790, 16);
	(0x403105, 4, 1, 139744516282272, 0x00007f18ce4097a0, 32);

ITER 5 - 21:
	(0x402ffb, 5, 3, 139744515281600, 0x00007f18ce3152c0, 0);
	(0x403004, 5, 1, 139744515275936, 0x00007f18ce313ca0, 32);
	(0x40300b, 5, 1, 139744515278776, 0x00007f18ce3147b8, 56);
	(0x403011, 5, 1, 139744515278768, 0x00007f18ce3147b0, 48);
	(0x403021, 5, 1, 139744515278760, 0x00007f18ce3147a8, 40);
	(0x403031, 5, 3, 139744515278784, 0x00007f18ce3147c0, 0);
	(0x403050, 5, 1, 139744515278824, 0x00007f18ce3147e8, 40);
	(0x403055, 5, 1, 139744516282288, 0x00007f18ce4097b0, 48);
	(0x40305f, 5, 1, 139744515281616, 0x00007f18ce3152d0, 16);
	(0x403065, 5, 1, 139744515275952, 0x00007f18ce313cb0, 48);
	(0x40306c, 5, 1, 139744515278792, 0x00007f18ce3147c8, 8);
	(0x403086, 5, 1, 139744515281648, 0x00007f18ce3152f0, 48);
	(0x40308c, 5, 3, 139744515275984, 0x00007f18ce313cd0, 16);
	(0x40309c, 5, 1, 139744515278800, 0x00007f18ce3147d0, 16);
	(0x4030a2, 5, 3, 139744516282304, 0x00007f18ce4097c0, 0);
	(0x4030ad, 5, 1, 139744515278808, 0x00007f18ce3147d8, 24);
	(0x4030b7, 5, 1, 139744515278816, 0x00007f18ce3147e0, 32);
	(0x4030c1, 5, 1, 139744515281632, 0x00007f18ce3152e0, 32);
	(0x4030cb, 5, 1, 139744515275968, 0x00007f18ce313cc0, 0);
	(0x4030e8, 5, 1, 139744516282320, 0x00007f18ce4097d0, 16);
	(0x403105, 5, 1, 139744516282336, 0x00007f18ce4097e0, 32);

ITER 6 - 21:
	(0x402ffb, 6, 3, 139744515281664, 0x00007f18ce315300, 0);
	(0x403004, 6, 1, 139744515276000, 0x00007f18ce313ce0, 32);
	(0x40300b, 6, 1, 139744515278840, 0x00007f18ce3147f8, 56);
	(0x403011, 6, 1, 139744515278832, 0x00007f18ce3147f0, 48);
	(0x403021, 6, 1, 139744515278824, 0x00007f18ce3147e8, 40);
	(0x403031, 6, 3, 139744515278848, 0x00007f18ce314800, 0);
	(0x403050, 6, 1, 139744515278888, 0x00007f18ce314828, 40);
	(0x403055, 6, 1, 139744516282352, 0x00007f18ce4097f0, 48);
	(0x40305f, 6, 1, 139744515281680, 0x00007f18ce315310, 16);
	(0x403065, 6, 1, 139744515276016, 0x00007f18ce313cf0, 48);
	(0x40306c, 6, 1, 139744515278856, 0x00007f18ce314808, 8);
	(0x403086, 6, 1, 139744515281712, 0x00007f18ce315330, 48);
	(0x40308c, 6, 3, 139744515276048, 0x00007f18ce313d10, 16);
	(0x40309c, 6, 1, 139744515278864, 0x00007f18ce314810, 16);
	(0x4030a2, 6, 3, 139744516282368, 0x00007f18ce409800, 0);
	(0x4030ad, 6, 1, 139744515278872, 0x00007f18ce314818, 24);
	(0x4030b7, 6, 1, 139744515278880, 0x00007f18ce314820, 32);
	(0x4030c1, 6, 1, 139744515281696, 0x00007f18ce315320, 32);
	(0x4030cb, 6, 1, 139744515276032, 0x00007f18ce313d00, 0);
	(0x4030e8, 6, 1, 139744516282384, 0x00007f18ce409810, 16);
	(0x403105, 6, 1, 139744516282400, 0x00007f18ce409820, 32);

ITER 7 - 21:
	(0x402ffb, 7, 3, 139744515281728, 0x00007f18ce315340, 0);
	(0x403004, 7, 1, 139744515276064, 0x00007f18ce313d20, 32);
	(0x40300b, 7, 1, 139744515278904, 0x00007f18ce314838, 56);
	(0x403011, 7, 1, 139744515278896, 0x00007f18ce314830, 48);
	(0x403021, 7, 1, 139744515278888, 0x00007f18ce314828, 40);
	(0x403031, 7, 3, 139744515278912, 0x00007f18ce314840, 0);
	(0x403050, 7, 1, 139744515278952, 0x00007f18ce314868, 40);
	(0x403055, 7, 1, 139744516282416, 0x00007f18ce409830, 48);
	(0x40305f, 7, 1, 139744515281744, 0x00007f18ce315350, 16);
	(0x403065, 7, 1, 139744515276080, 0x00007f18ce313d30, 48);
	(0x40306c, 7, 1, 139744515278920, 0x00007f18ce314848, 8);
	(0x403086, 7, 1, 139744515281776, 0x00007f18ce315370, 48);
	(0x40308c, 7, 3, 139744515276112, 0x00007f18ce313d50, 16);
	(0x40309c, 7, 1, 139744515278928, 0x00007f18ce314850, 16);
	(0x4030a2, 7, 3, 139744516282432, 0x00007f18ce409840, 0);
	(0x4030ad, 7, 1, 139744515278936, 0x00007f18ce314858, 24);
	(0x4030b7, 7, 1, 139744515278944, 0x00007f18ce314860, 32);
	(0x4030c1, 7, 1, 139744515281760, 0x00007f18ce315360, 32);
	(0x4030cb, 7, 1, 139744515276096, 0x00007f18ce313d40, 0);
	(0x4030e8, 7, 1, 139744516282448, 0x00007f18ce409850, 16);
	(0x403105, 7, 1, 139744516282464, 0x00007f18ce409860, 32);

ITER 8 - 21:
	(0x402ffb, 8, 3, 139744515281792, 0x00007f18ce315380, 0);
	(0x403004, 8, 1, 139744515276128, 0x00007f18ce313d60, 32);
	(0x40300b, 8, 1, 139744515278968, 0x00007f18ce314878, 56);
	(0x403011, 8, 1, 139744515278960, 0x00007f18ce314870, 48);
	(0x403021, 8, 1, 139744515278952, 0x00007f18ce314868, 40);
	(0x403031, 8, 3, 139744515278976, 0x00007f18ce314880, 0);
	(0x403050, 8, 1, 139744515279016, 0x00007f18ce3148a8, 40);
	(0x403055, 8, 1, 139744516282480, 0x00007f18ce409870, 48);
	(0x40305f, 8, 1, 139744515281808, 0x00007f18ce315390, 16);
	(0x403065, 8, 1, 139744515276144, 0x00007f18ce313d70, 48);
	(0x40306c, 8, 1, 139744515278984, 0x00007f18ce314888, 8);
	(0x403086, 8, 1, 139744515281840, 0x00007f18ce3153b0, 48);
	(0x40308c, 8, 3, 139744515276176, 0x00007f18ce313d90, 16);
	(0x40309c, 8, 1, 139744515278992, 0x00007f18ce314890, 16);
	(0x4030a2, 8, 3, 139744516282496, 0x00007f18ce409880, 0);
	(0x4030ad, 8, 1, 139744515279000, 0x00007f18ce314898, 24);
	(0x4030b7, 8, 1, 139744515279008, 0x00007f18ce3148a0, 32);
	(0x4030c1, 8, 1, 139744515281824, 0x00007f18ce3153a0, 32);
	(0x4030cb, 8, 1, 139744515276160, 0x00007f18ce313d80, 0);
	(0x4030e8, 8, 1, 139744516282512, 0x00007f18ce409890, 16);
	(0x403105, 8, 1, 139744516282528, 0x00007f18ce4098a0, 32);

ITER 9 - 21:
	(0x402ffb, 9, 3, 139744515281856, 0x00007f18ce3153c0, 0);
	(0x403004, 9, 1, 139744515276192, 0x00007f18ce313da0, 32);
	(0x40300b, 9, 1, 139744515279032, 0x00007f18ce3148b8, 56);
	(0x403011, 9, 1, 139744515279024, 0x00007f18ce3148b0, 48);
	(0x403021, 9, 1, 139744515279016, 0x00007f18ce3148a8, 40);
	(0x403031, 9, 3, 139744515279040, 0x00007f18ce3148c0, 0);
	(0x403050, 9, 1, 139744515279080, 0x00007f18ce3148e8, 40);
	(0x403055, 9, 1, 139744516282544, 0x00007f18ce4098b0, 48);
	(0x40305f, 9, 1, 139744515281872, 0x00007f18ce3153d0, 16);
	(0x403065, 9, 1, 139744515276208, 0x00007f18ce313db0, 48);
	(0x40306c, 9, 1, 139744515279048, 0x00007f18ce3148c8, 8);
	(0x403086, 9, 1, 139744515281904, 0x00007f18ce3153f0, 48);
	(0x40308c, 9, 3, 139744515276240, 0x00007f18ce313dd0, 16);
	(0x40309c, 9, 1, 139744515279056, 0x00007f18ce3148d0, 16);
	(0x4030a2, 9, 3, 139744516282560, 0x00007f18ce4098c0, 0);
	(0x4030ad, 9, 1, 139744515279064, 0x00007f18ce3148d8, 24);
	(0x4030b7, 9, 1, 139744515279072, 0x00007f18ce3148e0, 32);
	(0x4030c1, 9, 1, 139744515281888, 0x00007f18ce3153e0, 32);
	(0x4030cb, 9, 1, 139744515276224, 0x00007f18ce313dc0, 0);
	(0x4030e8, 9, 1, 139744516282576, 0x00007f18ce4098d0, 16);
	(0x403105, 9, 1, 139744516282592, 0x00007f18ce4098e0, 32);

ITER 10 - 21:
	(0x402ffb, 10, 3, 139744515281920, 0x00007f18ce315400, 0);
	(0x403004, 10, 1, 139744515276256, 0x00007f18ce313de0, 32);
	(0x40300b, 10, 1, 139744515279096, 0x00007f18ce3148f8, 56);
	(0x403011, 10, 1, 139744515279088, 0x00007f18ce3148f0, 48);
	(0x403021, 10, 1, 139744515279080, 0x00007f18ce3148e8, 40);
	(0x403031, 10, 3, 139744515279104, 0x00007f18ce314900, 0);
	(0x403050, 10, 1, 139744515279144, 0x00007f18ce314928, 40);
