ITER 0 - 21:
	(0x402ffb, 0, 1, 139744515561648, 0x00007f18ce3598b0, 48);
	(0x403004, 0, 2, 139744515555984, 0x00007f18ce358290, 16);
	(0x40300b, 0, 2, 139744515558824, 0x00007f18ce358da8, 40);
	(0x403011, 0, 1, 139744515558816, 0x00007f18ce358da0, 32);
	(0x403021, 0, 1, 139744515558808, 0x00007f18ce358d98, 24);
	(0x403031, 0, 1, 139744515558832, 0x00007f18ce358db0, 48);
	(0x403050, 0, 2, 139744515558872, 0x00007f18ce358dd8, 24);
	(0x403055, 0, 2, 139744516562336, 0x00007f18ce44dda0, 32);
	(0x40305f, 0, 3, 139744515561664, 0x00007f18ce3598c0, 0);
	(0x403065, 0, 1, 139744515556000, 0x00007f18ce3582a0, 32);
	(0x40306c, 0, 2, 139744515558840, 0x00007f18ce358db8, 56);
	(0x403086, 0, 1, 139744515561696, 0x00007f18ce3598e0, 32);
	(0x40308c, 0, 2, 139744515556032, 0x00007f18ce3582c0, 0);
	(0x40309c, 0, 1, 139744515558848, 0x00007f18ce358dc0, 0);
	(0x4030a2, 0, 2, 139744516562352, 0x00007f18ce44ddb0, 48);
	(0x4030ad, 0, 1, 139744515558856, 0x00007f18ce358dc8, 8);
	(0x4030b7, 0, 1, 139744515558864, 0x00007f18ce358dd0, 16);
	(0x4030c1, 0, 1, 139744515561680, 0x00007f18ce3598d0, 16);
	(0x4030cb, 0, 1, 139744515556016, 0x00007f18ce3582b0, 48);
	(0x4030e8, 0, 3, 139744516562368, 0x00007f18ce44ddc0, 0);
	(0x403105, 0, 1, 139744516562384, 0x00007f18ce44ddd0, 16);

ITER 1 - 21:
	(0x402ffb, 1, 1, 139744515561712, 0x00007f18ce3598f0, 48);
	(0x403004, 1, 1, 139744515556048, 0x00007f18ce3582d0, 16);
	(0x40300b, 1, 2, 139744515558888, 0x00007f18ce358de8, 40);
	(0x403011, 1, 1, 139744515558880, 0x00007f18ce358de0, 32);
	(0x403021, 1, 1, 139744515558872, 0x00007f18ce358dd8, 24);
	(0x403031, 1, 1, 139744515558896, 0x00007f18ce358df0, 48);
	(0x403050, 1, 2, 139744515558936, 0x00007f18ce358e18, 24);
	(0x403055, 1, 2, 139744516562400, 0x00007f18ce44dde0, 32);
	(0x40305f, 1, 3, 139744515561728, 0x00007f18ce359900, 0);
	(0x403065, 1, 1, 139744515556064, 0x00007f18ce3582e0, 32);
	(0x40306c, 1, 2, 139744515558904, 0x00007f18ce358df8, 56);
	(0x403086, 1, 1, 139744515561760, 0x00007f18ce359920, 32);
	(0x40308c, 1, 2, 139744515556096, 0x00007f18ce358300, 0);
	(0x40309c, 1, 1, 139744515558912, 0x00007f18ce358e00, 0);
	(0x4030a2, 1, 2, 139744516562416, 0x00007f18ce44ddf0, 48);
	(0x4030ad, 1, 1, 139744515558920, 0x00007f18ce358e08, 8);
	(0x4030b7, 1, 1, 139744515558928, 0x00007f18ce358e10, 16);
	(0x4030c1, 1, 1, 139744515561744, 0x00007f18ce359910, 16);
	(0x4030cb, 1, 1, 139744515556080, 0x00007f18ce3582f0, 48);
	(0x4030e8, 1, 3, 139744516562432, 0x00007f18ce44de00, 0);
	(0x403105, 1, 1, 139744516562448, 0x00007f18ce44de10, 16);

ITER 2 - 21:
	(0x402ffb, 2, 1, 139744515561776, 0x00007f18ce359930, 48);
	(0x403004, 2, 1, 139744515556112, 0x00007f18ce358310, 16);
	(0x40300b, 2, 2, 139744515558952, 0x00007f18ce358e28, 40);
	(0x403011, 2, 1, 139744515558944, 0x00007f18ce358e20, 32);
	(0x403021, 2, 1, 139744515558936, 0x00007f18ce358e18, 24);
	(0x403031, 2, 1, 139744515558960, 0x00007f18ce358e30, 48);
	(0x403050, 2, 2, 139744515559000, 0x00007f18ce358e58, 24);
	(0x403055, 2, 2, 139744516562464, 0x00007f18ce44de20, 32);
	(0x40305f, 2, 3, 139744515561792, 0x00007f18ce359940, 0);
	(0x403065, 2, 1, 139744515556128, 0x00007f18ce358320, 32);
	(0x40306c, 2, 2, 139744515558968, 0x00007f18ce358e38, 56);
	(0x403086, 2, 1, 139744515561824, 0x00007f18ce359960, 32);
	(0x40308c, 2, 2, 139744515556160, 0x00007f18ce358340, 0);
	(0x40309c, 2, 1, 139744515558976, 0x00007f18ce358e40, 0);
	(0x4030a2, 2, 2, 139744516562480, 0x00007f18ce44de30, 48);
	(0x4030ad, 2, 1, 139744515558984, 0x00007f18ce358e48, 8);
