LoopID : 2; InstanceID : 0; LoopCount : 44; NbInsns : 21

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402fed; MOV	%R14,%RBP;
0x402ff0; MOVAPS	%XMM4,%XMM7;
0x402ff3; SAL	$0x4,%RBP;
0x402ff7; MOVAPS	%XMM4,%XMM11;
0x402ffb; MOVUPS 0x10(%R11,%RSI,8),%XMM9                    ;	load;	l;	0x402ffb;	0;	44;	0;	0;	44;	0;	0;	44;	0;
0x403001; ADD	%R15,%RBP;
0x403004; ADDPD 0x10(%R10,%RSI,8),%XMM9                     ;	load;	f;	0x40308c;	43;	1;	0;	0;	1;	0;	0;	1;	0;
0x40300b; MOVUPS 0x18(%R13,%RBP,1),%XMM10                   ;	load;	f;	0x403031;	43;	1;	0;	0;	1;	0;	0;	1;	0;
0x403011; MOVUPS 0x10(%R13,%RBP,1),%XMM8                    ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403017; ADDPD	%XMM10,%XMM9;
0x40301c; MULPD	%XMM8,%XMM7;
0x403021; MOVUPS 0x8(%R13,%RBP,1),%XMM3                     ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403027; MULPD	%XMM8,%XMM8;
0x40302c; ADDPD	%XMM3,%XMM9;
0x403031; MOVUPS 0x20(%R13,%RBP,1),%XMM12                   ;	load;	l;	0x403031;	0;	44;	0;	0;	44;	0;	0;	44;	0;
0x403037; SUBPD	%XMM7,%XMM9;
0x40303c; MULPD	%XMM12,%XMM11;
0x403041; MULPD	%XMM5,%XMM9;
0x403046; MULPD	%XMM12,%XMM12;
0x40304b; ADDPD	%XMM8,%XMM9;
0x403050; MOVUPS 0x48(%RDI,%RSI,8),%XMM2                    ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403055; MOVUPS %XMM9,0x10(%R8,%RSI,8)                     ;	store;	f;	0x4030a2;	43;	1;	0;	0;	1;	0;	0;	1;	0;
0x40305b; MOVAPS	%XMM4,%XMM15;
0x40305f; MOVUPS 0x20(%R11,%RSI,8),%XMM13                   ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403065; ADDPD 0x20(%R10,%RSI,8),%XMM13                    ;	load;	f;	0x40308c;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x40306c; MOVUPS 0x28(%R13,%RBP,1),%XMM14                   ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403072; ADDPD	%XMM14,%XMM13;
0x403077; ADDPD	%XMM10,%XMM13;
0x40307c; SUBPD	%XMM11,%XMM13;
0x403081; MULPD	%XMM5,%XMM13;
0x403086; MOVUPS 0x40(%R11,%RSI,8),%XMM1                    ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x40308c; ADDPD 0x40(%R10,%RSI,8),%XMM1                     ;	load;	f;	0x40300b;	1;	43;	0;	0;	43;	0;	0;	43;	0;
0x403093; ADDPD	%XMM12,%XMM13;
0x403098; ADDPD	%XMM2,%XMM1;
0x40309c; MOVUPS 0x30(%R13,%RBP,1),%XMM2                    ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030a2; MOVUPS %XMM13,0x20(%R8,%RSI,8)                    ;	store;	l;	0x4030a2;	0;	44;	0;	0;	44;	0;	0;	44;	0;
0x4030a8; MULPD	%XMM2,%XMM15;
0x4030ad; MOVUPS 0x38(%R13,%RBP,1),%XMM3                    ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030b3; MULPD	%XMM2,%XMM2;
0x4030b7; MOVUPS 0x40(%R13,%RBP,1),%XMM7                    ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030bd; ADDPD	%XMM3,%XMM1;
0x4030c1; MOVUPS 0x30(%R11,%RSI,8),%XMM0                    ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030c7; ADD	$0x40,%R13;
0x4030cb; ADDPD 0x30(%R10,%RSI,8),%XMM0                     ;	load;	f;	0x40300b;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030d2; ADDPD	%XMM3,%XMM0;
0x4030d6; ADDPD	%XMM14,%XMM0;
0x4030db; SUBPD	%XMM15,%XMM0;
0x4030e0; MULPD	%XMM5,%XMM0;
0x4030e4; ADDPD	%XMM2,%XMM0;
0x4030e8; MOVUPS %XMM0,0x30(%R8,%RSI,8)                     ;	store;	f;	0x4030a2;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030ee; MOVAPS	%XMM4,%XMM0;
0x4030f1; MULPD	%XMM7,%XMM0;
0x4030f5; MULPD	%XMM7,%XMM7;
0x4030f9; SUBPD	%XMM0,%XMM1;
0x4030fd; MULPD	%XMM5,%XMM1;
0x403101; ADDPD	%XMM7,%XMM1;
0x403105; MOVUPS %XMM1,0x40(%R8,%RSI,8)                     ;	store;	f;	0x4030a2;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x40310b; ADD	$0x8,%RSI;
0x40310f; CMP	%R9,%RSI;
0x403112; JB	402fed <codelet_+0x2ed>;

Sum(Column):	746.000;	178.000;	0.000;	0.000;	178.000;	0.000;	0.000;	178.000;	0.000
Sum(Column) / LoopCount:	35.524;	8.476;	0.000;	0.000;	8.476;	0.000;	0.000;	8.476;	0.000

LoopID : 2; InstanceID : 1; LoopCount : 44; NbInsns : 21

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402fed; MOV	%R14,%RBP;
0x402ff0; MOVAPS	%XMM4,%XMM7;
0x402ff3; SAL	$0x4,%RBP;
0x402ff7; MOVAPS	%XMM4,%XMM11;
0x402ffb; MOVUPS 0x10(%R11,%RSI,8),%XMM9                    ;	load;	f;	0x403086;	43;	1;	0;	0;	1;	0;	0;	1;	0;
0x403001; ADD	%R15,%RBP;
0x403004; ADDPD 0x10(%R10,%RSI,8),%XMM9                     ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x40300b; MOVUPS 0x18(%R13,%RBP,1),%XMM10                   ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403011; MOVUPS 0x10(%R13,%RBP,1),%XMM8                    ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403017; ADDPD	%XMM10,%XMM9;
0x40301c; MULPD	%XMM8,%XMM7;
0x403021; MOVUPS 0x8(%R13,%RBP,1),%XMM3                     ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403027; MULPD	%XMM8,%XMM8;
0x40302c; ADDPD	%XMM3,%XMM9;
0x403031; MOVUPS 0x20(%R13,%RBP,1),%XMM12                   ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403037; SUBPD	%XMM7,%XMM9;
0x40303c; MULPD	%XMM12,%XMM11;
0x403041; MULPD	%XMM5,%XMM9;
0x403046; MULPD	%XMM12,%XMM12;
0x40304b; ADDPD	%XMM8,%XMM9;
0x403050; MOVUPS 0x48(%RDI,%RSI,8),%XMM2                    ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403055; MOVUPS %XMM9,0x10(%R8,%RSI,8)                     ;	store;	l;	0x403055;	0;	44;	0;	0;	44;	0;	0;	44;	0;
0x40305b; MOVAPS	%XMM4,%XMM15;
0x40305f; MOVUPS 0x20(%R11,%RSI,8),%XMM13                   ;	load;	f;	0x403086;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403065; ADDPD 0x20(%R10,%RSI,8),%XMM13                    ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x40306c; MOVUPS 0x28(%R13,%RBP,1),%XMM14                   ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403072; ADDPD	%XMM14,%XMM13;
0x403077; ADDPD	%XMM10,%XMM13;
0x40307c; SUBPD	%XMM11,%XMM13;
0x403081; MULPD	%XMM5,%XMM13;
0x403086; MOVUPS 0x40(%R11,%RSI,8),%XMM1                    ;	load;	l;	0x403086;	0;	44;	0;	0;	44;	0;	0;	44;	0;
0x40308c; ADDPD 0x40(%R10,%RSI,8),%XMM1                     ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x403093; ADDPD	%XMM12,%XMM13;
0x403098; ADDPD	%XMM2,%XMM1;
0x40309c; MOVUPS 0x30(%R13,%RBP,1),%XMM2                    ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030a2; MOVUPS %XMM13,0x20(%R8,%RSI,8)                    ;	store;	f;	0x403055;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030a8; MULPD	%XMM2,%XMM15;
0x4030ad; MOVUPS 0x38(%R13,%RBP,1),%XMM3                    ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030b3; MULPD	%XMM2,%XMM2;
0x4030b7; MOVUPS 0x40(%R13,%RBP,1),%XMM7                    ;	load;	f;	0x402ffb;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030bd; ADDPD	%XMM3,%XMM1;
0x4030c1; MOVUPS 0x30(%R11,%RSI,8),%XMM0                    ;	load;	f;	0x403086;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030c7; ADD	$0x40,%R13;
0x4030cb; ADDPD 0x30(%R10,%RSI,8),%XMM0                     ;	load;	f;	0x403031;	44;	0;	0;	0;	0;	0;	0;	0;	0;
0x4030d2; ADDPD	%XMM3,%XMM0;
0x4030d6; ADDPD	%XMM14,%XMM0;
0x4030db; SUBPD	%XMM15,%XMM0;
0x4030e0; MULPD	%XMM5,%XMM0;
0x4030e4; ADDPD	%XMM2,%XMM0;
