ITER 0 - 6:
	(0x402d80, 0, 1, 140632354464128, 0x00007fe785882180, 0);
	(0x402d92, 0, 3, 140632354466960, 0x00007fe785882c90, 16);
	(0x402d9d, 0, 1, 140632354461296, 0x00007fe785881670, 48);
	(0x402da4, 0, 1, 140632354464136, 0x00007fe785882188, 8);
	(0x402dab, 0, 1, 140632354464120, 0x00007fe785882178, 56);
	(0x402dba, 0, 3, 140632355467648, 0x00007fe785977180, 0);

ITER 1 - 6:
	(0x402d80, 1, 1, 140632354464136, 0x00007fe785882188, 8);
	(0x402d92, 1, 1, 140632354466968, 0x00007fe785882c98, 24);
	(0x402d9d, 1, 1, 140632354461304, 0x00007fe785881678, 56);
	(0x402da4, 1, 1, 140632354464144, 0x00007fe785882190, 16);
	(0x402dab, 1, 1, 140632354464128, 0x00007fe785882180, 0);
	(0x402dba, 1, 1, 140632355467656, 0x00007fe785977188, 8);

ITER 2 - 6:
	(0x402d80, 2, 1, 140632354464144, 0x00007fe785882190, 16);
	(0x402d92, 2, 1, 140632354466976, 0x00007fe785882ca0, 32);
	(0x402d9d, 2, 1, 140632354461312, 0x00007fe785881680, 0);
	(0x402da4, 2, 1, 140632354464152, 0x00007fe785882198, 24);
	(0x402dab, 2, 1, 140632354464136, 0x00007fe785882188, 8);
	(0x402dba, 2, 1, 140632355467664, 0x00007fe785977190, 16);

ITER 3 - 6:
	(0x402d80, 3, 1, 140632354464152, 0x00007fe785882198, 24);
	(0x402d92, 3, 1, 140632354466984, 0x00007fe785882ca8, 40);
	(0x402d9d, 3, 1, 140632354461320, 0x00007fe785881688, 8);
	(0x402da4, 3, 1, 140632354464160, 0x00007fe7858821a0, 32);
	(0x402dab, 3, 1, 140632354464144, 0x00007fe785882190, 16);
	(0x402dba, 3, 1, 140632355467672, 0x00007fe785977198, 24);

ITER 4 - 6:
	(0x402d80, 4, 1, 140632354464160, 0x00007fe7858821a0, 32);
	(0x402d92, 4, 1, 140632354466992, 0x00007fe785882cb0, 48);
	(0x402d9d, 4, 1, 140632354461328, 0x00007fe785881690, 16);
	(0x402da4, 4, 1, 140632354464168, 0x00007fe7858821a8, 40);
	(0x402dab, 4, 1, 140632354464152, 0x00007fe785882198, 24);
	(0x402dba, 4, 1, 140632355467680, 0x00007fe7859771a0, 32);

ITER 5 - 6:
	(0x402d80, 5, 1, 140632354464168, 0x00007fe7858821a8, 40);
	(0x402d92, 5, 1, 140632354467000, 0x00007fe785882cb8, 56);
	(0x402d9d, 5, 1, 140632354461336, 0x00007fe785881698, 24);
	(0x402da4, 5, 1, 140632354464176, 0x00007fe7858821b0, 48);
	(0x402dab, 5, 1, 140632354464160, 0x00007fe7858821a0, 32);
	(0x402dba, 5, 1, 140632355467688, 0x00007fe7859771a8, 40);

ITER 6 - 6:
	(0x402d80, 6, 1, 140632354464176, 0x00007fe7858821b0, 48);
	(0x402d92, 6, 3, 140632354467008, 0x00007fe785882cc0, 0);
	(0x402d9d, 6, 1, 140632354461344, 0x00007fe7858816a0, 32);
	(0x402da4, 6, 1, 140632354464184, 0x00007fe7858821b8, 56);
	(0x402dab, 6, 1, 140632354464168, 0x00007fe7858821a8, 40);
	(0x402dba, 6, 1, 140632355467696, 0x00007fe7859771b0, 48);

ITER 7 - 6:
	(0x402d80, 7, 1, 140632354464184, 0x00007fe7858821b8, 56);
	(0x402d92, 7, 1, 140632354467016, 0x00007fe785882cc8, 8);
	(0x402d9d, 7, 1, 140632354461352, 0x00007fe7858816a8, 40);
	(0x402da4, 7, 1, 140632354464192, 0x00007fe7858821c0, 0);
	(0x402dab, 7, 1, 140632354464176, 0x00007fe7858821b0, 48);
	(0x402dba, 7, 1, 140632355467704, 0x00007fe7859771b8, 56);

ITER 8 - 6:
	(0x402d80, 8, 1, 140632354464192, 0x00007fe7858821c0, 0);
	(0x402d92, 8, 1, 140632354467024, 0x00007fe785882cd0, 16);
	(0x402d9d, 8, 1, 140632354461360, 0x00007fe7858816b0, 48);
	(0x402da4, 8, 1, 140632354464200, 0x00007fe7858821c8, 8);
	(0x402dab, 8, 1, 140632354464184, 0x00007fe7858821b8, 56);
	(0x402dba, 8, 3, 140632355467712, 0x00007fe7859771c0, 0);

ITER 9 - 6:
	(0x402d80, 9, 1, 140632354464200, 0x00007fe7858821c8, 8);
	(0x402d92, 9, 1, 140632354467032, 0x00007fe785882cd8, 24);
	(0x402d9d, 9, 1, 140632354461368, 0x00007fe7858816b8, 56);
	(0x402da4, 9, 1, 140632354464208, 0x00007fe7858821d0, 16);
	(0x402dab, 9, 1, 140632354464192, 0x00007fe7858821c0, 0);
	(0x402dba, 9, 1, 140632355467720, 0x00007fe7859771c8, 8);

ITER 10 - 6:
	(0x402d80, 10, 1, 140632354464208, 0x00007fe7858821d0, 16);
	(0x402d92, 10, 1, 140632354467040, 0x00007fe785882ce0, 32);
	(0x402d9d, 10, 1, 140632354461376, 0x00007fe7858816c0, 0);
	(0x402da4, 10, 1, 140632354464216, 0x00007fe7858821d8, 24);
	(0x402dab, 10, 1, 140632354464200, 0x00007fe7858821c8, 8);
	(0x402dba, 10, 1, 140632355467728, 0x00007fe7859771d0, 16);

ITER 11 - 6:
	(0x402d80, 11, 1, 140632354464216, 0x00007fe7858821d8, 24);
	(0x402d92, 11, 1, 140632354467048, 0x00007fe785882ce8, 40);
	(0x402d9d, 11, 1, 140632354461384, 0x00007fe7858816c8, 8);
	(0x402da4, 11, 1, 140632354464224, 0x00007fe7858821e0, 32);
	(0x402dab, 11, 1, 140632354464208, 0x00007fe7858821d0, 16);
	(0x402dba, 11, 1, 140632355467736, 0x00007fe7859771d8, 24);

ITER 12 - 6:
	(0x402d80, 12, 1, 140632354464224, 0x00007fe7858821e0, 32);
	(0x402d92, 12, 1, 140632354467056, 0x00007fe785882cf0, 48);
	(0x402d9d, 12, 1, 140632354461392, 0x00007fe7858816d0, 16);
	(0x402da4, 12, 1, 140632354464232, 0x00007fe7858821e8, 40);
	(0x402dab, 12, 1, 140632354464216, 0x00007fe7858821d8, 24);
	(0x402dba, 12, 1, 140632355467744, 0x00007fe7859771e0, 32);

ITER 13 - 6:
	(0x402d80, 13, 1, 140632354464232, 0x00007fe7858821e8, 40);
	(0x402d92, 13, 1, 140632354467064, 0x00007fe785882cf8, 56);
	(0x402d9d, 13, 1, 140632354461400, 0x00007fe7858816d8, 24);
	(0x402da4, 13, 1, 140632354464240, 0x00007fe7858821f0, 48);
	(0x402dab, 13, 1, 140632354464224, 0x00007fe7858821e0, 32);
	(0x402dba, 13, 1, 140632355467752, 0x00007fe7859771e8, 40);

ITER 14 - 6:
	(0x402d80, 14, 1, 140632354464240, 0x00007fe7858821f0, 48);
	(0x402d92, 14, 3, 140632354467072, 0x00007fe785882d00, 0);
	(0x402d9d, 14, 1, 140632354461408, 0x00007fe7858816e0, 32);
	(0x402da4, 14, 1, 140632354464248, 0x00007fe7858821f8, 56);
	(0x402dab, 14, 1, 140632354464232, 0x00007fe7858821e8, 40);
	(0x402dba, 14, 1, 140632355467760, 0x00007fe7859771f0, 48);

ITER 15 - 6:
	(0x402d80, 15, 1, 140632354464248, 0x00007fe7858821f8, 56);
	(0x402d92, 15, 1, 140632354467080, 0x00007fe785882d08, 8);
	(0x402d9d, 15, 1, 140632354461416, 0x00007fe7858816e8, 40);
	(0x402da4, 15, 1, 140632354464256, 0x00007fe785882200, 0);
	(0x402dab, 15, 1, 140632354464240, 0x00007fe7858821f0, 48);
	(0x402dba, 15, 1, 140632355467768, 0x00007fe7859771f8, 56);

ITER 16 - 6:
	(0x402d80, 16, 1, 140632354464256, 0x00007fe785882200, 0);
	(0x402d92, 16, 1, 140632354467088, 0x00007fe785882d10, 16);
	(0x402d9d, 16, 1, 140632354461424, 0x00007fe7858816f0, 48);
	(0x402da4, 16, 1, 140632354464264, 0x00007fe785882208, 8);
	(0x402dab, 16, 1, 140632354464248, 0x00007fe7858821f8, 56);
	(0x402dba, 16, 3, 140632355467776, 0x00007fe785977200, 0);

ITER 17 - 6:
	(0x402d80, 17, 1, 140632354464264, 0x00007fe785882208, 8);
	(0x402d92, 17, 1, 140632354467096, 0x00007fe785882d18, 24);
	(0x402d9d, 17, 1, 140632354461432, 0x00007fe7858816f8, 56);
	(0x402da4, 17, 1, 140632354464272, 0x00007fe785882210, 16);
	(0x402dab, 17, 1, 140632354464256, 0x00007fe785882200, 0);
	(0x402dba, 17, 1, 140632355467784, 0x00007fe785977208, 8);

ITER 18 - 6:
	(0x402d80, 18, 1, 140632354464272, 0x00007fe785882210, 16);
	(0x402d92, 18, 1, 140632354467104, 0x00007fe785882d20, 32);
	(0x402d9d, 18, 1, 140632354461440, 0x00007fe785881700, 0);
	(0x402da4, 18, 1, 140632354464280, 0x00007fe785882218, 24);
	(0x402dab, 18, 1, 140632354464264, 0x00007fe785882208, 8);
	(0x402dba, 18, 1, 140632355467792, 0x00007fe785977210, 16);

ITER 19 - 6:
	(0x402d80, 19, 1, 140632354464280, 0x00007fe785882218, 24);
	(0x402d92, 19, 1, 140632354467112, 0x00007fe785882d28, 40);
	(0x402d9d, 19, 1, 140632354461448, 0x00007fe785881708, 8);
	(0x402da4, 19, 1, 140632354464288, 0x00007fe785882220, 32);
	(0x402dab, 19, 1, 140632354464272, 0x00007fe785882210, 16);
	(0x402dba, 19, 1, 140632355467800, 0x00007fe785977218, 24);

ITER 20 - 6:
	(0x402d80, 20, 1, 140632354464288, 0x00007fe785882220, 32);
	(0x402d92, 20, 1, 140632354467120, 0x00007fe785882d30, 48);
	(0x402d9d, 20, 1, 140632354461456, 0x00007fe785881710, 16);
	(0x402da4, 20, 1, 140632354464296, 0x00007fe785882228, 40);
	(0x402dab, 20, 1, 140632354464280, 0x00007fe785882218, 24);
	(0x402dba, 20, 1, 140632355467808, 0x00007fe785977220, 32);

ITER 21 - 6:
	(0x402d80, 21, 1, 140632354464296, 0x00007fe785882228, 40);
	(0x402d92, 21, 1, 140632354467128, 0x00007fe785882d38, 56);
	(0x402d9d, 21, 1, 140632354461464, 0x00007fe785881718, 24);
	(0x402da4, 21, 1, 140632354464304, 0x00007fe785882230, 48);
	(0x402dab, 21, 1, 140632354464288, 0x00007fe785882220, 32);
	(0x402dba, 21, 1, 140632355467816, 0x00007fe785977228, 40);

ITER 22 - 6:
	(0x402d80, 22, 1, 140632354464304, 0x00007fe785882230, 48);
	(0x402d92, 22, 3, 140632354467136, 0x00007fe785882d40, 0);
	(0x402d9d, 22, 1, 140632354461472, 0x00007fe785881720, 32);
	(0x402da4, 22, 1, 140632354464312, 0x00007fe785882238, 56);
	(0x402dab, 22, 1, 140632354464296, 0x00007fe785882228, 40);
	(0x402dba, 22, 1, 140632355467824, 0x00007fe785977230, 48);

ITER 23 - 6:
	(0x402d80, 23, 1, 140632354464312, 0x00007fe785882238, 56);
	(0x402d92, 23, 1, 140632354467144, 0x00007fe785882d48, 8);
	(0x402d9d, 23, 1, 140632354461480, 0x00007fe785881728, 40);
	(0x402da4, 23, 1, 140632354464320, 0x00007fe785882240, 0);
	(0x402dab, 23, 1, 140632354464304, 0x00007fe785882230, 48);
	(0x402dba, 23, 1, 140632355467832, 0x00007fe785977238, 56);

ITER 24 - 6:
	(0x402d80, 24, 1, 140632354464320, 0x00007fe785882240, 0);
	(0x402d92, 24, 1, 140632354467152, 0x00007fe785882d50, 16);
	(0x402d9d, 24, 1, 140632354461488, 0x00007fe785881730, 48);
	(0x402da4, 24, 1, 140632354464328, 0x00007fe785882248, 8);
	(0x402dab, 24, 1, 140632354464312, 0x00007fe785882238, 56);
	(0x402dba, 24, 3, 140632355467840, 0x00007fe785977240, 0);

ITER 25 - 6:
	(0x402d80, 25, 1, 140632354464328, 0x00007fe785882248, 8);
	(0x402d92, 25, 1, 140632354467160, 0x00007fe785882d58, 24);
	(0x402d9d, 25, 1, 140632354461496, 0x00007fe785881738, 56);
	(0x402da4, 25, 1, 140632354464336, 0x00007fe785882250, 16);
	(0x402dab, 25, 1, 140632354464320, 0x00007fe785882240, 0);
	(0x402dba, 25, 1, 140632355467848, 0x00007fe785977248, 8);

ITER 26 - 6:
	(0x402d80, 26, 1, 140632354464336, 0x00007fe785882250, 16);
	(0x402d92, 26, 1, 140632354467168, 0x00007fe785882d60, 32);
	(0x402d9d, 26, 1, 140632354461504, 0x00007fe785881740, 0);
	(0x402da4, 26, 1, 140632354464344, 0x00007fe785882258, 24);
	(0x402dab, 26, 1, 140632354464328, 0x00007fe785882248, 8);
	(0x402dba, 26, 1, 140632355467856, 0x00007fe785977250, 16);

ITER 27 - 6:
	(0x402d80, 27, 1, 140632354464344, 0x00007fe785882258, 24);
	(0x402d92, 27, 1, 140632354467176, 0x00007fe785882d68, 40);
	(0x402d9d, 27, 1, 140632354461512, 0x00007fe785881748, 8);
	(0x402da4, 27, 1, 140632354464352, 0x00007fe785882260, 32);
	(0x402dab, 27, 1, 140632354464336, 0x00007fe785882250, 16);
	(0x402dba, 27, 1, 140632355467864, 0x00007fe785977258, 24);

ITER 28 - 6:
	(0x402d80, 28, 1, 140632354464352, 0x00007fe785882260, 32);
	(0x402d92, 28, 1, 140632354467184, 0x00007fe785882d70, 48);
	(0x402d9d, 28, 1, 140632354461520, 0x00007fe785881750, 16);
	(0x402da4, 28, 1, 140632354464360, 0x00007fe785882268, 40);
	(0x402dab, 28, 1, 140632354464344, 0x00007fe785882258, 24);
	(0x402dba, 28, 1, 140632355467872, 0x00007fe785977260, 32);

ITER 29 - 6:
	(0x402d80, 29, 1, 140632354464360, 0x00007fe785882268, 40);
	(0x402d92, 29, 1, 140632354467192, 0x00007fe785882d78, 56);
	(0x402d9d, 29, 1, 140632354461528, 0x00007fe785881758, 24);
	(0x402da4, 29, 1, 140632354464368, 0x00007fe785882270, 48);
	(0x402dab, 29, 1, 140632354464352, 0x00007fe785882260, 32);
	(0x402dba, 29, 1, 140632355467880, 0x00007fe785977268, 40);

ITER 30 - 6:
	(0x402d80, 30, 1, 140632354464368, 0x00007fe785882270, 48);
	(0x402d92, 30, 3, 140632354467200, 0x00007fe785882d80, 0);
	(0x402d9d, 30, 1, 140632354461536, 0x00007fe785881760, 32);
	(0x402da4, 30, 1, 140632354464376, 0x00007fe785882278, 56);
	(0x402dab, 30, 1, 140632354464360, 0x00007fe785882268, 40);
	(0x402dba, 30, 1, 140632355467888, 0x00007fe785977270, 48);

ITER 31 - 6:
	(0x402d80, 31, 1, 140632354464376, 0x00007fe785882278, 56);
	(0x402d92, 31, 1, 140632354467208, 0x00007fe785882d88, 8);
	(0x402d9d, 31, 1, 140632354461544, 0x00007fe785881768, 40);
	(0x402da4, 31, 1, 140632354464384, 0x00007fe785882280, 0);
	(0x402dab, 31, 1, 140632354464368, 0x00007fe785882270, 48);
	(0x402dba, 31, 1, 140632355467896, 0x00007fe785977278, 56);

ITER 32 - 6:
	(0x402d80, 32, 1, 140632354464384, 0x00007fe785882280, 0);
	(0x402d92, 32, 1, 140632354467216, 0x00007fe785882d90, 16);
	(0x402d9d, 32, 1, 140632354461552, 0x00007fe785881770, 48);
	(0x402da4, 32, 1, 140632354464392, 0x00007fe785882288, 8);
	(0x402dab, 32, 1, 140632354464376, 0x00007fe785882278, 56);
	(0x402dba, 32, 3, 140632355467904, 0x00007fe785977280, 0);

ITER 33 - 6:
	(0x402d80, 33, 1, 140632354464392, 0x00007fe785882288, 8);
	(0x402d92, 33, 1, 140632354467224, 0x00007fe785882d98, 24);
	(0x402d9d, 33, 1, 140632354461560, 0x00007fe785881778, 56);
	(0x402da4, 33, 1, 140632354464400, 0x00007fe785882290, 16);
	(0x402dab, 33, 1, 140632354464384, 0x00007fe785882280, 0);
	(0x402dba, 33, 1, 140632355467912, 0x00007fe785977288, 8);

ITER 34 - 6:
	(0x402d80, 34, 1, 140632354464400, 0x00007fe785882290, 16);
	(0x402d92, 34, 1, 140632354467232, 0x00007fe785882da0, 32);
	(0x402d9d, 34, 1, 140632354461568, 0x00007fe785881780, 0);
	(0x402da4, 34, 1, 140632354464408, 0x00007fe785882298, 24);
	(0x402dab, 34, 1, 140632354464392, 0x00007fe785882288, 8);
	(0x402dba, 34, 1, 140632355467920, 0x00007fe785977290, 16);

ITER 35 - 6:
	(0x402d80, 35, 1, 140632354464408, 0x00007fe785882298, 24);
	(0x402d92, 35, 1, 140632354467240, 0x00007fe785882da8, 40);
	(0x402d9d, 35, 1, 140632354461576, 0x00007fe785881788, 8);
	(0x402da4, 35, 1, 140632354464416, 0x00007fe7858822a0, 32);
	(0x402dab, 35, 1, 140632354464400, 0x00007fe785882290, 16);
	(0x402dba, 35, 1, 140632355467928, 0x00007fe785977298, 24);

ITER 36 - 6:
	(0x402d80, 36, 1, 140632354464416, 0x00007fe7858822a0, 32);
	(0x402d92, 36, 1, 140632354467248, 0x00007fe785882db0, 48);
	(0x402d9d, 36, 1, 140632354461584, 0x00007fe785881790, 16);
	(0x402da4, 36, 1, 140632354464424, 0x00007fe7858822a8, 40);
	(0x402dab, 36, 1, 140632354464408, 0x00007fe785882298, 24);
