ITER 0 - 6:
	(0x402d80, 0, 3, 140632354461296, 0x00007fe785881670, 48);
	(0x402d92, 0, 3, 140632354464128, 0x00007fe785882180, 0);
	(0x402d9d, 0, 3, 140632354458464, 0x00007fe785880b60, 32);
	(0x402da4, 0, 1, 140632354461304, 0x00007fe785881678, 56);
	(0x402dab, 0, 1, 140632354461288, 0x00007fe785881668, 40);
	(0x402dba, 0, 3, 140632355464816, 0x00007fe785976670, 48);

ITER 1 - 6:
	(0x402d80, 1, 1, 140632354461304, 0x00007fe785881678, 56);
	(0x402d92, 1, 1, 140632354464136, 0x00007fe785882188, 8);
	(0x402d9d, 1, 1, 140632354458472, 0x00007fe785880b68, 40);
	(0x402da4, 1, 3, 140632354461312, 0x00007fe785881680, 0);
	(0x402dab, 1, 1, 140632354461296, 0x00007fe785881670, 48);
	(0x402dba, 1, 1, 140632355464824, 0x00007fe785976678, 56);

ITER 2 - 6:
	(0x402d80, 2, 1, 140632354461312, 0x00007fe785881680, 0);
	(0x402d92, 2, 1, 140632354464144, 0x00007fe785882190, 16);
	(0x402d9d, 2, 1, 140632354458480, 0x00007fe785880b70, 48);
	(0x402da4, 2, 1, 140632354461320, 0x00007fe785881688, 8);
	(0x402dab, 2, 1, 140632354461304, 0x00007fe785881678, 56);
	(0x402dba, 2, 3, 140632355464832, 0x00007fe785976680, 0);

ITER 3 - 6:
	(0x402d80, 3, 1, 140632354461320, 0x00007fe785881688, 8);
	(0x402d92, 3, 1, 140632354464152, 0x00007fe785882198, 24);
	(0x402d9d, 3, 1, 140632354458488, 0x00007fe785880b78, 56);
	(0x402da4, 3, 1, 140632354461328, 0x00007fe785881690, 16);
	(0x402dab, 3, 1, 140632354461312, 0x00007fe785881680, 0);
	(0x402dba, 3, 1, 140632355464840, 0x00007fe785976688, 8);

ITER 4 - 6:
	(0x402d80, 4, 1, 140632354461328, 0x00007fe785881690, 16);
	(0x402d92, 4, 1, 140632354464160, 0x00007fe7858821a0, 32);
	(0x402d9d, 4, 3, 140632354458496, 0x00007fe785880b80, 0);
	(0x402da4, 4, 1, 140632354461336, 0x00007fe785881698, 24);
	(0x402dab, 4, 1, 140632354461320, 0x00007fe785881688, 8);
	(0x402dba, 4, 1, 140632355464848, 0x00007fe785976690, 16);

ITER 5 - 6:
	(0x402d80, 5, 1, 140632354461336, 0x00007fe785881698, 24);
	(0x402d92, 5, 1, 140632354464168, 0x00007fe7858821a8, 40);
	(0x402d9d, 5, 1, 140632354458504, 0x00007fe785880b88, 8);
	(0x402da4, 5, 1, 140632354461344, 0x00007fe7858816a0, 32);
	(0x402dab, 5, 1, 140632354461328, 0x00007fe785881690, 16);
	(0x402dba, 5, 1, 140632355464856, 0x00007fe785976698, 24);

ITER 6 - 6:
	(0x402d80, 6, 1, 140632354461344, 0x00007fe7858816a0, 32);
	(0x402d92, 6, 1, 140632354464176, 0x00007fe7858821b0, 48);
	(0x402d9d, 6, 1, 140632354458512, 0x00007fe785880b90, 16);
	(0x402da4, 6, 1, 140632354461352, 0x00007fe7858816a8, 40);
	(0x402dab, 6, 1, 140632354461336, 0x00007fe785881698, 24);
	(0x402dba, 6, 1, 140632355464864, 0x00007fe7859766a0, 32);

ITER 7 - 6:
	(0x402d80, 7, 1, 140632354461352, 0x00007fe7858816a8, 40);
	(0x402d92, 7, 1, 140632354464184, 0x00007fe7858821b8, 56);
