ITER 0 - 6:
	(0x402d80, 0, 2, 140632354741664, 0x00007fe7858c5da0, 32);
	(0x402d92, 0, 1, 140632354744496, 0x00007fe7858c68b0, 48);
	(0x402d9d, 0, 2, 140632354738832, 0x00007fe7858c5290, 16);
	(0x402da4, 0, 1, 140632354741672, 0x00007fe7858c5da8, 40);
	(0x402dab, 0, 1, 140632354741656, 0x00007fe7858c5d98, 24);
	(0x402dba, 0, 2, 140632355745184, 0x00007fe7859bada0, 32);

ITER 1 - 6:
	(0x402d80, 1, 2, 140632354741672, 0x00007fe7858c5da8, 40);
	(0x402d92, 1, 1, 140632354744504, 0x00007fe7858c68b8, 56);
	(0x402d9d, 1, 1, 140632354738840, 0x00007fe7858c5298, 24);
	(0x402da4, 1, 1, 140632354741680, 0x00007fe7858c5db0, 48);
	(0x402dab, 1, 1, 140632354741664, 0x00007fe7858c5da0, 32);
	(0x402dba, 1, 2, 140632355745192, 0x00007fe7859bada8, 40);

ITER 2 - 6:
	(0x402d80, 2, 2, 140632354741680, 0x00007fe7858c5db0, 48);
	(0x402d92, 2, 3, 140632354744512, 0x00007fe7858c68c0, 0);
	(0x402d9d, 2, 1, 140632354738848, 0x00007fe7858c52a0, 32);
	(0x402da4, 2, 1, 140632354741688, 0x00007fe7858c5db8, 56);
	(0x402dab, 2, 1, 140632354741672, 0x00007fe7858c5da8, 40);
	(0x402dba, 2, 2, 140632355745200, 0x00007fe7859badb0, 48);

ITER 3 - 6:
	(0x402d80, 3, 2, 140632354741688, 0x00007fe7858c5db8, 56);
	(0x402d92, 3, 1, 140632354744520, 0x00007fe7858c68c8, 8);
	(0x402d9d, 3, 1, 140632354738856, 0x00007fe7858c52a8, 40);
	(0x402da4, 3, 2, 140632354741696, 0x00007fe7858c5dc0, 0);
	(0x402dab, 3, 1, 140632354741680, 0x00007fe7858c5db0, 48);
	(0x402dba, 3, 2, 140632355745208, 0x00007fe7859badb8, 56);

ITER 4 - 6:
	(0x402d80, 4, 1, 140632354741696, 0x00007fe7858c5dc0, 0);
	(0x402d92, 4, 1, 140632354744528, 0x00007fe7858c68d0, 16);
	(0x402d9d, 4, 1, 140632354738864, 0x00007fe7858c52b0, 48);
	(0x402da4, 4, 1, 140632354741704, 0x00007fe7858c5dc8, 8);
	(0x402dab, 4, 2, 140632354741688, 0x00007fe7858c5db8, 56);
	(0x402dba, 4, 3, 140632355745216, 0x00007fe7859badc0, 0);

ITER 5 - 6:
	(0x402d80, 5, 2, 140632354741704, 0x00007fe7858c5dc8, 8);
	(0x402d92, 5, 1, 140632354744536, 0x00007fe7858c68d8, 24);
	(0x402d9d, 5, 1, 140632354738872, 0x00007fe7858c52b8, 56);
	(0x402da4, 5, 1, 140632354741712, 0x00007fe7858c5dd0, 16);
	(0x402dab, 5, 1, 140632354741696, 0x00007fe7858c5dc0, 0);
	(0x402dba, 5, 2, 140632355745224, 0x00007fe7859badc8, 8);

ITER 6 - 6:
	(0x402d80, 6, 2, 140632354741712, 0x00007fe7858c5dd0, 16);
	(0x402d92, 6, 1, 140632354744544, 0x00007fe7858c68e0, 32);
	(0x402d9d, 6, 2, 140632354738880, 0x00007fe7858c52c0, 0);
	(0x402da4, 6, 1, 140632354741720, 0x00007fe7858c5dd8, 24);
	(0x402dab, 6, 1, 140632354741704, 0x00007fe7858c5dc8, 8);
	(0x402dba, 6, 2, 140632355745232, 0x00007fe7859badd0, 16);

ITER 7 - 6:
	(0x402d80, 7, 2, 140632354741720, 0x00007fe7858c5dd8, 24);
	(0x402d92, 7, 1, 140632354744552, 0x00007fe7858c68e8, 40);
	(0x402d9d, 7, 1, 140632354738888, 0x00007fe7858c52c8, 8);
	(0x402da4, 7, 1, 140632354741728, 0x00007fe7858c5de0, 32);
	(0x402dab, 7, 1, 140632354741712, 0x00007fe7858c5dd0, 16);
	(0x402dba, 7, 2, 140632355745240, 0x00007fe7859badd8, 24);

ITER 8 - 6:
	(0x402d80, 8, 2, 140632354741728, 0x00007fe7858c5de0, 32);
	(0x402d92, 8, 1, 140632354744560, 0x00007fe7858c68f0, 48);
	(0x402d9d, 8, 1, 140632354738896, 0x00007fe7858c52d0, 16);
	(0x402da4, 8, 1, 140632354741736, 0x00007fe7858c5de8, 40);
	(0x402dab, 8, 1, 140632354741720, 0x00007fe7858c5dd8, 24);
	(0x402dba, 8, 2, 140632355745248, 0x00007fe7859bade0, 32);

ITER 9 - 6:
	(0x402d80, 9, 2, 140632354741736, 0x00007fe7858c5de8, 40);
	(0x402d92, 9, 1, 140632354744568, 0x00007fe7858c68f8, 56);
	(0x402d9d, 9, 1, 140632354738904, 0x00007fe7858c52d8, 24);
	(0x402da4, 9, 1, 140632354741744, 0x00007fe7858c5df0, 48);
