LoopID : 1; InstanceID : 0; LoopCount : 68; NbInsns : 16

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e56; MOVSS (%RDX,%R12,1),%XMM8                         ;	load;	f;	0x402e94;	34;	24;	10;	1;	33;	0;	0;	33;	0
0x402e5f; MOVSS 0x4(%RDX,%R12,1),%XMM9                      ;	load;	f;	0x402e94;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e66; MOVSS 0x8(%RDX,%R12,1),%XMM10                     ;	load;	f;	0x402e94;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e6d; MOVSS 0xc(%RDX,%R12,1),%XMM11                     ;	load;	f;	0x402e94;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e74; MOVSS 0x10(%RDX,%R12,1),%XMM12                    ;	load;	f;	0x402e94;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e7b; MOVSS 0x14(%RDX,%R12,1),%XMM13                    ;	load;	f;	0x402e94;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e82; MOVSS 0x18(%RDX,%R12,1),%XMM14                    ;	load;	f;	0x402e94;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e89; MOVSS 0x1c(%RDX,%R12,1),%XMM15                    ;	load;	f;	0x402e94;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e94; MULSS -0x4(%R13,%RAX,8),%XMM8                     ;	load;	l;	0x402e94;	0;	31;	37;	0;	68;	0;	0;	68;	0
0x402e9b; MULSS -0x4(%RDI,%RAX,8),%XMM9                     ;	load;	l;	0x402e9b;	0;	31;	37;	0;	68;	0;	0;	68;	0
0x402ea2; MULSS -0x4(%R8,%RAX,8),%XMM10                     ;	load;	l;	0x402ea2;	0;	31;	37;	0;	68;	0;	0;	68;	0
0x402ea9; MULSS -0x4(%RBX,%RAX,8),%XMM11                    ;	load;	l;	0x402ea9;	0;	31;	37;	0;	68;	0;	0;	68;	0
0x402eb0; MULSS -0x4(%R9,%RAX,8),%XMM12                     ;	load;	l;	0x402eb0;	0;	31;	37;	0;	68;	0;	0;	68;	0
0x402ed0; MULSS -0x4(%R11,%RAX,8),%XMM13                    ;	load;	l;	0x402ed0;	0;	31;	37;	0;	68;	0;	0;	68;	0
0x402ed7; MULSS -0x4(%RSI,%RAX,8),%XMM14                    ;	load;	l;	0x402ed7;	0;	31;	37;	0;	68;	0;	0;	68;	0
0x402ede; MULSS -0x4(%RBP,%RAX,8),%XMM15                    ;	load;	l;	0x402ede;	0;	32;	36;	0;	68;	0;	0;	68;	0

Sum(Column):	510.000;	273.000;	305.000;	1.000;	577.000;	0.000;	0.000;	577.000;	0.000
Sum(Column) / LoopCount:	31.875;	17.062;	19.062;	0.062;	36.062;	0.000;	0.000;	36.062;	0.000

LoopID : 1; InstanceID : 1; LoopCount : 68; NbInsns : 16

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e56; MOVSS (%RDX,%R12,1),%XMM8                         ;	load;	f;	0x402e9b;	32;	17;	19;	3;	33;	0;	0;	33;	0
0x402e5f; MOVSS 0x4(%RDX,%R12,1),%XMM9                      ;	load;	f;	0x402e9b;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e66; MOVSS 0x8(%RDX,%R12,1),%XMM10                     ;	load;	f;	0x402e9b;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e6d; MOVSS 0xc(%RDX,%R12,1),%XMM11                     ;	load;	f;	0x402e9b;	68;	0;	0;	0;	0;	0;	0;	0;	0
0x402e74; MOVSS 0x10(%RDX,%R12,1),%XMM12                    ;	load;	f;	0x402e9b;	68;	0;	0;	0;	0;	0;	0;	0;	0
