LoopID : 1; InstanceID : 0; LoopCount : 15488; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402df0; MOVUPS (%RSI,%R8,8),%XMM0                         ;	load;	l;	0x402df0;	0;	192;	15296;	0;	1344;	14144;	0;	15488;	0
0x402df5; MOVUPS 0x10(%RSI,%R8,8),%XMM1                     ;	load;	f;	0x402df0;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402dfb; MOVUPS 0x20(%RSI,%R8,8),%XMM2                     ;	load;	f;	0x402df0;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402e01; MOVUPS 0x30(%RSI,%R8,8),%XMM3                     ;	load;	f;	0x402df0;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402e07; ADDPD (%RDX,%R8,8),%XMM0                          ;	load;	l;	0x402e07;	0;	192;	15296;	0;	1344;	14144;	0;	15488;	0
0x402e0d; ADDPD 0x10(%RDX,%R8,8),%XMM1                      ;	load;	f;	0x402e07;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402e14; ADDPD 0x20(%RDX,%R8,8),%XMM2                      ;	load;	f;	0x402e07;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1b; ADDPD 0x30(%RDX,%R8,8),%XMM3                      ;	load;	f;	0x402e07;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402e22; MOVUPS %XMM0,(%RCX,%R8,8)                         ;	store;	l;	0x402e22;	0;	128;	15360;	0;	1408;	14080;	0;	15488;	0
0x402e27; MOVUPS %XMM1,0x10(%RCX,%R8,8)                     ;	store;	f;	0x402e22;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2d; MOVUPS %XMM2,0x20(%RCX,%R8,8)                     ;	store;	f;	0x402e22;	15488;	0;	0;	0;	0;	0;	0;	0;	0
0x402e33; MOVUPS %XMM3,0x30(%RCX,%R8,8)                     ;	store;	f;	0x402e22;	15488;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	139392.000;	512.000;	45952.000;	0.000;	4096.000;	42368.000;	0.000;	46464.000;	0.000
Sum(Column) / LoopCount:	11616.000;	42.667;	3829.333;	0.000;	341.333;	3530.667;	0.000;	3872.000;	0.000

LoopID : 1; InstanceID : 1; LoopCount : 15488; NbInsns : 12

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

