ITER 0 - 3:
	(0x402eb0, 0, 3, 140092607851712, 0x00007f69da206cc0, 0);
	(0x402eb5, 0, 1, 108964992, 0x00000000067eac80, 0);
	(0x402eba, 0, 3, 140092607853312, 0x00007f69da207300, 0);

ITER 1 - 3:
	(0x402eb0, 1, 1, 140092607851728, 0x00007f69da206cd0, 16);
	(0x402eb5, 1, 1, 108965008, 0x00000000067eac90, 16);
	(0x402eba, 1, 1, 140092607853328, 0x00007f69da207310, 16);

ITER 2 - 3:
	(0x402eb0, 2, 1, 140092607851744, 0x00007f69da206ce0, 32);
	(0x402eb5, 2, 1, 108965024, 0x00000000067eaca0, 32);
	(0x402eba, 2, 1, 140092607853344, 0x00007f69da207320, 32);

ITER 3 - 3:
	(0x402eb0, 3, 1, 140092607851760, 0x00007f69da206cf0, 48);
	(0x402eb5, 3, 1, 108965040, 0x00000000067eacb0, 48);
	(0x402eba, 3, 1, 140092607853360, 0x00007f69da207330, 48);

ITER 4 - 3:
	(0x402eb0, 4, 3, 140092607851776, 0x00007f69da206d00, 0);
	(0x402eb5, 4, 1, 108965056, 0x00000000067eacc0, 0);
	(0x402eba, 4, 3, 140092607853376, 0x00007f69da207340, 0);

ITER 5 - 3:
	(0x402eb0, 5, 1, 140092607851792, 0x00007f69da206d10, 16);
	(0x402eb5, 5, 1, 108965072, 0x00000000067eacd0, 16);
	(0x402eba, 5, 1, 140092607853392, 0x00007f69da207350, 16);

ITER 6 - 3:
	(0x402eb0, 6, 1, 140092607851808, 0x00007f69da206d20, 32);
	(0x402eb5, 6, 1, 108965088, 0x00000000067eace0, 32);
	(0x402eba, 6, 1, 140092607853408, 0x00007f69da207360, 32);

ITER 7 - 3:
	(0x402eb0, 7, 1, 140092607851824, 0x00007f69da206d30, 48);
	(0x402eb5, 7, 1, 108965104, 0x00000000067eacf0, 48);
	(0x402eba, 7, 1, 140092607853424, 0x00007f69da207370, 48);

ITER 8 - 3:
	(0x402eb0, 8, 3, 140092607851840, 0x00007f69da206d40, 0);
	(0x402eb5, 8, 1, 108965120, 0x00000000067ead00, 0);
	(0x402eba, 8, 3, 140092607853440, 0x00007f69da207380, 0);

ITER 9 - 3:
	(0x402eb0, 9, 1, 140092607851856, 0x00007f69da206d50, 16);
	(0x402eb5, 9, 1, 108965136, 0x00000000067ead10, 16);
	(0x402eba, 9, 1, 140092607853456, 0x00007f69da207390, 16);

ITER 10 - 3:
	(0x402eb0, 10, 1, 140092607851872, 0x00007f69da206d60, 32);
	(0x402eb5, 10, 1, 108965152, 0x00000000067ead20, 32);
	(0x402eba, 10, 1, 140092607853472, 0x00007f69da2073a0, 32);

ITER 11 - 3:
	(0x402eb0, 11, 1, 140092607851888, 0x00007f69da206d70, 48);
	(0x402eb5, 11, 1, 108965168, 0x00000000067ead30, 48);
	(0x402eba, 11, 1, 140092607853488, 0x00007f69da2073b0, 48);

ITER 12 - 3:
	(0x402eb0, 12, 3, 140092607851904, 0x00007f69da206d80, 0);
	(0x402eb5, 12, 1, 108965184, 0x00000000067ead40, 0);
	(0x402eba, 12, 3, 140092607853504, 0x00007f69da2073c0, 0);

ITER 13 - 3:
	(0x402eb0, 13, 1, 140092607851920, 0x00007f69da206d90, 16);
	(0x402eb5, 13, 1, 108965200, 0x00000000067ead50, 16);
	(0x402eba, 13, 1, 140092607853520, 0x00007f69da2073d0, 16);

ITER 14 - 3:
	(0x402eb0, 14, 1, 140092607851936, 0x00007f69da206da0, 32);
	(0x402eb5, 14, 1, 108965216, 0x00000000067ead60, 32);
	(0x402eba, 14, 1, 140092607853536, 0x00007f69da2073e0, 32);

ITER 15 - 3:
	(0x402eb0, 15, 1, 140092607851952, 0x00007f69da206db0, 48);
	(0x402eb5, 15, 1, 108965232, 0x00000000067ead70, 48);
	(0x402eba, 15, 1, 140092607853552, 0x00007f69da2073f0, 48);

ITER 16 - 3:
	(0x402eb0, 16, 3, 140092607851968, 0x00007f69da206dc0, 0);
	(0x402eb5, 16, 1, 108965248, 0x00000000067ead80, 0);
	(0x402eba, 16, 3, 140092607853568, 0x00007f69da207400, 0);

ITER 17 - 3:
	(0x402eb0, 17, 1, 140092607851984, 0x00007f69da206dd0, 16);
	(0x402eb5, 17, 1, 108965264, 0x00000000067ead90, 16);
	(0x402eba, 17, 1, 140092607853584, 0x00007f69da207410, 16);

ITER 18 - 3:
	(0x402eb0, 18, 1, 140092607852000, 0x00007f69da206de0, 32);
	(0x402eb5, 18, 1, 108965280, 0x00000000067eada0, 32);
	(0x402eba, 18, 1, 140092607853600, 0x00007f69da207420, 32);

ITER 19 - 3:
	(0x402eb0, 19, 1, 140092607852016, 0x00007f69da206df0, 48);
	(0x402eb5, 19, 1, 108965296, 0x00000000067eadb0, 48);
	(0x402eba, 19, 1, 140092607853616, 0x00007f69da207430, 48);

ITER 20 - 3:
	(0x402eb0, 20, 3, 140092607852032, 0x00007f69da206e00, 0);
	(0x402eb5, 20, 1, 108965312, 0x00000000067eadc0, 0);
	(0x402eba, 20, 3, 140092607853632, 0x00007f69da207440, 0);

ITER 21 - 3:
	(0x402eb0, 21, 1, 140092607852048, 0x00007f69da206e10, 16);
	(0x402eb5, 21, 1, 108965328, 0x00000000067eadd0, 16);
	(0x402eba, 21, 1, 140092607853648, 0x00007f69da207450, 16);

ITER 22 - 3:
	(0x402eb0, 22, 1, 140092607852064, 0x00007f69da206e20, 32);
	(0x402eb5, 22, 1, 108965344, 0x00000000067eade0, 32);
	(0x402eba, 22, 1, 140092607853664, 0x00007f69da207460, 32);

ITER 23 - 3:
	(0x402eb0, 23, 1, 140092607852080, 0x00007f69da206e30, 48);
	(0x402eb5, 23, 1, 108965360, 0x00000000067eadf0, 48);
	(0x402eba, 23, 1, 140092607853680, 0x00007f69da207470, 48);

ITER 24 - 3:
	(0x402eb0, 24, 3, 140092607852096, 0x00007f69da206e40, 0);
	(0x402eb5, 24, 1, 108965376, 0x00000000067eae00, 0);
	(0x402eba, 24, 3, 140092607853696, 0x00007f69da207480, 0);

ITER 25 - 3:
	(0x402eb0, 25, 1, 140092607852112, 0x00007f69da206e50, 16);
	(0x402eb5, 25, 1, 108965392, 0x00000000067eae10, 16);
	(0x402eba, 25, 1, 140092607853712, 0x00007f69da207490, 16);

ITER 26 - 3:
