ITER 0 - 3:
	(0x402eb0, 0, 3, 140092607848512, 0x00007f69da206040, 0);
	(0x402eb5, 0, 3, 108964992, 0x00000000067eac80, 0);
	(0x402eba, 0, 3, 140092607850112, 0x00007f69da206680, 0);

ITER 1 - 3:
	(0x402eb0, 1, 1, 140092607848528, 0x00007f69da206050, 16);
	(0x402eb5, 1, 1, 108965008, 0x00000000067eac90, 16);
	(0x402eba, 1, 1, 140092607850128, 0x00007f69da206690, 16);

ITER 2 - 3:
	(0x402eb0, 2, 1, 140092607848544, 0x00007f69da206060, 32);
	(0x402eb5, 2, 1, 108965024, 0x00000000067eaca0, 32);
	(0x402eba, 2, 1, 140092607850144, 0x00007f69da2066a0, 32);

ITER 3 - 3:
	(0x402eb0, 3, 1, 140092607848560, 0x00007f69da206070, 48);
	(0x402eb5, 3, 1, 108965040, 0x00000000067eacb0, 48);
	(0x402eba, 3, 1, 140092607850160, 0x00007f69da2066b0, 48);

ITER 4 - 3:
	(0x402eb0, 4, 3, 140092607848576, 0x00007f69da206080, 0);
	(0x402eb5, 4, 3, 108965056, 0x00000000067eacc0, 0);
	(0x402eba, 4, 3, 140092607850176, 0x00007f69da2066c0, 0);

ITER 5 - 3:
	(0x402eb0, 5, 1, 140092607848592, 0x00007f69da206090, 16);
	(0x402eb5, 5, 1, 108965072, 0x00000000067eacd0, 16);
	(0x402eba, 5, 1, 140092607850192, 0x00007f69da2066d0, 16);

ITER 6 - 3:
	(0x402eb0, 6, 1, 140092607848608, 0x00007f69da2060a0, 32);
	(0x402eb5, 6, 1, 108965088, 0x00000000067eace0, 32);
	(0x402eba, 6, 1, 140092607850208, 0x00007f69da2066e0, 32);

ITER 7 - 3:
	(0x402eb0, 7, 1, 140092607848624, 0x00007f69da2060b0, 48);
	(0x402eb5, 7, 1, 108965104, 0x00000000067eacf0, 48);
	(0x402eba, 7, 1, 140092607850224, 0x00007f69da2066f0, 48);

ITER 8 - 3:
	(0x402eb0, 8, 3, 140092607848640, 0x00007f69da2060c0, 0);
	(0x402eb5, 8, 3, 108965120, 0x00000000067ead00, 0);
	(0x402eba, 8, 3, 140092607850240, 0x00007f69da206700, 0);

ITER 9 - 3:
	(0x402eb0, 9, 1, 140092607848656, 0x00007f69da2060d0, 16);
	(0x402eb5, 9, 1, 108965136, 0x00000000067ead10, 16);
	(0x402eba, 9, 1, 140092607850256, 0x00007f69da206710, 16);

ITER 10 - 3:
	(0x402eb0, 10, 1, 140092607848672, 0x00007f69da2060e0, 32);
	(0x402eb5, 10, 1, 108965152, 0x00000000067ead20, 32);
	(0x402eba, 10, 1, 140092607850272, 0x00007f69da206720, 32);

ITER 11 - 3:
	(0x402eb0, 11, 1, 140092607848688, 0x00007f69da2060f0, 48);
	(0x402eb5, 11, 1, 108965168, 0x00000000067ead30, 48);
	(0x402eba, 11, 1, 140092607850288, 0x00007f69da206730, 48);

ITER 12 - 3:
	(0x402eb0, 12, 3, 140092607848704, 0x00007f69da206100, 0);
	(0x402eb5, 12, 3, 108965184, 0x00000000067ead40, 0);
	(0x402eba, 12, 3, 140092607850304, 0x00007f69da206740, 0);

ITER 13 - 3:
	(0x402eb0, 13, 1, 140092607848720, 0x00007f69da206110, 16);
	(0x402eb5, 13, 1, 108965200, 0x00000000067ead50, 16);
	(0x402eba, 13, 1, 140092607850320, 0x00007f69da206750, 16);

ITER 14 - 3:
	(0x402eb0, 14, 1, 140092607848736, 0x00007f69da206120, 32);
	(0x402eb5, 14, 1, 108965216, 0x00000000067ead60, 32);
	(0x402eba, 14, 1, 140092607850336, 0x00007f69da206760, 32);

ITER 15 - 3:
	(0x402eb0, 15, 1, 140092607848752, 0x00007f69da206130, 48);
	(0x402eb5, 15, 1, 108965232, 0x00000000067ead70, 48);
	(0x402eba, 15, 1, 140092607850352, 0x00007f69da206770, 48);

ITER 16 - 3:
	(0x402eb0, 16, 3, 140092607848768, 0x00007f69da206140, 0);
	(0x402eb5, 16, 3, 108965248, 0x00000000067ead80, 0);
	(0x402eba, 16, 3, 140092607850368, 0x00007f69da206780, 0);

ITER 17 - 3:
	(0x402eb0, 17, 1, 140092607848784, 0x00007f69da206150, 16);
	(0x402eb5, 17, 1, 108965264, 0x00000000067ead90, 16);
	(0x402eba, 17, 1, 140092607850384, 0x00007f69da206790, 16);

ITER 18 - 3:
	(0x402eb0, 18, 1, 140092607848800, 0x00007f69da206160, 32);
	(0x402eb5, 18, 1, 108965280, 0x00000000067eada0, 32);
	(0x402eba, 18, 1, 140092607850400, 0x00007f69da2067a0, 32);

ITER 19 - 3:
	(0x402eb0, 19, 1, 140092607848816, 0x00007f69da206170, 48);
	(0x402eb5, 19, 1, 108965296, 0x00000000067eadb0, 48);
	(0x402eba, 19, 1, 140092607850416, 0x00007f69da2067b0, 48);

ITER 20 - 3:
	(0x402eb0, 20, 3, 140092607848832, 0x00007f69da206180, 0);
	(0x402eb5, 20, 3, 108965312, 0x00000000067eadc0, 0);
	(0x402eba, 20, 3, 140092607850432, 0x00007f69da2067c0, 0);

ITER 21 - 3:
	(0x402eb0, 21, 1, 140092607848848, 0x00007f69da206190, 16);
	(0x402eb5, 21, 1, 108965328, 0x00000000067eadd0, 16);
	(0x402eba, 21, 1, 140092607850448, 0x00007f69da2067d0, 16);

ITER 22 - 3:
