ITER 0 - 3:
	(0x402eb0, 0, 3, 140092608165312, 0x00007f69da2535c0, 0);
	(0x402eb5, 0, 2, 108964992, 0x00000000067eac80, 0);
	(0x402eba, 0, 3, 140092608166912, 0x00007f69da253c00, 0);

ITER 1 - 3:
	(0x402eb0, 1, 1, 140092608165328, 0x00007f69da2535d0, 16);
	(0x402eb5, 1, 1, 108965008, 0x00000000067eac90, 16);
	(0x402eba, 1, 1, 140092608166928, 0x00007f69da253c10, 16);

ITER 2 - 3:
	(0x402eb0, 2, 1, 140092608165344, 0x00007f69da2535e0, 32);
	(0x402eb5, 2, 1, 108965024, 0x00000000067eaca0, 32);
	(0x402eba, 2, 1, 140092608166944, 0x00007f69da253c20, 32);

ITER 3 - 3:
	(0x402eb0, 3, 1, 140092608165360, 0x00007f69da2535f0, 48);
	(0x402eb5, 3, 1, 108965040, 0x00000000067eacb0, 48);
	(0x402eba, 3, 1, 140092608166960, 0x00007f69da253c30, 48);

ITER 4 - 3:
	(0x402eb0, 4, 3, 140092608165376, 0x00007f69da253600, 0);
	(0x402eb5, 4, 2, 108965056, 0x00000000067eacc0, 0);
	(0x402eba, 4, 3, 140092608166976, 0x00007f69da253c40, 0);

ITER 5 - 3:
	(0x402eb0, 5, 1, 140092608165392, 0x00007f69da253610, 16);
	(0x402eb5, 5, 1, 108965072, 0x00000000067eacd0, 16);
	(0x402eba, 5, 1, 140092608166992, 0x00007f69da253c50, 16);

ITER 6 - 3:
	(0x402eb0, 6, 1, 140092608165408, 0x00007f69da253620, 32);
	(0x402eb5, 6, 1, 108965088, 0x00000000067eace0, 32);
	(0x402eba, 6, 1, 140092608167008, 0x00007f69da253c60, 32);

ITER 7 - 3:
	(0x402eb0, 7, 1, 140092608165424, 0x00007f69da253630, 48);
	(0x402eb5, 7, 1, 108965104, 0x00000000067eacf0, 48);
	(0x402eba, 7, 1, 140092608167024, 0x00007f69da253c70, 48);

ITER 8 - 3:
	(0x402eb0, 8, 3, 140092608165440, 0x00007f69da253640, 0);
	(0x402eb5, 8, 2, 108965120, 0x00000000067ead00, 0);
	(0x402eba, 8, 3, 140092608167040, 0x00007f69da253c80, 0);

ITER 9 - 3:
	(0x402eb0, 9, 1, 140092608165456, 0x00007f69da253650, 16);
	(0x402eb5, 9, 1, 108965136, 0x00000000067ead10, 16);
	(0x402eba, 9, 1, 140092608167056, 0x00007f69da253c90, 16);

ITER 10 - 3:
	(0x402eb0, 10, 1, 140092608165472, 0x00007f69da253660, 32);
	(0x402eb5, 10, 1, 108965152, 0x00000000067ead20, 32);
	(0x402eba, 10, 1, 140092608167072, 0x00007f69da253ca0, 32);

ITER 11 - 3:
	(0x402eb0, 11, 1, 140092608165488, 0x00007f69da253670, 48);
	(0x402eb5, 11, 1, 108965168, 0x00000000067ead30, 48);
	(0x402eba, 11, 1, 140092608167088, 0x00007f69da253cb0, 48);

ITER 12 - 3:
	(0x402eb0, 12, 3, 140092608165504, 0x00007f69da253680, 0);
	(0x402eb5, 12, 2, 108965184, 0x00000000067ead40, 0);
	(0x402eba, 12, 3, 140092608167104, 0x00007f69da253cc0, 0);

ITER 13 - 3:
	(0x402eb0, 13, 1, 140092608165520, 0x00007f69da253690, 16);
	(0x402eb5, 13, 1, 108965200, 0x00000000067ead50, 16);
	(0x402eba, 13, 1, 140092608167120, 0x00007f69da253cd0, 16);

ITER 14 - 3:
	(0x402eb0, 14, 1, 140092608165536, 0x00007f69da2536a0, 32);
	(0x402eb5, 14, 1, 108965216, 0x00000000067ead60, 32);
	(0x402eba, 14, 1, 140092608167136, 0x00007f69da253ce0, 32);

ITER 15 - 3:
	(0x402eb0, 15, 1, 140092608165552, 0x00007f69da2536b0, 48);
