ITER 0 - 6:
	(0x402da0, 0, 1, 129981568, 0x0000000007bf5c80, 0);
	(0x402da5, 0, 1, 129981572, 0x0000000007bf5c84, 4);
	(0x402dac, 0, 3, 140376601287872, 0x00007fabf9745cc0, 0);
	(0x402db2, 0, 1, 140376601287876, 0x00007fabf9745cc4, 4);
	(0x402db9, 0, 3, 140376601289472, 0x00007fabf9746300, 0);
	(0x402dbf, 0, 1, 140376601289476, 0x00007fabf9746304, 4);

ITER 1 - 6:
	(0x402da0, 1, 1, 129981576, 0x0000000007bf5c88, 8);
	(0x402da5, 1, 1, 129981580, 0x0000000007bf5c8c, 12);
	(0x402dac, 1, 1, 140376601287880, 0x00007fabf9745cc8, 8);
	(0x402db2, 1, 1, 140376601287884, 0x00007fabf9745ccc, 12);
	(0x402db9, 1, 1, 140376601289480, 0x00007fabf9746308, 8);
	(0x402dbf, 1, 1, 140376601289484, 0x00007fabf974630c, 12);

ITER 2 - 6:
	(0x402da0, 2, 1, 129981584, 0x0000000007bf5c90, 16);
	(0x402da5, 2, 1, 129981588, 0x0000000007bf5c94, 20);
	(0x402dac, 2, 1, 140376601287888, 0x00007fabf9745cd0, 16);
	(0x402db2, 2, 1, 140376601287892, 0x00007fabf9745cd4, 20);
	(0x402db9, 2, 1, 140376601289488, 0x00007fabf9746310, 16);
	(0x402dbf, 2, 1, 140376601289492, 0x00007fabf9746314, 20);

ITER 3 - 6:
	(0x402da0, 3, 1, 129981592, 0x0000000007bf5c98, 24);
	(0x402da5, 3, 1, 129981596, 0x0000000007bf5c9c, 28);
	(0x402dac, 3, 1, 140376601287896, 0x00007fabf9745cd8, 24);
	(0x402db2, 3, 1, 140376601287900, 0x00007fabf9745cdc, 28);
	(0x402db9, 3, 1, 140376601289496, 0x00007fabf9746318, 24);
	(0x402dbf, 3, 1, 140376601289500, 0x00007fabf974631c, 28);

ITER 4 - 6:
	(0x402da0, 4, 1, 129981600, 0x0000000007bf5ca0, 32);
	(0x402da5, 4, 1, 129981604, 0x0000000007bf5ca4, 36);
	(0x402dac, 4, 1, 140376601287904, 0x00007fabf9745ce0, 32);
	(0x402db2, 4, 1, 140376601287908, 0x00007fabf9745ce4, 36);
	(0x402db9, 4, 1, 140376601289504, 0x00007fabf9746320, 32);
	(0x402dbf, 4, 1, 140376601289508, 0x00007fabf9746324, 36);

ITER 5 - 6:
	(0x402da0, 5, 1, 129981608, 0x0000000007bf5ca8, 40);
	(0x402da5, 5, 1, 129981612, 0x0000000007bf5cac, 44);
	(0x402dac, 5, 1, 140376601287912, 0x00007fabf9745ce8, 40);
	(0x402db2, 5, 1, 140376601287916, 0x00007fabf9745cec, 44);
	(0x402db9, 5, 1, 140376601289512, 0x00007fabf9746328, 40);
	(0x402dbf, 5, 1, 140376601289516, 0x00007fabf974632c, 44);

ITER 6 - 6:
	(0x402da0, 6, 1, 129981616, 0x0000000007bf5cb0, 48);
	(0x402da5, 6, 1, 129981620, 0x0000000007bf5cb4, 52);
	(0x402dac, 6, 1, 140376601287920, 0x00007fabf9745cf0, 48);
	(0x402db2, 6, 1, 140376601287924, 0x00007fabf9745cf4, 52);
	(0x402db9, 6, 1, 140376601289520, 0x00007fabf9746330, 48);
	(0x402dbf, 6, 1, 140376601289524, 0x00007fabf9746334, 52);

ITER 7 - 6:
	(0x402da0, 7, 1, 129981624, 0x0000000007bf5cb8, 56);
	(0x402da5, 7, 1, 129981628, 0x0000000007bf5cbc, 60);
	(0x402dac, 7, 1, 140376601287928, 0x00007fabf9745cf8, 56);
	(0x402db2, 7, 1, 140376601287932, 0x00007fabf9745cfc, 60);
	(0x402db9, 7, 1, 140376601289528, 0x00007fabf9746338, 56);
	(0x402dbf, 7, 1, 140376601289532, 0x00007fabf974633c, 60);

ITER 8 - 6:
	(0x402da0, 8, 1, 129981632, 0x0000000007bf5cc0, 0);
	(0x402da5, 8, 1, 129981636, 0x0000000007bf5cc4, 4);
	(0x402dac, 8, 3, 140376601287936, 0x00007fabf9745d00, 0);
	(0x402db2, 8, 1, 140376601287940, 0x00007fabf9745d04, 4);
	(0x402db9, 8, 3, 140376601289536, 0x00007fabf9746340, 0);
	(0x402dbf, 8, 1, 140376601289540, 0x00007fabf9746344, 4);

ITER 9 - 6:
	(0x402da0, 9, 1, 129981640, 0x0000000007bf5cc8, 8);
	(0x402da5, 9, 1, 129981644, 0x0000000007bf5ccc, 12);
	(0x402dac, 9, 1, 140376601287944, 0x00007fabf9745d08, 8);
	(0x402db2, 9, 1, 140376601287948, 0x00007fabf9745d0c, 12);
	(0x402db9, 9, 1, 140376601289544, 0x00007fabf9746348, 8);
	(0x402dbf, 9, 1, 140376601289548, 0x00007fabf974634c, 12);

ITER 10 - 6:
	(0x402da0, 10, 1, 129981648, 0x0000000007bf5cd0, 16);
	(0x402da5, 10, 1, 129981652, 0x0000000007bf5cd4, 20);
	(0x402dac, 10, 1, 140376601287952, 0x00007fabf9745d10, 16);
	(0x402db2, 10, 1, 140376601287956, 0x00007fabf9745d14, 20);
	(0x402db9, 10, 1, 140376601289552, 0x00007fabf9746350, 16);
	(0x402dbf, 10, 1, 140376601289556, 0x00007fabf9746354, 20);

ITER 11 - 6:
	(0x402da0, 11, 1, 129981656, 0x0000000007bf5cd8, 24);
	(0x402da5, 11, 1, 129981660, 0x0000000007bf5cdc, 28);
	(0x402dac, 11, 1, 140376601287960, 0x00007fabf9745d18, 24);
	(0x402db2, 11, 1, 140376601287964, 0x00007fabf9745d1c, 28);
	(0x402db9, 11, 1, 140376601289560, 0x00007fabf9746358, 24);
	(0x402dbf, 11, 1, 140376601289564, 0x00007fabf974635c, 28);

ITER 12 - 6:
	(0x402da0, 12, 1, 129981664, 0x0000000007bf5ce0, 32);
	(0x402da5, 12, 1, 129981668, 0x0000000007bf5ce4, 36);
	(0x402dac, 12, 1, 140376601287968, 0x00007fabf9745d20, 32);
	(0x402db2, 12, 1, 140376601287972, 0x00007fabf9745d24, 36);
	(0x402db9, 12, 1, 140376601289568, 0x00007fabf9746360, 32);
	(0x402dbf, 12, 1, 140376601289572, 0x00007fabf9746364, 36);

ITER 13 - 6:
	(0x402da0, 13, 1, 129981672, 0x0000000007bf5ce8, 40);
	(0x402da5, 13, 1, 129981676, 0x0000000007bf5cec, 44);
	(0x402dac, 13, 1, 140376601287976, 0x00007fabf9745d28, 40);
	(0x402db2, 13, 1, 140376601287980, 0x00007fabf9745d2c, 44);
	(0x402db9, 13, 1, 140376601289576, 0x00007fabf9746368, 40);
	(0x402dbf, 13, 1, 140376601289580, 0x00007fabf974636c, 44);

ITER 14 - 6:
	(0x402da0, 14, 1, 129981680, 0x0000000007bf5cf0, 48);
	(0x402da5, 14, 1, 129981684, 0x0000000007bf5cf4, 52);
	(0x402dac, 14, 1, 140376601287984, 0x00007fabf9745d30, 48);
	(0x402db2, 14, 1, 140376601287988, 0x00007fabf9745d34, 52);
	(0x402db9, 14, 1, 140376601289584, 0x00007fabf9746370, 48);
	(0x402dbf, 14, 1, 140376601289588, 0x00007fabf9746374, 52);

ITER 15 - 6:
	(0x402da0, 15, 1, 129981688, 0x0000000007bf5cf8, 56);
	(0x402da5, 15, 1, 129981692, 0x0000000007bf5cfc, 60);
	(0x402dac, 15, 1, 140376601287992, 0x00007fabf9745d38, 56);
	(0x402db2, 15, 1, 140376601287996, 0x00007fabf9745d3c, 60);
	(0x402db9, 15, 1, 140376601289592, 0x00007fabf9746378, 56);
	(0x402dbf, 15, 1, 140376601289596, 0x00007fabf974637c, 60);

ITER 16 - 6:
	(0x402da0, 16, 1, 129981696, 0x0000000007bf5d00, 0);
	(0x402da5, 16, 1, 129981700, 0x0000000007bf5d04, 4);
	(0x402dac, 16, 3, 140376601288000, 0x00007fabf9745d40, 0);
	(0x402db2, 16, 1, 140376601288004, 0x00007fabf9745d44, 4);
	(0x402db9, 16, 3, 140376601289600, 0x00007fabf9746380, 0);
	(0x402dbf, 16, 1, 140376601289604, 0x00007fabf9746384, 4);

ITER 17 - 6:
	(0x402da0, 17, 1, 129981704, 0x0000000007bf5d08, 8);
	(0x402da5, 17, 1, 129981708, 0x0000000007bf5d0c, 12);
	(0x402dac, 17, 1, 140376601288008, 0x00007fabf9745d48, 8);
	(0x402db2, 17, 1, 140376601288012, 0x00007fabf9745d4c, 12);
	(0x402db9, 17, 1, 140376601289608, 0x00007fabf9746388, 8);
	(0x402dbf, 17, 1, 140376601289612, 0x00007fabf974638c, 12);

ITER 18 - 6:
	(0x402da0, 18, 1, 129981712, 0x0000000007bf5d10, 16);
	(0x402da5, 18, 1, 129981716, 0x0000000007bf5d14, 20);
	(0x402dac, 18, 1, 140376601288016, 0x00007fabf9745d50, 16);
	(0x402db2, 18, 1, 140376601288020, 0x00007fabf9745d54, 20);
	(0x402db9, 18, 1, 140376601289616, 0x00007fabf9746390, 16);
	(0x402dbf, 18, 1, 140376601289620, 0x00007fabf9746394, 20);

ITER 19 - 6:
	(0x402da0, 19, 1, 129981720, 0x0000000007bf5d18, 24);
	(0x402da5, 19, 1, 129981724, 0x0000000007bf5d1c, 28);
	(0x402dac, 19, 1, 140376601288024, 0x00007fabf9745d58, 24);
	(0x402db2, 19, 1, 140376601288028, 0x00007fabf9745d5c, 28);
	(0x402db9, 19, 1, 140376601289624, 0x00007fabf9746398, 24);
	(0x402dbf, 19, 1, 140376601289628, 0x00007fabf974639c, 28);

ITER 20 - 6:
	(0x402da0, 20, 1, 129981728, 0x0000000007bf5d20, 32);
	(0x402da5, 20, 1, 129981732, 0x0000000007bf5d24, 36);
