ITER 0 - 6:
	(0x402da0, 0, 3, 129981568, 0x0000000007bf5c80, 0);
	(0x402da5, 0, 1, 129981572, 0x0000000007bf5c84, 4);
	(0x402dac, 0, 3, 140376601284672, 0x00007fabf9745040, 0);
	(0x402db2, 0, 1, 140376601284676, 0x00007fabf9745044, 4);
	(0x402db9, 0, 3, 140376601286272, 0x00007fabf9745680, 0);
	(0x402dbf, 0, 1, 140376601286276, 0x00007fabf9745684, 4);

ITER 1 - 6:
	(0x402da0, 1, 1, 129981576, 0x0000000007bf5c88, 8);
	(0x402da5, 1, 1, 129981580, 0x0000000007bf5c8c, 12);
	(0x402dac, 1, 1, 140376601284680, 0x00007fabf9745048, 8);
	(0x402db2, 1, 1, 140376601284684, 0x00007fabf974504c, 12);
	(0x402db9, 1, 1, 140376601286280, 0x00007fabf9745688, 8);
	(0x402dbf, 1, 1, 140376601286284, 0x00007fabf974568c, 12);

ITER 2 - 6:
	(0x402da0, 2, 1, 129981584, 0x0000000007bf5c90, 16);
	(0x402da5, 2, 1, 129981588, 0x0000000007bf5c94, 20);
	(0x402dac, 2, 1, 140376601284688, 0x00007fabf9745050, 16);
	(0x402db2, 2, 1, 140376601284692, 0x00007fabf9745054, 20);
	(0x402db9, 2, 1, 140376601286288, 0x00007fabf9745690, 16);
	(0x402dbf, 2, 1, 140376601286292, 0x00007fabf9745694, 20);

ITER 3 - 6:
	(0x402da0, 3, 1, 129981592, 0x0000000007bf5c98, 24);
	(0x402da5, 3, 1, 129981596, 0x0000000007bf5c9c, 28);
	(0x402dac, 3, 1, 140376601284696, 0x00007fabf9745058, 24);
	(0x402db2, 3, 1, 140376601284700, 0x00007fabf974505c, 28);
	(0x402db9, 3, 1, 140376601286296, 0x00007fabf9745698, 24);
	(0x402dbf, 3, 1, 140376601286300, 0x00007fabf974569c, 28);

ITER 4 - 6:
	(0x402da0, 4, 1, 129981600, 0x0000000007bf5ca0, 32);
	(0x402da5, 4, 1, 129981604, 0x0000000007bf5ca4, 36);
	(0x402dac, 4, 1, 140376601284704, 0x00007fabf9745060, 32);
	(0x402db2, 4, 1, 140376601284708, 0x00007fabf9745064, 36);
	(0x402db9, 4, 1, 140376601286304, 0x00007fabf97456a0, 32);
	(0x402dbf, 4, 1, 140376601286308, 0x00007fabf97456a4, 36);

ITER 5 - 6:
	(0x402da0, 5, 1, 129981608, 0x0000000007bf5ca8, 40);
	(0x402da5, 5, 1, 129981612, 0x0000000007bf5cac, 44);
	(0x402dac, 5, 1, 140376601284712, 0x00007fabf9745068, 40);
	(0x402db2, 5, 1, 140376601284716, 0x00007fabf974506c, 44);
	(0x402db9, 5, 1, 140376601286312, 0x00007fabf97456a8, 40);
	(0x402dbf, 5, 1, 140376601286316, 0x00007fabf97456ac, 44);

ITER 6 - 6:
	(0x402da0, 6, 1, 129981616, 0x0000000007bf5cb0, 48);
	(0x402da5, 6, 1, 129981620, 0x0000000007bf5cb4, 52);
	(0x402dac, 6, 1, 140376601284720, 0x00007fabf9745070, 48);
	(0x402db2, 6, 1, 140376601284724, 0x00007fabf9745074, 52);
	(0x402db9, 6, 1, 140376601286320, 0x00007fabf97456b0, 48);
	(0x402dbf, 6, 1, 140376601286324, 0x00007fabf97456b4, 52);

ITER 7 - 6:
	(0x402da0, 7, 1, 129981624, 0x0000000007bf5cb8, 56);
	(0x402da5, 7, 1, 129981628, 0x0000000007bf5cbc, 60);
	(0x402dac, 7, 1, 140376601284728, 0x00007fabf9745078, 56);
	(0x402db2, 7, 1, 140376601284732, 0x00007fabf974507c, 60);
	(0x402db9, 7, 1, 140376601286328, 0x00007fabf97456b8, 56);
	(0x402dbf, 7, 1, 140376601286332, 0x00007fabf97456bc, 60);

ITER 8 - 6:
	(0x402da0, 8, 3, 129981632, 0x0000000007bf5cc0, 0);
	(0x402da5, 8, 1, 129981636, 0x0000000007bf5cc4, 4);
	(0x402dac, 8, 3, 140376601284736, 0x00007fabf9745080, 0);
	(0x402db2, 8, 1, 140376601284740, 0x00007fabf9745084, 4);
	(0x402db9, 8, 3, 140376601286336, 0x00007fabf97456c0, 0);
	(0x402dbf, 8, 1, 140376601286340, 0x00007fabf97456c4, 4);

ITER 9 - 6:
	(0x402da0, 9, 1, 129981640, 0x0000000007bf5cc8, 8);
	(0x402da5, 9, 1, 129981644, 0x0000000007bf5ccc, 12);
	(0x402dac, 9, 1, 140376601284744, 0x00007fabf9745088, 8);
	(0x402db2, 9, 1, 140376601284748, 0x00007fabf974508c, 12);
	(0x402db9, 9, 1, 140376601286344, 0x00007fabf97456c8, 8);
	(0x402dbf, 9, 1, 140376601286348, 0x00007fabf97456cc, 12);

ITER 10 - 6:
	(0x402da0, 10, 1, 129981648, 0x0000000007bf5cd0, 16);
	(0x402da5, 10, 1, 129981652, 0x0000000007bf5cd4, 20);
	(0x402dac, 10, 1, 140376601284752, 0x00007fabf9745090, 16);
	(0x402db2, 10, 1, 140376601284756, 0x00007fabf9745094, 20);
	(0x402db9, 10, 1, 140376601286352, 0x00007fabf97456d0, 16);
	(0x402dbf, 10, 1, 140376601286356, 0x00007fabf97456d4, 20);

ITER 11 - 6:
	(0x402da0, 11, 1, 129981656, 0x0000000007bf5cd8, 24);
	(0x402da5, 11, 1, 129981660, 0x0000000007bf5cdc, 28);
	(0x402dac, 11, 1, 140376601284760, 0x00007fabf9745098, 24);
	(0x402db2, 11, 1, 140376601284764, 0x00007fabf974509c, 28);
	(0x402db9, 11, 1, 140376601286360, 0x00007fabf97456d8, 24);
	(0x402dbf, 11, 1, 140376601286364, 0x00007fabf97456dc, 28);

ITER 12 - 6:
	(0x402da0, 12, 1, 129981664, 0x0000000007bf5ce0, 32);
	(0x402da5, 12, 1, 129981668, 0x0000000007bf5ce4, 36);
	(0x402dac, 12, 1, 140376601284768, 0x00007fabf97450a0, 32);
	(0x402db2, 12, 1, 140376601284772, 0x00007fabf97450a4, 36);
	(0x402db9, 12, 1, 140376601286368, 0x00007fabf97456e0, 32);
	(0x402dbf, 12, 1, 140376601286372, 0x00007fabf97456e4, 36);

ITER 13 - 6:
	(0x402da0, 13, 1, 129981672, 0x0000000007bf5ce8, 40);
	(0x402da5, 13, 1, 129981676, 0x0000000007bf5cec, 44);
	(0x402dac, 13, 1, 140376601284776, 0x00007fabf97450a8, 40);
	(0x402db2, 13, 1, 140376601284780, 0x00007fabf97450ac, 44);
	(0x402db9, 13, 1, 140376601286376, 0x00007fabf97456e8, 40);
	(0x402dbf, 13, 1, 140376601286380, 0x00007fabf97456ec, 44);

ITER 14 - 6:
	(0x402da0, 14, 1, 129981680, 0x0000000007bf5cf0, 48);
	(0x402da5, 14, 1, 129981684, 0x0000000007bf5cf4, 52);
	(0x402dac, 14, 1, 140376601284784, 0x00007fabf97450b0, 48);
	(0x402db2, 14, 1, 140376601284788, 0x00007fabf97450b4, 52);
	(0x402db9, 14, 1, 140376601286384, 0x00007fabf97456f0, 48);
	(0x402dbf, 14, 1, 140376601286388, 0x00007fabf97456f4, 52);

ITER 15 - 6:
	(0x402da0, 15, 1, 129981688, 0x0000000007bf5cf8, 56);
	(0x402da5, 15, 1, 129981692, 0x0000000007bf5cfc, 60);
	(0x402dac, 15, 1, 140376601284792, 0x00007fabf97450b8, 56);
	(0x402db2, 15, 1, 140376601284796, 0x00007fabf97450bc, 60);
	(0x402db9, 15, 1, 140376601286392, 0x00007fabf97456f8, 56);
	(0x402dbf, 15, 1, 140376601286396, 0x00007fabf97456fc, 60);

ITER 16 - 6:
	(0x402da0, 16, 3, 129981696, 0x0000000007bf5d00, 0);
	(0x402da5, 16, 1, 129981700, 0x0000000007bf5d04, 4);
	(0x402dac, 16, 3, 140376601284800, 0x00007fabf97450c0, 0);
	(0x402db2, 16, 1, 140376601284804, 0x00007fabf97450c4, 4);
	(0x402db9, 16, 3, 140376601286400, 0x00007fabf9745700, 0);
	(0x402dbf, 16, 1, 140376601286404, 0x00007fabf9745704, 4);

ITER 17 - 6:
	(0x402da0, 17, 1, 129981704, 0x0000000007bf5d08, 8);
	(0x402da5, 17, 1, 129981708, 0x0000000007bf5d0c, 12);
	(0x402dac, 17, 1, 140376601284808, 0x00007fabf97450c8, 8);
	(0x402db2, 17, 1, 140376601284812, 0x00007fabf97450cc, 12);
	(0x402db9, 17, 1, 140376601286408, 0x00007fabf9745708, 8);
	(0x402dbf, 17, 1, 140376601286412, 0x00007fabf974570c, 12);

ITER 18 - 6:
	(0x402da0, 18, 1, 129981712, 0x0000000007bf5d10, 16);
	(0x402da5, 18, 1, 129981716, 0x0000000007bf5d14, 20);
	(0x402dac, 18, 1, 140376601284816, 0x00007fabf97450d0, 16);
	(0x402db2, 18, 1, 140376601284820, 0x00007fabf97450d4, 20);
	(0x402db9, 18, 1, 140376601286416, 0x00007fabf9745710, 16);
	(0x402dbf, 18, 1, 140376601286420, 0x00007fabf9745714, 20);

ITER 19 - 6:
	(0x402da0, 19, 1, 129981720, 0x0000000007bf5d18, 24);
	(0x402da5, 19, 1, 129981724, 0x0000000007bf5d1c, 28);
	(0x402dac, 19, 1, 140376601284824, 0x00007fabf97450d8, 24);
	(0x402db2, 19, 1, 140376601284828, 0x00007fabf97450dc, 28);
	(0x402db9, 19, 1, 140376601286424, 0x00007fabf9745718, 24);
	(0x402dbf, 19, 1, 140376601286428, 0x00007fabf974571c, 28);

ITER 20 - 6:
	(0x402da0, 20, 1, 129981728, 0x0000000007bf5d20, 32);
	(0x402da5, 20, 1, 129981732, 0x0000000007bf5d24, 36);
	(0x402dac, 20, 1, 140376601284832, 0x00007fabf97450e0, 32);
	(0x402db2, 20, 1, 140376601284836, 0x00007fabf97450e4, 36);
	(0x402db9, 20, 1, 140376601286432, 0x00007fabf9745720, 32);
	(0x402dbf, 20, 1, 140376601286436, 0x00007fabf9745724, 36);

ITER 21 - 6:
	(0x402da0, 21, 1, 129981736, 0x0000000007bf5d28, 40);
	(0x402da5, 21, 1, 129981740, 0x0000000007bf5d2c, 44);
	(0x402dac, 21, 1, 140376601284840, 0x00007fabf97450e8, 40);
	(0x402db2, 21, 1, 140376601284844, 0x00007fabf97450ec, 44);
	(0x402db9, 21, 1, 140376601286440, 0x00007fabf9745728, 40);
	(0x402dbf, 21, 1, 140376601286444, 0x00007fabf974572c, 44);

ITER 22 - 6:
	(0x402da0, 22, 1, 129981744, 0x0000000007bf5d30, 48);
	(0x402da5, 22, 1, 129981748, 0x0000000007bf5d34, 52);
	(0x402dac, 22, 1, 140376601284848, 0x00007fabf97450f0, 48);
	(0x402db2, 22, 1, 140376601284852, 0x00007fabf97450f4, 52);
	(0x402db9, 22, 1, 140376601286448, 0x00007fabf9745730, 48);
	(0x402dbf, 22, 1, 140376601286452, 0x00007fabf9745734, 52);

