ITER 0 - 6:
	(0x402da0, 0, 2, 129981568, 0x0000000007bf5c80, 0);
	(0x402da5, 0, 1, 129981572, 0x0000000007bf5c84, 4);
	(0x402dac, 0, 3, 140376601601472, 0x00007fabf97925c0, 0);
	(0x402db2, 0, 1, 140376601601476, 0x00007fabf97925c4, 4);
	(0x402db9, 0, 3, 140376601603072, 0x00007fabf9792c00, 0);
	(0x402dbf, 0, 1, 140376601603076, 0x00007fabf9792c04, 4);

ITER 1 - 6:
	(0x402da0, 1, 1, 129981576, 0x0000000007bf5c88, 8);
	(0x402da5, 1, 1, 129981580, 0x0000000007bf5c8c, 12);
	(0x402dac, 1, 1, 140376601601480, 0x00007fabf97925c8, 8);
	(0x402db2, 1, 1, 140376601601484, 0x00007fabf97925cc, 12);
	(0x402db9, 1, 1, 140376601603080, 0x00007fabf9792c08, 8);
	(0x402dbf, 1, 1, 140376601603084, 0x00007fabf9792c0c, 12);

ITER 2 - 6:
	(0x402da0, 2, 1, 129981584, 0x0000000007bf5c90, 16);
	(0x402da5, 2, 1, 129981588, 0x0000000007bf5c94, 20);
	(0x402dac, 2, 1, 140376601601488, 0x00007fabf97925d0, 16);
	(0x402db2, 2, 1, 140376601601492, 0x00007fabf97925d4, 20);
	(0x402db9, 2, 1, 140376601603088, 0x00007fabf9792c10, 16);
	(0x402dbf, 2, 1, 140376601603092, 0x00007fabf9792c14, 20);

ITER 3 - 6:
	(0x402da0, 3, 1, 129981592, 0x0000000007bf5c98, 24);
	(0x402da5, 3, 1, 129981596, 0x0000000007bf5c9c, 28);
	(0x402dac, 3, 1, 140376601601496, 0x00007fabf97925d8, 24);
	(0x402db2, 3, 1, 140376601601500, 0x00007fabf97925dc, 28);
	(0x402db9, 3, 1, 140376601603096, 0x00007fabf9792c18, 24);
	(0x402dbf, 3, 1, 140376601603100, 0x00007fabf9792c1c, 28);

ITER 4 - 6:
	(0x402da0, 4, 1, 129981600, 0x0000000007bf5ca0, 32);
	(0x402da5, 4, 1, 129981604, 0x0000000007bf5ca4, 36);
	(0x402dac, 4, 1, 140376601601504, 0x00007fabf97925e0, 32);
	(0x402db2, 4, 1, 140376601601508, 0x00007fabf97925e4, 36);
	(0x402db9, 4, 1, 140376601603104, 0x00007fabf9792c20, 32);
	(0x402dbf, 4, 1, 140376601603108, 0x00007fabf9792c24, 36);

ITER 5 - 6:
	(0x402da0, 5, 1, 129981608, 0x0000000007bf5ca8, 40);
	(0x402da5, 5, 1, 129981612, 0x0000000007bf5cac, 44);
	(0x402dac, 5, 1, 140376601601512, 0x00007fabf97925e8, 40);
	(0x402db2, 5, 1, 140376601601516, 0x00007fabf97925ec, 44);
	(0x402db9, 5, 1, 140376601603112, 0x00007fabf9792c28, 40);
	(0x402dbf, 5, 1, 140376601603116, 0x00007fabf9792c2c, 44);

ITER 6 - 6:
	(0x402da0, 6, 1, 129981616, 0x0000000007bf5cb0, 48);
	(0x402da5, 6, 1, 129981620, 0x0000000007bf5cb4, 52);
	(0x402dac, 6, 1, 140376601601520, 0x00007fabf97925f0, 48);
	(0x402db2, 6, 1, 140376601601524, 0x00007fabf97925f4, 52);
	(0x402db9, 6, 1, 140376601603120, 0x00007fabf9792c30, 48);
	(0x402dbf, 6, 1, 140376601603124, 0x00007fabf9792c34, 52);

ITER 7 - 6:
	(0x402da0, 7, 1, 129981624, 0x0000000007bf5cb8, 56);
	(0x402da5, 7, 1, 129981628, 0x0000000007bf5cbc, 60);
	(0x402dac, 7, 1, 140376601601528, 0x00007fabf97925f8, 56);
	(0x402db2, 7, 1, 140376601601532, 0x00007fabf97925fc, 60);
	(0x402db9, 7, 1, 140376601603128, 0x00007fabf9792c38, 56);
	(0x402dbf, 7, 1, 140376601603132, 0x00007fabf9792c3c, 60);

ITER 8 - 6:
	(0x402da0, 8, 2, 129981632, 0x0000000007bf5cc0, 0);
	(0x402da5, 8, 1, 129981636, 0x0000000007bf5cc4, 4);
	(0x402dac, 8, 3, 140376601601536, 0x00007fabf9792600, 0);
	(0x402db2, 8, 1, 140376601601540, 0x00007fabf9792604, 4);
	(0x402db9, 8, 3, 140376601603136, 0x00007fabf9792c40, 0);
	(0x402dbf, 8, 1, 140376601603140, 0x00007fabf9792c44, 4);

ITER 9 - 6:
	(0x402da0, 9, 1, 129981640, 0x0000000007bf5cc8, 8);
	(0x402da5, 9, 1, 129981644, 0x0000000007bf5ccc, 12);
	(0x402dac, 9, 1, 140376601601544, 0x00007fabf9792608, 8);
	(0x402db2, 9, 1, 140376601601548, 0x00007fabf979260c, 12);
	(0x402db9, 9, 1, 140376601603144, 0x00007fabf9792c48, 8);
	(0x402dbf, 9, 1, 140376601603148, 0x00007fabf9792c4c, 12);

ITER 10 - 6:
	(0x402da0, 10, 1, 129981648, 0x0000000007bf5cd0, 16);
	(0x402da5, 10, 1, 129981652, 0x0000000007bf5cd4, 20);
	(0x402dac, 10, 1, 140376601601552, 0x00007fabf9792610, 16);
	(0x402db2, 10, 1, 140376601601556, 0x00007fabf9792614, 20);
	(0x402db9, 10, 1, 140376601603152, 0x00007fabf9792c50, 16);
	(0x402dbf, 10, 1, 140376601603156, 0x00007fabf9792c54, 20);

ITER 11 - 6:
	(0x402da0, 11, 1, 129981656, 0x0000000007bf5cd8, 24);
	(0x402da5, 11, 1, 129981660, 0x0000000007bf5cdc, 28);
	(0x402dac, 11, 1, 140376601601560, 0x00007fabf9792618, 24);
	(0x402db2, 11, 1, 140376601601564, 0x00007fabf979261c, 28);
	(0x402db9, 11, 1, 140376601603160, 0x00007fabf9792c58, 24);
	(0x402dbf, 11, 1, 140376601603164, 0x00007fabf9792c5c, 28);

ITER 12 - 6:
	(0x402da0, 12, 1, 129981664, 0x0000000007bf5ce0, 32);
	(0x402da5, 12, 1, 129981668, 0x0000000007bf5ce4, 36);
	(0x402dac, 12, 1, 140376601601568, 0x00007fabf9792620, 32);
	(0x402db2, 12, 1, 140376601601572, 0x00007fabf9792624, 36);
	(0x402db9, 12, 1, 140376601603168, 0x00007fabf9792c60, 32);
	(0x402dbf, 12, 1, 140376601603172, 0x00007fabf9792c64, 36);

ITER 13 - 6:
	(0x402da0, 13, 1, 129981672, 0x0000000007bf5ce8, 40);
	(0x402da5, 13, 1, 129981676, 0x0000000007bf5cec, 44);
	(0x402dac, 13, 1, 140376601601576, 0x00007fabf9792628, 40);
	(0x402db2, 13, 1, 140376601601580, 0x00007fabf979262c, 44);
	(0x402db9, 13, 1, 140376601603176, 0x00007fabf9792c68, 40);
	(0x402dbf, 13, 1, 140376601603180, 0x00007fabf9792c6c, 44);

ITER 14 - 6:
	(0x402da0, 14, 1, 129981680, 0x0000000007bf5cf0, 48);
	(0x402da5, 14, 1, 129981684, 0x0000000007bf5cf4, 52);
	(0x402dac, 14, 1, 140376601601584, 0x00007fabf9792630, 48);
	(0x402db2, 14, 1, 140376601601588, 0x00007fabf9792634, 52);
	(0x402db9, 14, 1, 140376601603184, 0x00007fabf9792c70, 48);
	(0x402dbf, 14, 1, 140376601603188, 0x00007fabf9792c74, 52);

ITER 15 - 6:
	(0x402da0, 15, 1, 129981688, 0x0000000007bf5cf8, 56);
	(0x402da5, 15, 1, 129981692, 0x0000000007bf5cfc, 60);
	(0x402dac, 15, 1, 140376601601592, 0x00007fabf9792638, 56);
	(0x402db2, 15, 1, 140376601601596, 0x00007fabf979263c, 60);
	(0x402db9, 15, 1, 140376601603192, 0x00007fabf9792c78, 56);
	(0x402dbf, 15, 1, 140376601603196, 0x00007fabf9792c7c, 60);

ITER 16 - 6:
	(0x402da0, 16, 2, 129981696, 0x0000000007bf5d00, 0);
	(0x402da5, 16, 1, 129981700, 0x0000000007bf5d04, 4);
	(0x402dac, 16, 3, 140376601601600, 0x00007fabf9792640, 0);
	(0x402db2, 16, 1, 140376601601604, 0x00007fabf9792644, 4);
	(0x402db9, 16, 3, 140376601603200, 0x00007fabf9792c80, 0);
	(0x402dbf, 16, 1, 140376601603204, 0x00007fabf9792c84, 4);

ITER 17 - 6:
	(0x402da0, 17, 1, 129981704, 0x0000000007bf5d08, 8);
	(0x402da5, 17, 1, 129981708, 0x0000000007bf5d0c, 12);
	(0x402dac, 17, 1, 140376601601608, 0x00007fabf9792648, 8);
	(0x402db2, 17, 1, 140376601601612, 0x00007fabf979264c, 12);
	(0x402db9, 17, 1, 140376601603208, 0x00007fabf9792c88, 8);
	(0x402dbf, 17, 1, 140376601603212, 0x00007fabf9792c8c, 12);

ITER 18 - 6:
	(0x402da0, 18, 1, 129981712, 0x0000000007bf5d10, 16);
	(0x402da5, 18, 1, 129981716, 0x0000000007bf5d14, 20);
	(0x402dac, 18, 1, 140376601601616, 0x00007fabf9792650, 16);
	(0x402db2, 18, 1, 140376601601620, 0x00007fabf9792654, 20);
	(0x402db9, 18, 1, 140376601603216, 0x00007fabf9792c90, 16);
	(0x402dbf, 18, 1, 140376601603220, 0x00007fabf9792c94, 20);

ITER 19 - 6:
	(0x402da0, 19, 1, 129981720, 0x0000000007bf5d18, 24);
	(0x402da5, 19, 1, 129981724, 0x0000000007bf5d1c, 28);
	(0x402dac, 19, 1, 140376601601624, 0x00007fabf9792658, 24);
	(0x402db2, 19, 1, 140376601601628, 0x00007fabf979265c, 28);
	(0x402db9, 19, 1, 140376601603224, 0x00007fabf9792c98, 24);
	(0x402dbf, 19, 1, 140376601603228, 0x00007fabf9792c9c, 28);

ITER 20 - 6:
	(0x402da0, 20, 1, 129981728, 0x0000000007bf5d20, 32);
	(0x402da5, 20, 1, 129981732, 0x0000000007bf5d24, 36);
	(0x402dac, 20, 1, 140376601601632, 0x00007fabf9792660, 32);
	(0x402db2, 20, 1, 140376601601636, 0x00007fabf9792664, 36);
	(0x402db9, 20, 1, 140376601603232, 0x00007fabf9792ca0, 32);
	(0x402dbf, 20, 1, 140376601603236, 0x00007fabf9792ca4, 36);

ITER 21 - 6:
	(0x402da0, 21, 1, 129981736, 0x0000000007bf5d28, 40);
	(0x402da5, 21, 1, 129981740, 0x0000000007bf5d2c, 44);
	(0x402dac, 21, 1, 140376601601640, 0x00007fabf9792668, 40);
	(0x402db2, 21, 1, 140376601601644, 0x00007fabf979266c, 44);
	(0x402db9, 21, 1, 140376601603240, 0x00007fabf9792ca8, 40);
	(0x402dbf, 21, 1, 140376601603244, 0x00007fabf9792cac, 44);

ITER 22 - 6:
	(0x402da0, 22, 1, 129981744, 0x0000000007bf5d30, 48);
	(0x402da5, 22, 1, 129981748, 0x0000000007bf5d34, 52);
	(0x402dac, 22, 1, 140376601601648, 0x00007fabf9792670, 48);
	(0x402db2, 22, 1, 140376601601652, 0x00007fabf9792674, 52);
	(0x402db9, 22, 1, 140376601603248, 0x00007fabf9792cb0, 48);
	(0x402dbf, 22, 1, 140376601603252, 0x00007fabf9792cb4, 52);

ITER 23 - 6:
	(0x402da0, 23, 1, 129981752, 0x0000000007bf5d38, 56);
	(0x402da5, 23, 1, 129981756, 0x0000000007bf5d3c, 60);
	(0x402dac, 23, 1, 140376601601656, 0x00007fabf9792678, 56);
	(0x402db2, 23, 1, 140376601601660, 0x00007fabf979267c, 60);
	(0x402db9, 23, 1, 140376601603256, 0x00007fabf9792cb8, 56);
	(0x402dbf, 23, 1, 140376601603260, 0x00007fabf9792cbc, 60);

ITER 24 - 6:
	(0x402da0, 24, 2, 129981760, 0x0000000007bf5d40, 0);
	(0x402da5, 24, 1, 129981764, 0x0000000007bf5d44, 4);
	(0x402dac, 24, 3, 140376601601664, 0x00007fabf9792680, 0);
	(0x402db2, 24, 1, 140376601601668, 0x00007fabf9792684, 4);
	(0x402db9, 24, 3, 140376601603264, 0x00007fabf9792cc0, 0);
	(0x402dbf, 24, 1, 140376601603268, 0x00007fabf9792cc4, 4);

ITER 25 - 6:
	(0x402da0, 25, 1, 129981768, 0x0000000007bf5d48, 8);
	(0x402da5, 25, 1, 129981772, 0x0000000007bf5d4c, 12);
	(0x402dac, 25, 1, 140376601601672, 0x00007fabf9792688, 8);
	(0x402db2, 25, 1, 140376601601676, 0x00007fabf979268c, 12);
	(0x402db9, 25, 1, 140376601603272, 0x00007fabf9792cc8, 8);
	(0x402dbf, 25, 1, 140376601603276, 0x00007fabf9792ccc, 12);

ITER 26 - 6:
	(0x402da0, 26, 1, 129981776, 0x0000000007bf5d50, 16);
	(0x402da5, 26, 1, 129981780, 0x0000000007bf5d54, 20);
	(0x402dac, 26, 1, 140376601601680, 0x00007fabf9792690, 16);
	(0x402db2, 26, 1, 140376601601684, 0x00007fabf9792694, 20);
	(0x402db9, 26, 1, 140376601603280, 0x00007fabf9792cd0, 16);
	(0x402dbf, 26, 1, 140376601603284, 0x00007fabf9792cd4, 20);

ITER 27 - 6:
	(0x402da0, 27, 1, 129981784, 0x0000000007bf5d58, 24);
	(0x402da5, 27, 1, 129981788, 0x0000000007bf5d5c, 28);
	(0x402dac, 27, 1, 140376601601688, 0x00007fabf9792698, 24);
	(0x402db2, 27, 1, 140376601601692, 0x00007fabf979269c, 28);
	(0x402db9, 27, 1, 140376601603288, 0x00007fabf9792cd8, 24);
	(0x402dbf, 27, 1, 140376601603292, 0x00007fabf9792cdc, 28);

ITER 28 - 6:
	(0x402da0, 28, 1, 129981792, 0x0000000007bf5d60, 32);
	(0x402da5, 28, 1, 129981796, 0x0000000007bf5d64, 36);
	(0x402dac, 28, 1, 140376601601696, 0x00007fabf97926a0, 32);
	(0x402db2, 28, 1, 140376601601700, 0x00007fabf97926a4, 36);
	(0x402db9, 28, 1, 140376601603296, 0x00007fabf9792ce0, 32);
	(0x402dbf, 28, 1, 140376601603300, 0x00007fabf9792ce4, 36);

ITER 29 - 6:
	(0x402da0, 29, 1, 129981800, 0x0000000007bf5d68, 40);
	(0x402da5, 29, 1, 129981804, 0x0000000007bf5d6c, 44);
	(0x402dac, 29, 1, 140376601601704, 0x00007fabf97926a8, 40);
	(0x402db2, 29, 1, 140376601601708, 0x00007fabf97926ac, 44);
	(0x402db9, 29, 1, 140376601603304, 0x00007fabf9792ce8, 40);
