ITER 0 - 14:
	(0x402e83, 0, 1, 140387323149576, 0x00007fae7886fd08, 8);
	(0x402e89, 0, 1, 140387323149568, 0x00007fae7886fd00, 0);
	(0x402e8e, 0, 1, 140387323154472, 0x00007fae78871028, 40);
	(0x402e95, 0, 1, 140387323154464, 0x00007fae78871020, 32);
	(0x402e9f, 0, 1, 140387323152024, 0x00007fae78870698, 24);
	(0x402ea8, 0, 2, 140387323156920, 0x00007fae788719b8, 56);
	(0x402eb2, 0, 2, 140387323147128, 0x00007fae7886f378, 56);
	(0x402eb7, 0, 1, 140387323152024, 0x00007fae78870698, 24);
	(0x402ed6, 0, 1, 140387323149584, 0x00007fae7886fd10, 16);
	(0x402edb, 0, 1, 140387323154480, 0x00007fae78871030, 48);
	(0x402f03, 0, 3, 140387323899144, 0x00007fae78926d08, 8);
	(0x402f08, 0, 3, 140387323904040, 0x00007fae78928028, 40);
	(0x402f25, 0, 1, 140387323149576, 0x00007fae7886fd08, 8);
	(0x402f2a, 0, 1, 140387323154472, 0x00007fae78871028, 40);

ITER 1 - 14:
	(0x402e83, 1, 1, 140387323159368, 0x00007fae78872348, 8);
	(0x402e89, 1, 1, 140387323159360, 0x00007fae78872340, 0);
	(0x402e8e, 1, 1, 140387323164264, 0x00007fae78873668, 40);
	(0x402e95, 1, 1, 140387323164256, 0x00007fae78873660, 32);
	(0x402e9f, 1, 1, 140387323161816, 0x00007fae78872cd8, 24);
	(0x402ea8, 1, 2, 140387323166712, 0x00007fae78873ff8, 56);
	(0x402eb2, 1, 1, 140387323156920, 0x00007fae788719b8, 56);
	(0x402eb7, 1, 1, 140387323161816, 0x00007fae78872cd8, 24);
	(0x402ed6, 1, 1, 140387323159376, 0x00007fae78872350, 16);
	(0x402edb, 1, 1, 140387323164272, 0x00007fae78873670, 48);
	(0x402f03, 1, 3, 140387323908936, 0x00007fae78929348, 8);
	(0x402f08, 1, 3, 140387323913832, 0x00007fae7892a668, 40);
	(0x402f25, 1, 1, 140387323159368, 0x00007fae78872348, 8);
	(0x402f2a, 1, 1, 140387323164264, 0x00007fae78873668, 40);

ITER 2 - 14:
	(0x402e83, 2, 1, 140387323169160, 0x00007fae78874988, 8);
	(0x402e89, 2, 1, 140387323169152, 0x00007fae78874980, 0);
	(0x402e8e, 2, 1, 140387323174056, 0x00007fae78875ca8, 40);
	(0x402e95, 2, 1, 140387323174048, 0x00007fae78875ca0, 32);
