ITER 0 - 9:
	(0x402dd0, 0, 1, 140151188108952, 0x00007f777dc83698, 24);
	(0x402dda, 0, 1, 140151188106504, 0x00007f777dc82d08, 8);
	(0x402de1, 0, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 0, 2, 140151188104056, 0x00007f777dc82378, 56);
	(0x402dfb, 0, 1, 140151188106512, 0x00007f777dc82d10, 16);
	(0x402e02, 0, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 0, 1, 140151188106496, 0x00007f777dc82d00, 0);
	(0x402e25, 0, 3, 140151188856072, 0x00007f777dd39d08, 8);
	(0x402e34, 0, 1, 140151188106504, 0x00007f777dc82d08, 8);

ITER 1 - 9:
	(0x402dd0, 1, 2, 140151188113848, 0x00007f777dc849b8, 56);
	(0x402dda, 1, 1, 140151188111400, 0x00007f777dc84028, 40);
	(0x402de1, 1, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 1, 1, 140151188108952, 0x00007f777dc83698, 24);
	(0x402dfb, 1, 1, 140151188111408, 0x00007f777dc84030, 48);
	(0x402e02, 1, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 1, 1, 140151188111392, 0x00007f777dc84020, 32);
	(0x402e25, 1, 3, 140151188860968, 0x00007f777dd3b028, 40);
	(0x402e34, 1, 1, 140151188111400, 0x00007f777dc84028, 40);

ITER 2 - 9:
	(0x402dd0, 2, 1, 140151188118744, 0x00007f777dc85cd8, 24);
	(0x402dda, 2, 1, 140151188116296, 0x00007f777dc85348, 8);
	(0x402de1, 2, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 2, 1, 140151188113848, 0x00007f777dc849b8, 56);
	(0x402dfb, 2, 1, 140151188116304, 0x00007f777dc85350, 16);
	(0x402e02, 2, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 2, 1, 140151188116288, 0x00007f777dc85340, 0);
	(0x402e25, 2, 3, 140151188865864, 0x00007f777dd3c348, 8);
	(0x402e34, 2, 1, 140151188116296, 0x00007f777dc85348, 8);

ITER 3 - 9:
	(0x402dd0, 3, 2, 140151188123640, 0x00007f777dc86ff8, 56);
	(0x402dda, 3, 1, 140151188121192, 0x00007f777dc86668, 40);
	(0x402de1, 3, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 3, 1, 140151188118744, 0x00007f777dc85cd8, 24);
	(0x402dfb, 3, 1, 140151188121200, 0x00007f777dc86670, 48);
	(0x402e02, 3, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 3, 1, 140151188121184, 0x00007f777dc86660, 32);
	(0x402e25, 3, 3, 140151188870760, 0x00007f777dd3d668, 40);
	(0x402e34, 3, 1, 140151188121192, 0x00007f777dc86668, 40);

ITER 4 - 9:
	(0x402dd0, 4, 1, 140151188128536, 0x00007f777dc88318, 24);
	(0x402dda, 4, 1, 140151188126088, 0x00007f777dc87988, 8);
	(0x402de1, 4, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 4, 1, 140151188123640, 0x00007f777dc86ff8, 56);
	(0x402dfb, 4, 1, 140151188126096, 0x00007f777dc87990, 16);
	(0x402e02, 4, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 4, 1, 140151188126080, 0x00007f777dc87980, 0);
