ITER 0 - 9:
	(0x402dd0, 0, 3, 140151188106496, 0x00007f777dc82d00, 0);
	(0x402dda, 0, 3, 140151188104048, 0x00007f777dc82370, 48);
	(0x402de1, 0, 3, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 0, 3, 140151188101600, 0x00007f777dc819e0, 32);
	(0x402dfb, 0, 1, 140151188104056, 0x00007f777dc82378, 56);
	(0x402e02, 0, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 0, 1, 140151188104040, 0x00007f777dc82368, 40);
	(0x402e25, 0, 3, 140151188853616, 0x00007f777dd39370, 48);
	(0x402e34, 0, 1, 140151188104048, 0x00007f777dc82370, 48);

ITER 1 - 9:
	(0x402dd0, 1, 3, 140151188111392, 0x00007f777dc84020, 32);
	(0x402dda, 1, 3, 140151188108944, 0x00007f777dc83690, 16);
	(0x402de1, 1, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 1, 1, 140151188106496, 0x00007f777dc82d00, 0);
	(0x402dfb, 1, 1, 140151188108952, 0x00007f777dc83698, 24);
	(0x402e02, 1, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 1, 1, 140151188108936, 0x00007f777dc83688, 8);
	(0x402e25, 1, 3, 140151188858512, 0x00007f777dd3a690, 16);
	(0x402e34, 1, 1, 140151188108944, 0x00007f777dc83690, 16);

ITER 2 - 9:
	(0x402dd0, 2, 3, 140151188116288, 0x00007f777dc85340, 0);
	(0x402dda, 2, 3, 140151188113840, 0x00007f777dc849b0, 48);
	(0x402de1, 2, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 2, 1, 140151188111392, 0x00007f777dc84020, 32);
	(0x402dfb, 2, 1, 140151188113848, 0x00007f777dc849b8, 56);
	(0x402e02, 2, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 2, 1, 140151188113832, 0x00007f777dc849a8, 40);
	(0x402e25, 2, 3, 140151188863408, 0x00007f777dd3b9b0, 48);
	(0x402e34, 2, 1, 140151188113840, 0x00007f777dc849b0, 48);

ITER 3 - 9:
	(0x402dd0, 3, 3, 140151188121184, 0x00007f777dc86660, 32);
	(0x402dda, 3, 3, 140151188118736, 0x00007f777dc85cd0, 16);
	(0x402de1, 3, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 3, 1, 140151188116288, 0x00007f777dc85340, 0);
	(0x402dfb, 3, 1, 140151188118744, 0x00007f777dc85cd8, 24);
	(0x402e02, 3, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 3, 1, 140151188118728, 0x00007f777dc85cc8, 8);
	(0x402e25, 3, 3, 140151188868304, 0x00007f777dd3ccd0, 16);
	(0x402e34, 3, 1, 140151188118736, 0x00007f777dc85cd0, 16);

ITER 4 - 9:
	(0x402dd0, 4, 3, 140151188126080, 0x00007f777dc87980, 0);
	(0x402dda, 4, 3, 140151188123632, 0x00007f777dc86ff0, 48);
	(0x402de1, 4, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 4, 1, 140151188121184, 0x00007f777dc86660, 32);
	(0x402dfb, 4, 1, 140151188123640, 0x00007f777dc86ff8, 56);
	(0x402e02, 4, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 4, 1, 140151188123624, 0x00007f777dc86fe8, 40);
	(0x402e25, 4, 3, 140151188873200, 0x00007f777dd3dff0, 48);
	(0x402e34, 4, 1, 140151188123632, 0x00007f777dc86ff0, 48);

ITER 5 - 9:
	(0x402dd0, 5, 3, 140151188130976, 0x00007f777dc88ca0, 32);
	(0x402dda, 5, 3, 140151188128528, 0x00007f777dc88310, 16);
	(0x402de1, 5, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 5, 1, 140151188126080, 0x00007f777dc87980, 0);
	(0x402dfb, 5, 1, 140151188128536, 0x00007f777dc88318, 24);
	(0x402e02, 5, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 5, 1, 140151188128520, 0x00007f777dc88308, 8);
	(0x402e25, 5, 3, 140151188878096, 0x00007f777dd3f310, 16);
	(0x402e34, 5, 1, 140151188128528, 0x00007f777dc88310, 16);

ITER 6 - 9:
	(0x402dd0, 6, 3, 140151188135872, 0x00007f777dc89fc0, 0);
