ITER 0 - 9:
	(0x402dd0, 0, 3, 140151188109736, 0x00007f777dc839a8, 40);
	(0x402dda, 0, 2, 140151188107288, 0x00007f777dc83018, 24);
	(0x402de1, 0, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 0, 3, 140151188104840, 0x00007f777dc82688, 8);
	(0x402dfb, 0, 1, 140151188107296, 0x00007f777dc83020, 32);
	(0x402e02, 0, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 0, 1, 140151188107280, 0x00007f777dc83010, 16);
	(0x402e25, 0, 2, 140151188856856, 0x00007f777dd3a018, 24);
	(0x402e34, 0, 2, 140151188107288, 0x00007f777dc83018, 24);

ITER 1 - 9:
	(0x402dd0, 1, 3, 140151188114632, 0x00007f777dc84cc8, 8);
	(0x402dda, 1, 3, 140151188112184, 0x00007f777dc84338, 56);
	(0x402de1, 1, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 1, 1, 140151188109736, 0x00007f777dc839a8, 40);
	(0x402dfb, 1, 3, 140151188112192, 0x00007f777dc84340, 0);
	(0x402e02, 1, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 1, 1, 140151188112176, 0x00007f777dc84330, 48);
	(0x402e25, 1, 3, 140151188861752, 0x00007f777dd3b338, 56);
	(0x402e34, 1, 2, 140151188112184, 0x00007f777dc84338, 56);

ITER 2 - 9:
	(0x402dd0, 2, 3, 140151188119528, 0x00007f777dc85fe8, 40);
	(0x402dda, 2, 2, 140151188117080, 0x00007f777dc85658, 24);
	(0x402de1, 2, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 2, 1, 140151188114632, 0x00007f777dc84cc8, 8);
	(0x402dfb, 2, 1, 140151188117088, 0x00007f777dc85660, 32);
	(0x402e02, 2, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 2, 1, 140151188117072, 0x00007f777dc85650, 16);
	(0x402e25, 2, 2, 140151188866648, 0x00007f777dd3c658, 24);
	(0x402e34, 2, 2, 140151188117080, 0x00007f777dc85658, 24);

ITER 3 - 9:
	(0x402dd0, 3, 3, 140151188124424, 0x00007f777dc87308, 8);
	(0x402dda, 3, 3, 140151188121976, 0x00007f777dc86978, 56);
	(0x402de1, 3, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 3, 1, 140151188119528, 0x00007f777dc85fe8, 40);
	(0x402dfb, 3, 3, 140151188121984, 0x00007f777dc86980, 0);
	(0x402e02, 3, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 3, 1, 140151188121968, 0x00007f777dc86970, 48);
	(0x402e25, 3, 3, 140151188871544, 0x00007f777dd3d978, 56);
	(0x402e34, 3, 2, 140151188121976, 0x00007f777dc86978, 56);

ITER 4 - 9:
	(0x402dd0, 4, 3, 140151188129320, 0x00007f777dc88628, 40);
	(0x402dda, 4, 2, 140151188126872, 0x00007f777dc87c98, 24);
	(0x402de1, 4, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 4, 1, 140151188124424, 0x00007f777dc87308, 8);
	(0x402dfb, 4, 1, 140151188126880, 0x00007f777dc87ca0, 32);
	(0x402e02, 4, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 4, 1, 140151188126864, 0x00007f777dc87c90, 16);
	(0x402e25, 4, 2, 140151188876440, 0x00007f777dd3ec98, 24);
	(0x402e34, 4, 2, 140151188126872, 0x00007f777dc87c98, 24);

ITER 5 - 9:
	(0x402dd0, 5, 3, 140151188134216, 0x00007f777dc89948, 8);
	(0x402dda, 5, 3, 140151188131768, 0x00007f777dc88fb8, 56);
	(0x402de1, 5, 1, 4860936, 0x00000000004a2c08, 8);
	(0x402df0, 5, 1, 140151188129320, 0x00007f777dc88628, 40);
	(0x402dfb, 5, 3, 140151188131776, 0x00007f777dc88fc0, 0);
	(0x402e02, 5, 1, 4860944, 0x00000000004a2c10, 16);
	(0x402e0e, 5, 1, 140151188131760, 0x00007f777dc88fb0, 48);
