ITER 0 - 40:
	(0x402e03, 0, 1, 139640389933272, 0x00007f008fd698d8, 24);
	(0x402e0d, 0, 1, 139640389933288, 0x00007f008fd698e8, 40);
	(0x402e1c, 0, 3, 139640389934688, 0x00007f008fd69e60, 32);
	(0x402e23, 0, 1, 139640389934704, 0x00007f008fd69e70, 48);
	(0x402e2a, 0, 1, 139640389931840, 0x00007f008fd69340, 0);
	(0x402e31, 0, 1, 139640389931856, 0x00007f008fd69350, 16);
	(0x402e40, 0, 1, 139640389933264, 0x00007f008fd698d0, 16);
	(0x402e4b, 0, 1, 139640389933304, 0x00007f008fd698f8, 56);
	(0x402e5a, 0, 1, 139640389933280, 0x00007f008fd698e0, 32);
	(0x402e65, 0, 3, 139640389934720, 0x00007f008fd69e80, 0);
	(0x402e6c, 0, 1, 139640389933320, 0x00007f008fd69908, 8);
	(0x402e7c, 0, 1, 139640389931872, 0x00007f008fd69360, 32);
	(0x402e83, 0, 1, 139640389934736, 0x00007f008fd69e90, 16);
	(0x402e8e, 0, 1, 139640389931888, 0x00007f008fd69370, 48);
	(0x402e95, 0, 1, 139640390804008, 0x00007f008fe3e228, 40);
	(0x402e9c, 0, 1, 139640389933336, 0x00007f008fd69918, 24);
	(0x402ea3, 0, 1, 139640389933352, 0x00007f008fd69928, 40);
	(0x402eb8, 0, 1, 139640389934752, 0x00007f008fd69ea0, 32);
	(0x402ebf, 0, 1, 139640389934768, 0x00007f008fd69eb0, 48);
	(0x402ec6, 0, 1, 139640389931904, 0x00007f008fd69380, 0);
	(0x402ecd, 0, 1, 139640389931920, 0x00007f008fd69390, 16);
	(0x402ede, 0, 1, 139640389933368, 0x00007f008fd69938, 56);
	(0x402ee5, 0, 1, 139640389933384, 0x00007f008fd69948, 8);
	(0x402ef9, 0, 3, 139640389934784, 0x00007f008fd69ec0, 0);
	(0x402f00, 0, 1, 139640389934800, 0x00007f008fd69ed0, 16);
	(0x402f0a, 0, 1, 139640389931936, 0x00007f008fd693a0, 32);
	(0x402f11, 0, 1, 139640389931952, 0x00007f008fd693b0, 48);
	(0x402f25, 0, 1, 139640390804000, 0x00007f008fe3e220, 32);
	(0x402f2c, 0, 1, 139640389933296, 0x00007f008fd698f0, 48);
	(0x402f33, 0, 1, 139640389933312, 0x00007f008fd69900, 0);
	(0x402f3a, 0, 1, 139640389933328, 0x00007f008fd69910, 16);
	(0x402f41, 0, 1, 139640389933344, 0x00007f008fd69920, 32);
	(0x402f48, 0, 1, 139640389933360, 0x00007f008fd69930, 48);
	(0x402f4f, 0, 1, 139640389933376, 0x00007f008fd69940, 0);
	(0x402f99, 0, 1, 139640390804016, 0x00007f008fe3e230, 48);
	(0x402fa0, 0, 1, 139640390804024, 0x00007f008fe3e238, 56);
	(0x402fa7, 0, 3, 139640390804032, 0x00007f008fe3e240, 0);
	(0x402fae, 0, 1, 139640390804040, 0x00007f008fe3e248, 8);
	(0x402fb5, 0, 1, 139640390804048, 0x00007f008fe3e250, 16);
	(0x402fbc, 0, 1, 139640390804056, 0x00007f008fe3e258, 24);

ITER 1 - 40:
	(0x402e03, 1, 1, 139640389933400, 0x00007f008fd69958, 24);
	(0x402e0d, 1, 1, 139640389933416, 0x00007f008fd69968, 40);
	(0x402e1c, 1, 1, 139640389934816, 0x00007f008fd69ee0, 32);
	(0x402e23, 1, 1, 139640389934832, 0x00007f008fd69ef0, 48);
	(0x402e2a, 1, 1, 139640389931968, 0x00007f008fd693c0, 0);
	(0x402e31, 1, 1, 139640389931984, 0x00007f008fd693d0, 16);
	(0x402e40, 1, 1, 139640389933392, 0x00007f008fd69950, 16);
	(0x402e4b, 1, 1, 139640389933432, 0x00007f008fd69978, 56);
	(0x402e5a, 1, 1, 139640389933408, 0x00007f008fd69960, 32);
	(0x402e65, 1, 3, 139640389934848, 0x00007f008fd69f00, 0);
	(0x402e6c, 1, 1, 139640389933448, 0x00007f008fd69988, 8);
	(0x402e7c, 1, 1, 139640389932000, 0x00007f008fd693e0, 32);
	(0x402e83, 1, 1, 139640389934864, 0x00007f008fd69f10, 16);
	(0x402e8e, 1, 1, 139640389932016, 0x00007f008fd693f0, 48);
	(0x402e95, 1, 1, 139640390804072, 0x00007f008fe3e268, 40);
	(0x402e9c, 1, 1, 139640389933464, 0x00007f008fd69998, 24);
	(0x402ea3, 1, 1, 139640389933480, 0x00007f008fd699a8, 40);
	(0x402eb8, 1, 1, 139640389934880, 0x00007f008fd69f20, 32);
	(0x402ebf, 1, 1, 139640389934896, 0x00007f008fd69f30, 48);
	(0x402ec6, 1, 1, 139640389932032, 0x00007f008fd69400, 0);
	(0x402ecd, 1, 1, 139640389932048, 0x00007f008fd69410, 16);
	(0x402ede, 1, 1, 139640389933496, 0x00007f008fd699b8, 56);
	(0x402ee5, 1, 1, 139640389933512, 0x00007f008fd699c8, 8);
	(0x402ef9, 1, 3, 139640389934912, 0x00007f008fd69f40, 0);
	(0x402f00, 1, 1, 139640389934928, 0x00007f008fd69f50, 16);
	(0x402f0a, 1, 1, 139640389932064, 0x00007f008fd69420, 32);
	(0x402f11, 1, 1, 139640389932080, 0x00007f008fd69430, 48);
	(0x402f25, 1, 1, 139640390804064, 0x00007f008fe3e260, 32);
	(0x402f2c, 1, 1, 139640389933424, 0x00007f008fd69970, 48);
	(0x402f33, 1, 1, 139640389933440, 0x00007f008fd69980, 0);
	(0x402f3a, 1, 1, 139640389933456, 0x00007f008fd69990, 16);
	(0x402f41, 1, 1, 139640389933472, 0x00007f008fd699a0, 32);
	(0x402f48, 1, 1, 139640389933488, 0x00007f008fd699b0, 48);
	(0x402f4f, 1, 1, 139640389933504, 0x00007f008fd699c0, 0);
	(0x402f99, 1, 1, 139640390804080, 0x00007f008fe3e270, 48);
	(0x402fa0, 1, 1, 139640390804088, 0x00007f008fe3e278, 56);
	(0x402fa7, 1, 3, 139640390804096, 0x00007f008fe3e280, 0);
	(0x402fae, 1, 1, 139640390804104, 0x00007f008fe3e288, 8);
	(0x402fb5, 1, 1, 139640390804112, 0x00007f008fe3e290, 16);
	(0x402fbc, 1, 1, 139640390804120, 0x00007f008fe3e298, 24);

ITER 2 - 40:
	(0x402e03, 2, 1, 139640389933528, 0x00007f008fd699d8, 24);
	(0x402e0d, 2, 1, 139640389933544, 0x00007f008fd699e8, 40);
	(0x402e1c, 2, 1, 139640389934944, 0x00007f008fd69f60, 32);
	(0x402e23, 2, 1, 139640389934960, 0x00007f008fd69f70, 48);
	(0x402e2a, 2, 1, 139640389932096, 0x00007f008fd69440, 0);
	(0x402e31, 2, 1, 139640389932112, 0x00007f008fd69450, 16);
	(0x402e40, 2, 1, 139640389933520, 0x00007f008fd699d0, 16);
	(0x402e4b, 2, 1, 139640389933560, 0x00007f008fd699f8, 56);
	(0x402e5a, 2, 1, 139640389933536, 0x00007f008fd699e0, 32);
	(0x402e65, 2, 3, 139640389934976, 0x00007f008fd69f80, 0);
	(0x402e6c, 2, 1, 139640389933576, 0x00007f008fd69a08, 8);
