ITER 0 - 5:
	(0x400bd2, 0, 3, 140307560387088, 0x00007f9be64bd210, 16);
	(0x400bde, 0, 3, 140307560147216, 0x00007f9be6482910, 16);
	(0x400be3, 0, 3, 140307559907348, 0x00007f9be6448014, 20);
	(0x400bfa, 0, 1, 140307559907344, 0x00007f9be6448010, 16);
	(0x400c04, 0, 3, 140307560626960, 0x00007f9be64f7b10, 16);

ITER 1 - 5:
	(0x400bd2, 1, 1, 140307560387092, 0x00007f9be64bd214, 20);
	(0x400bde, 1, 1, 140307560147220, 0x00007f9be6482914, 20);
	(0x400be3, 1, 1, 140307559907352, 0x00007f9be6448018, 24);
	(0x400bfa, 1, 1, 140307559907348, 0x00007f9be6448014, 20);
	(0x400c04, 1, 1, 140307560626964, 0x00007f9be64f7b14, 20);

ITER 2 - 5:
	(0x400bd2, 2, 1, 140307560387096, 0x00007f9be64bd218, 24);
	(0x400bde, 2, 1, 140307560147224, 0x00007f9be6482918, 24);
	(0x400be3, 2, 1, 140307559907356, 0x00007f9be644801c, 28);
	(0x400bfa, 2, 1, 140307559907352, 0x00007f9be6448018, 24);
	(0x400c04, 2, 1, 140307560626968, 0x00007f9be64f7b18, 24);

ITER 3 - 5:
	(0x400bd2, 3, 1, 140307560387100, 0x00007f9be64bd21c, 28);
	(0x400bde, 3, 1, 140307560147228, 0x00007f9be648291c, 28);
	(0x400be3, 3, 1, 140307559907360, 0x00007f9be6448020, 32);
	(0x400bfa, 3, 1, 140307559907356, 0x00007f9be644801c, 28);
	(0x400c04, 3, 1, 140307560626972, 0x00007f9be64f7b1c, 28);

ITER 4 - 5:
	(0x400bd2, 4, 1, 140307560387104, 0x00007f9be64bd220, 32);
	(0x400bde, 4, 1, 140307560147232, 0x00007f9be6482920, 32);
	(0x400be3, 4, 1, 140307559907364, 0x00007f9be6448024, 36);
	(0x400bfa, 4, 1, 140307559907360, 0x00007f9be6448020, 32);
	(0x400c04, 4, 1, 140307560626976, 0x00007f9be64f7b20, 32);

ITER 5 - 5:
	(0x400bd2, 5, 1, 140307560387108, 0x00007f9be64bd224, 36);
	(0x400bde, 5, 1, 140307560147236, 0x00007f9be6482924, 36);
	(0x400be3, 5, 1, 140307559907368, 0x00007f9be6448028, 40);
