ITER 0 - 5:
	(0x400bd3, 0, 3, 140390046233424, 0x00007faf1ad5f350, 16);
	(0x400bd8, 0, 3, 140390046713488, 0x00007faf1add4690, 16);
	(0x400bde, 0, 3, 140390046473456, 0x00007faf1ad99cf0, 48);
	(0x400bec, 0, 3, 140390045993392, 0x00007faf1ad249b0, 48);
	(0x400bf5, 0, 3, 140390045753360, 0x00007faf1acea010, 16);

ITER 1 - 5:
	(0x400bd3, 1, 1, 140390046233428, 0x00007faf1ad5f354, 20);
	(0x400bd8, 1, 1, 140390046713492, 0x00007faf1add4694, 20);
	(0x400bde, 1, 1, 140390046473460, 0x00007faf1ad99cf4, 52);
	(0x400bec, 1, 1, 140390045993396, 0x00007faf1ad249b4, 52);
	(0x400bf5, 1, 1, 140390045753364, 0x00007faf1acea014, 20);

ITER 2 - 5:
	(0x400bd3, 2, 1, 140390046233432, 0x00007faf1ad5f358, 24);
	(0x400bd8, 2, 1, 140390046713496, 0x00007faf1add4698, 24);
	(0x400bde, 2, 1, 140390046473464, 0x00007faf1ad99cf8, 56);
	(0x400bec, 2, 1, 140390045993400, 0x00007faf1ad249b8, 56);
	(0x400bf5, 2, 1, 140390045753368, 0x00007faf1acea018, 24);

ITER 3 - 5:
	(0x400bd3, 3, 1, 140390046233436, 0x00007faf1ad5f35c, 28);
	(0x400bd8, 3, 1, 140390046713500, 0x00007faf1add469c, 28);
	(0x400bde, 3, 1, 140390046473468, 0x00007faf1ad99cfc, 60);
	(0x400bec, 3, 1, 140390045993404, 0x00007faf1ad249bc, 60);
	(0x400bf5, 3, 1, 140390045753372, 0x00007faf1acea01c, 28);

ITER 4 - 5:
	(0x400bd3, 4, 1, 140390046233440, 0x00007faf1ad5f360, 32);
	(0x400bd8, 4, 1, 140390046713504, 0x00007faf1add46a0, 32);
	(0x400bde, 4, 3, 140390046473472, 0x00007faf1ad99d00, 0);
	(0x400bec, 4, 3, 140390045993408, 0x00007faf1ad249c0, 0);
	(0x400bf5, 4, 1, 140390045753376, 0x00007faf1acea020, 32);

ITER 5 - 5:
	(0x400bd3, 5, 1, 140390046233444, 0x00007faf1ad5f364, 36);
	(0x400bd8, 5, 1, 140390046713508, 0x00007faf1add46a4, 36);
	(0x400bde, 5, 1, 140390046473476, 0x00007faf1ad99d04, 4);
	(0x400bec, 5, 1, 140390045993412, 0x00007faf1ad249c4, 4);
	(0x400bf5, 5, 1, 140390045753380, 0x00007faf1acea024, 36);

ITER 6 - 5:
	(0x400bd3, 6, 1, 140390046233448, 0x00007faf1ad5f368, 40);
	(0x400bd8, 6, 1, 140390046713512, 0x00007faf1add46a8, 40);
	(0x400bde, 6, 1, 140390046473480, 0x00007faf1ad99d08, 8);
	(0x400bec, 6, 1, 140390045993416, 0x00007faf1ad249c8, 8);
	(0x400bf5, 6, 1, 140390045753384, 0x00007faf1acea028, 40);

ITER 7 - 5:
	(0x400bd3, 7, 1, 140390046233452, 0x00007faf1ad5f36c, 44);
	(0x400bd8, 7, 1, 140390046713516, 0x00007faf1add46ac, 44);
	(0x400bde, 7, 1, 140390046473484, 0x00007faf1ad99d0c, 12);
	(0x400bec, 7, 1, 140390045993420, 0x00007faf1ad249cc, 12);
	(0x400bf5, 7, 1, 140390045753388, 0x00007faf1acea02c, 44);

ITER 8 - 5:
	(0x400bd3, 8, 1, 140390046233456, 0x00007faf1ad5f370, 48);
	(0x400bd8, 8, 1, 140390046713520, 0x00007faf1add46b0, 48);
	(0x400bde, 8, 1, 140390046473488, 0x00007faf1ad99d10, 16);
	(0x400bec, 8, 1, 140390045993424, 0x00007faf1ad249d0, 16);
	(0x400bf5, 8, 1, 140390045753392, 0x00007faf1acea030, 48);

ITER 9 - 5:
	(0x400bd3, 9, 1, 140390046233460, 0x00007faf1ad5f374, 52);
	(0x400bd8, 9, 1, 140390046713524, 0x00007faf1add46b4, 52);
	(0x400bde, 9, 1, 140390046473492, 0x00007faf1ad99d14, 20);
	(0x400bec, 9, 1, 140390045993428, 0x00007faf1ad249d4, 20);
	(0x400bf5, 9, 1, 140390045753396, 0x00007faf1acea034, 52);

ITER 10 - 5:
	(0x400bd3, 10, 1, 140390046233464, 0x00007faf1ad5f378, 56);
	(0x400bd8, 10, 1, 140390046713528, 0x00007faf1add46b8, 56);
	(0x400bde, 10, 1, 140390046473496, 0x00007faf1ad99d18, 24);
	(0x400bec, 10, 1, 140390045993432, 0x00007faf1ad249d8, 24);
	(0x400bf5, 10, 1, 140390045753400, 0x00007faf1acea038, 56);

ITER 11 - 5:
	(0x400bd3, 11, 1, 140390046233468, 0x00007faf1ad5f37c, 60);
	(0x400bd8, 11, 1, 140390046713532, 0x00007faf1add46bc, 60);
	(0x400bde, 11, 1, 140390046473500, 0x00007faf1ad99d1c, 28);
	(0x400bec, 11, 1, 140390045993436, 0x00007faf1ad249dc, 28);
	(0x400bf5, 11, 1, 140390045753404, 0x00007faf1acea03c, 60);

ITER 12 - 5:
	(0x400bd3, 12, 3, 140390046233472, 0x00007faf1ad5f380, 0);
	(0x400bd8, 12, 3, 140390046713536, 0x00007faf1add46c0, 0);
	(0x400bde, 12, 1, 140390046473504, 0x00007faf1ad99d20, 32);
	(0x400bec, 12, 1, 140390045993440, 0x00007faf1ad249e0, 32);
	(0x400bf5, 12, 3, 140390045753408, 0x00007faf1acea040, 0);

ITER 13 - 5:
	(0x400bd3, 13, 1, 140390046233476, 0x00007faf1ad5f384, 4);
	(0x400bd8, 13, 1, 140390046713540, 0x00007faf1add46c4, 4);
	(0x400bde, 13, 1, 140390046473508, 0x00007faf1ad99d24, 36);
	(0x400bec, 13, 1, 140390045993444, 0x00007faf1ad249e4, 36);
	(0x400bf5, 13, 1, 140390045753412, 0x00007faf1acea044, 4);

ITER 14 - 5:
	(0x400bd3, 14, 1, 140390046233480, 0x00007faf1ad5f388, 8);
	(0x400bd8, 14, 1, 140390046713544, 0x00007faf1add46c8, 8);
	(0x400bde, 14, 1, 140390046473512, 0x00007faf1ad99d28, 40);
	(0x400bec, 14, 1, 140390045993448, 0x00007faf1ad249e8, 40);
	(0x400bf5, 14, 1, 140390045753416, 0x00007faf1acea048, 8);

ITER 15 - 5:
	(0x400bd3, 15, 1, 140390046233484, 0x00007faf1ad5f38c, 12);
	(0x400bd8, 15, 1, 140390046713548, 0x00007faf1add46cc, 12);
	(0x400bde, 15, 1, 140390046473516, 0x00007faf1ad99d2c, 44);
	(0x400bec, 15, 1, 140390045993452, 0x00007faf1ad249ec, 44);
	(0x400bf5, 15, 1, 140390045753420, 0x00007faf1acea04c, 12);

ITER 16 - 5:
	(0x400bd3, 16, 1, 140390046233488, 0x00007faf1ad5f390, 16);
	(0x400bd8, 16, 1, 140390046713552, 0x00007faf1add46d0, 16);
	(0x400bde, 16, 1, 140390046473520, 0x00007faf1ad99d30, 48);
	(0x400bec, 16, 1, 140390045993456, 0x00007faf1ad249f0, 48);
	(0x400bf5, 16, 1, 140390045753424, 0x00007faf1acea050, 16);

ITER 17 - 5:
	(0x400bd3, 17, 1, 140390046233492, 0x00007faf1ad5f394, 20);
	(0x400bd8, 17, 1, 140390046713556, 0x00007faf1add46d4, 20);
	(0x400bde, 17, 1, 140390046473524, 0x00007faf1ad99d34, 52);
	(0x400bec, 17, 1, 140390045993460, 0x00007faf1ad249f4, 52);
	(0x400bf5, 17, 1, 140390045753428, 0x00007faf1acea054, 20);

ITER 18 - 5:
	(0x400bd3, 18, 1, 140390046233496, 0x00007faf1ad5f398, 24);
	(0x400bd8, 18, 1, 140390046713560, 0x00007faf1add46d8, 24);
	(0x400bde, 18, 1, 140390046473528, 0x00007faf1ad99d38, 56);
	(0x400bec, 18, 1, 140390045993464, 0x00007faf1ad249f8, 56);
	(0x400bf5, 18, 1, 140390045753432, 0x00007faf1acea058, 24);

ITER 19 - 5:
	(0x400bd3, 19, 1, 140390046233500, 0x00007faf1ad5f39c, 28);
	(0x400bd8, 19, 1, 140390046713564, 0x00007faf1add46dc, 28);
	(0x400bde, 19, 1, 140390046473532, 0x00007faf1ad99d3c, 60);
	(0x400bec, 19, 1, 140390045993468, 0x00007faf1ad249fc, 60);
	(0x400bf5, 19, 1, 140390045753436, 0x00007faf1acea05c, 28);

ITER 20 - 5:
	(0x400bd3, 20, 1, 140390046233504, 0x00007faf1ad5f3a0, 32);
	(0x400bd8, 20, 1, 140390046713568, 0x00007faf1add46e0, 32);
	(0x400bde, 20, 3, 140390046473536, 0x00007faf1ad99d40, 0);
	(0x400bec, 20, 3, 140390045993472, 0x00007faf1ad24a00, 0);
	(0x400bf5, 20, 1, 140390045753440, 0x00007faf1acea060, 32);

ITER 21 - 5:
	(0x400bd3, 21, 1, 140390046233508, 0x00007faf1ad5f3a4, 36);
	(0x400bd8, 21, 1, 140390046713572, 0x00007faf1add46e4, 36);
	(0x400bde, 21, 1, 140390046473540, 0x00007faf1ad99d44, 4);
