LoopID : 1; InstanceID : 0; LoopCount : 50; NbInsns : 36

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402de6; MOVSS (%R12,%R15,1),%XMM14                        ;	load;	l;	0x402de6;	25;	25;	0;	0;	25;	0;	0;	25;	0
0x402def; MULSS (%R12,%RCX,1),%XMM14                        ;	load;	l;	0x402def;	25;	25;	0;	0;	25;	0;	0;	25;	0
0x402df5; MOVSS -0x18(%RSP),%XMM15                          ;	load;	l;	0x402df5;	49;	1;	0;	0;	1;	0;	0;	1;	0
0x402e01; MOVSS (%R12,%R14,1),%XMM14                        ;	load;	l;	0x402e01;	25;	25;	0;	0;	25;	0;	0;	25;	0
0x402e07; MULSS (%R12,%RCX,1),%XMM14                        ;	load;	f;	0x402def;	50;	0;	0;	0;	0;	0;	0;	0;	0
0x402e0d; MOVSS %XMM15,-0x18(%RSP)                          ;	store;	f;	0x402df5;	50;	0;	0;	0;	0;	0;	0;	0;	0
0x402e19; MOVSS 0x4(%R12,%R15,1),%XMM15                     ;	load;	f;	0x402de6;	50;	0;	0;	0;	0;	0;	0;	0;	0
0x402e20; MULSS 0x4(%R12,%RCX,1),%XMM15                     ;	load;	f;	0x402def;	50;	0;	0;	0;	0;	0;	0;	0;	0
0x402e27; MOVSS 0x4(%R12,%R14,1),%XMM14                     ;	load;	f;	0x402e01;	50;	0;	0;	0;	0;	0;	0;	0;	0
0x402e33; MULSS 0x4(%R12,%RCX,1),%XMM14                     ;	load;	f;	0x402def;	50;	0;	0;	0;	0;	0;	0;	0;	0
0x402e3a; MOVSS 0x8(%R12,%R15,1),%XMM15                     ;	load;	f;	0x402de6;	50;	0;	0;	0;	0;	0;	0;	0;	0
0x402e46; MULSS 0x8(%R12,%RCX,1),%XMM15                     ;	load;	f;	0x402def;	50;	0;	0;	0;	0;	0;	0;	0;	0
