ITER 0 - 6:
	(0x402e90, 0, 1, 99159616, 0x0000000005e90e40, 0);
	(0x402e95, 0, 3, 140187827864320, 0x00007f8005ae8300, 0);
	(0x402e9d, 0, 3, 140187827862720, 0x00007f8005ae7cc0, 0);
	(0x402ea3, 0, 1, 140187827862736, 0x00007f8005ae7cd0, 16);
	(0x402eaf, 0, 1, 99159632, 0x0000000005e90e50, 16);
	(0x402ebb, 0, 1, 140187827864336, 0x00007f8005ae8310, 16);

ITER 1 - 6:
	(0x402e90, 1, 1, 99159648, 0x0000000005e90e60, 32);
	(0x402e95, 1, 1, 140187827864352, 0x00007f8005ae8320, 32);
	(0x402e9d, 1, 1, 140187827862752, 0x00007f8005ae7ce0, 32);
	(0x402ea3, 1, 1, 140187827862768, 0x00007f8005ae7cf0, 48);
	(0x402eaf, 1, 1, 99159664, 0x0000000005e90e70, 48);
	(0x402ebb, 1, 1, 140187827864368, 0x00007f8005ae8330, 48);

ITER 2 - 6:
	(0x402e90, 2, 1, 99159680, 0x0000000005e90e80, 0);
	(0x402e95, 2, 3, 140187827864384, 0x00007f8005ae8340, 0);
	(0x402e9d, 2, 3, 140187827862784, 0x00007f8005ae7d00, 0);
	(0x402ea3, 2, 1, 140187827862800, 0x00007f8005ae7d10, 16);
	(0x402eaf, 2, 1, 99159696, 0x0000000005e90e90, 16);
	(0x402ebb, 2, 1, 140187827864400, 0x00007f8005ae8350, 16);

ITER 3 - 6:
	(0x402e90, 3, 1, 99159712, 0x0000000005e90ea0, 32);
	(0x402e95, 3, 1, 140187827864416, 0x00007f8005ae8360, 32);
	(0x402e9d, 3, 1, 140187827862816, 0x00007f8005ae7d20, 32);
	(0x402ea3, 3, 1, 140187827862832, 0x00007f8005ae7d30, 48);
	(0x402eaf, 3, 1, 99159728, 0x0000000005e90eb0, 48);
	(0x402ebb, 3, 1, 140187827864432, 0x00007f8005ae8370, 48);

ITER 4 - 6:
	(0x402e90, 4, 1, 99159744, 0x0000000005e90ec0, 0);
	(0x402e95, 4, 3, 140187827864448, 0x00007f8005ae8380, 0);
	(0x402e9d, 4, 3, 140187827862848, 0x00007f8005ae7d40, 0);
	(0x402ea3, 4, 1, 140187827862864, 0x00007f8005ae7d50, 16);
	(0x402eaf, 4, 1, 99159760, 0x0000000005e90ed0, 16);
