ITER 0 - 6:
	(0x402e90, 0, 3, 99159616, 0x0000000005e90e40, 0);
	(0x402e95, 0, 3, 140187827861120, 0x00007f8005ae7680, 0);
	(0x402e9d, 0, 3, 140187827859520, 0x00007f8005ae7040, 0);
	(0x402ea3, 0, 1, 140187827859536, 0x00007f8005ae7050, 16);
	(0x402eaf, 0, 1, 99159632, 0x0000000005e90e50, 16);
	(0x402ebb, 0, 1, 140187827861136, 0x00007f8005ae7690, 16);

ITER 1 - 6:
	(0x402e90, 1, 1, 99159648, 0x0000000005e90e60, 32);
	(0x402e95, 1, 1, 140187827861152, 0x00007f8005ae76a0, 32);
	(0x402e9d, 1, 1, 140187827859552, 0x00007f8005ae7060, 32);
	(0x402ea3, 1, 1, 140187827859568, 0x00007f8005ae7070, 48);
	(0x402eaf, 1, 1, 99159664, 0x0000000005e90e70, 48);
	(0x402ebb, 1, 1, 140187827861168, 0x00007f8005ae76b0, 48);

ITER 2 - 6:
	(0x402e90, 2, 3, 99159680, 0x0000000005e90e80, 0);
	(0x402e95, 2, 3, 140187827861184, 0x00007f8005ae76c0, 0);
	(0x402e9d, 2, 3, 140187827859584, 0x00007f8005ae7080, 0);
	(0x402ea3, 2, 1, 140187827859600, 0x00007f8005ae7090, 16);
	(0x402eaf, 2, 1, 99159696, 0x0000000005e90e90, 16);
	(0x402ebb, 2, 1, 140187827861200, 0x00007f8005ae76d0, 16);

ITER 3 - 6:
	(0x402e90, 3, 1, 99159712, 0x0000000005e90ea0, 32);
	(0x402e95, 3, 1, 140187827861216, 0x00007f8005ae76e0, 32);
	(0x402e9d, 3, 1, 140187827859616, 0x00007f8005ae70a0, 32);
	(0x402ea3, 3, 1, 140187827859632, 0x00007f8005ae70b0, 48);
	(0x402eaf, 3, 1, 99159728, 0x0000000005e90eb0, 48);
	(0x402ebb, 3, 1, 140187827861232, 0x00007f8005ae76f0, 48);

ITER 4 - 6:
	(0x402e90, 4, 3, 99159744, 0x0000000005e90ec0, 0);
	(0x402e95, 4, 3, 140187827861248, 0x00007f8005ae7700, 0);
	(0x402e9d, 4, 3, 140187827859648, 0x00007f8005ae70c0, 0);
	(0x402ea3, 4, 1, 140187827859664, 0x00007f8005ae70d0, 16);
	(0x402eaf, 4, 1, 99159760, 0x0000000005e90ed0, 16);
	(0x402ebb, 4, 1, 140187827861264, 0x00007f8005ae7710, 16);

ITER 5 - 6:
	(0x402e90, 5, 1, 99159776, 0x0000000005e90ee0, 32);
	(0x402e95, 5, 1, 140187827861280, 0x00007f8005ae7720, 32);
	(0x402e9d, 5, 1, 140187827859680, 0x00007f8005ae70e0, 32);
	(0x402ea3, 5, 1, 140187827859696, 0x00007f8005ae70f0, 48);
	(0x402eaf, 5, 1, 99159792, 0x0000000005e90ef0, 48);
	(0x402ebb, 5, 1, 140187827861296, 0x00007f8005ae7730, 48);

ITER 6 - 6:
	(0x402e90, 6, 3, 99159808, 0x0000000005e90f00, 0);
	(0x402e95, 6, 3, 140187827861312, 0x00007f8005ae7740, 0);
	(0x402e9d, 6, 3, 140187827859712, 0x00007f8005ae7100, 0);
	(0x402ea3, 6, 1, 140187827859728, 0x00007f8005ae7110, 16);
	(0x402eaf, 6, 1, 99159824, 0x0000000005e90f10, 16);
	(0x402ebb, 6, 1, 140187827861328, 0x00007f8005ae7750, 16);

ITER 7 - 6:
	(0x402e90, 7, 1, 99159840, 0x0000000005e90f20, 32);
	(0x402e95, 7, 1, 140187827861344, 0x00007f8005ae7760, 32);
	(0x402e9d, 7, 1, 140187827859744, 0x00007f8005ae7120, 32);
	(0x402ea3, 7, 1, 140187827859760, 0x00007f8005ae7130, 48);
	(0x402eaf, 7, 1, 99159856, 0x0000000005e90f30, 48);
	(0x402ebb, 7, 1, 140187827861360, 0x00007f8005ae7770, 48);

ITER 8 - 6:
	(0x402e90, 8, 3, 99159872, 0x0000000005e90f40, 0);
	(0x402e95, 8, 3, 140187827861376, 0x00007f8005ae7780, 0);
	(0x402e9d, 8, 3, 140187827859776, 0x00007f8005ae7140, 0);
	(0x402ea3, 8, 1, 140187827859792, 0x00007f8005ae7150, 16);
	(0x402eaf, 8, 1, 99159888, 0x0000000005e90f50, 16);
	(0x402ebb, 8, 1, 140187827861392, 0x00007f8005ae7790, 16);

ITER 9 - 6:
	(0x402e90, 9, 1, 99159904, 0x0000000005e90f60, 32);
	(0x402e95, 9, 1, 140187827861408, 0x00007f8005ae77a0, 32);
	(0x402e9d, 9, 1, 140187827859808, 0x00007f8005ae7160, 32);
	(0x402ea3, 9, 1, 140187827859824, 0x00007f8005ae7170, 48);
	(0x402eaf, 9, 1, 99159920, 0x0000000005e90f70, 48);
	(0x402ebb, 9, 1, 140187827861424, 0x00007f8005ae77b0, 48);

ITER 10 - 6:
	(0x402e90, 10, 3, 99159936, 0x0000000005e90f80, 0);
