ITER 0 - 6:
	(0x402e90, 0, 2, 99159616, 0x0000000005e90e40, 0);
	(0x402e95, 0, 3, 140187828177920, 0x00007f8005b34c00, 0);
	(0x402e9d, 0, 3, 140187828176320, 0x00007f8005b345c0, 0);
	(0x402ea3, 0, 1, 140187828176336, 0x00007f8005b345d0, 16);
	(0x402eaf, 0, 1, 99159632, 0x0000000005e90e50, 16);
	(0x402ebb, 0, 1, 140187828177936, 0x00007f8005b34c10, 16);

ITER 1 - 6:
	(0x402e90, 1, 1, 99159648, 0x0000000005e90e60, 32);
	(0x402e95, 1, 1, 140187828177952, 0x00007f8005b34c20, 32);
	(0x402e9d, 1, 1, 140187828176352, 0x00007f8005b345e0, 32);
	(0x402ea3, 1, 1, 140187828176368, 0x00007f8005b345f0, 48);
	(0x402eaf, 1, 1, 99159664, 0x0000000005e90e70, 48);
	(0x402ebb, 1, 1, 140187828177968, 0x00007f8005b34c30, 48);

ITER 2 - 6:
	(0x402e90, 2, 2, 99159680, 0x0000000005e90e80, 0);
	(0x402e95, 2, 3, 140187828177984, 0x00007f8005b34c40, 0);
	(0x402e9d, 2, 3, 140187828176384, 0x00007f8005b34600, 0);
	(0x402ea3, 2, 1, 140187828176400, 0x00007f8005b34610, 16);
	(0x402eaf, 2, 1, 99159696, 0x0000000005e90e90, 16);
	(0x402ebb, 2, 1, 140187828178000, 0x00007f8005b34c50, 16);

ITER 3 - 6:
	(0x402e90, 3, 1, 99159712, 0x0000000005e90ea0, 32);
	(0x402e95, 3, 1, 140187828178016, 0x00007f8005b34c60, 32);
	(0x402e9d, 3, 1, 140187828176416, 0x00007f8005b34620, 32);
	(0x402ea3, 3, 1, 140187828176432, 0x00007f8005b34630, 48);
	(0x402eaf, 3, 1, 99159728, 0x0000000005e90eb0, 48);
	(0x402ebb, 3, 1, 140187828178032, 0x00007f8005b34c70, 48);

ITER 4 - 6:
	(0x402e90, 4, 2, 99159744, 0x0000000005e90ec0, 0);
	(0x402e95, 4, 3, 140187828178048, 0x00007f8005b34c80, 0);
	(0x402e9d, 4, 3, 140187828176448, 0x00007f8005b34640, 0);
	(0x402ea3, 4, 1, 140187828176464, 0x00007f8005b34650, 16);
	(0x402eaf, 4, 1, 99159760, 0x0000000005e90ed0, 16);
	(0x402ebb, 4, 1, 140187828178064, 0x00007f8005b34c90, 16);

ITER 5 - 6:
	(0x402e90, 5, 1, 99159776, 0x0000000005e90ee0, 32);
	(0x402e95, 5, 1, 140187828178080, 0x00007f8005b34ca0, 32);
	(0x402e9d, 5, 1, 140187828176480, 0x00007f8005b34660, 32);
	(0x402ea3, 5, 1, 140187828176496, 0x00007f8005b34670, 48);
	(0x402eaf, 5, 1, 99159792, 0x0000000005e90ef0, 48);
	(0x402ebb, 5, 1, 140187828178096, 0x00007f8005b34cb0, 48);

ITER 6 - 6:
	(0x402e90, 6, 2, 99159808, 0x0000000005e90f00, 0);
	(0x402e95, 6, 3, 140187828178112, 0x00007f8005b34cc0, 0);
	(0x402e9d, 6, 3, 140187828176512, 0x00007f8005b34680, 0);
	(0x402ea3, 6, 1, 140187828176528, 0x00007f8005b34690, 16);
	(0x402eaf, 6, 1, 99159824, 0x0000000005e90f10, 16);
	(0x402ebb, 6, 1, 140187828178128, 0x00007f8005b34cd0, 16);

ITER 7 - 6:
	(0x402e90, 7, 1, 99159840, 0x0000000005e90f20, 32);
	(0x402e95, 7, 1, 140187828178144, 0x00007f8005b34ce0, 32);
	(0x402e9d, 7, 1, 140187828176544, 0x00007f8005b346a0, 32);
	(0x402ea3, 7, 1, 140187828176560, 0x00007f8005b346b0, 48);
