ITER 0 - 16:
	(0x402d80, 0, 3, 140068033179712, 0x00007f64215cb040, 0);
	(0x402d88, 0, 3, 140068033179872, 0x00007f64215cb0e0, 32);
	(0x402d92, 0, 1, 140068033179712, 0x00007f64215cb040, 0);
	(0x402d96, 0, 1, 140068033179872, 0x00007f64215cb0e0, 32);
	(0x402d9f, 0, 3, 140068033180032, 0x00007f64215cb180, 0);
	(0x402da3, 0, 3, 140068033180192, 0x00007f64215cb220, 32);
	(0x402dad, 0, 1, 140068033180032, 0x00007f64215cb180, 0);
	(0x402db1, 0, 1, 140068033180192, 0x00007f64215cb220, 32);
	(0x402dba, 0, 3, 140068033180352, 0x00007f64215cb2c0, 0);
	(0x402dbe, 0, 3, 140068033180512, 0x00007f64215cb360, 32);
	(0x402dc8, 0, 1, 140068033180352, 0x00007f64215cb2c0, 0);
	(0x402dcc, 0, 1, 140068033180512, 0x00007f64215cb360, 32);
	(0x402dd5, 0, 3, 140068033180672, 0x00007f64215cb400, 0);
	(0x402dd9, 0, 3, 140068033180832, 0x00007f64215cb4a0, 32);
	(0x402de3, 0, 1, 140068033180672, 0x00007f64215cb400, 0);
	(0x402de7, 0, 1, 140068033180832, 0x00007f64215cb4a0, 32);

ITER 1 - 16:
	(0x402d80, 1, 3, 140068033180992, 0x00007f64215cb540, 0);
	(0x402d88, 1, 3, 140068033181152, 0x00007f64215cb5e0, 32);
	(0x402d92, 1, 1, 140068033180992, 0x00007f64215cb540, 0);
	(0x402d96, 1, 1, 140068033181152, 0x00007f64215cb5e0, 32);
	(0x402d9f, 1, 3, 140068033181312, 0x00007f64215cb680, 0);
	(0x402da3, 1, 3, 140068033181472, 0x00007f64215cb720, 32);
	(0x402dad, 1, 1, 140068033181312, 0x00007f64215cb680, 0);
	(0x402db1, 1, 1, 140068033181472, 0x00007f64215cb720, 32);
	(0x402dba, 1, 3, 140068033181632, 0x00007f64215cb7c0, 0);
	(0x402dbe, 1, 3, 140068033181792, 0x00007f64215cb860, 32);
	(0x402dc8, 1, 1, 140068033181632, 0x00007f64215cb7c0, 0);
	(0x402dcc, 1, 1, 140068033181792, 0x00007f64215cb860, 32);
	(0x402dd5, 1, 3, 140068033181952, 0x00007f64215cb900, 0);
	(0x402dd9, 1, 3, 140068033182112, 0x00007f64215cb9a0, 32);
	(0x402de3, 1, 1, 140068033181952, 0x00007f64215cb900, 0);
	(0x402de7, 1, 1, 140068033182112, 0x00007f64215cb9a0, 32);

ITER 2 - 16:
	(0x402d80, 2, 3, 140068033182272, 0x00007f64215cba40, 0);
	(0x402d88, 2, 3, 140068033182432, 0x00007f64215cbae0, 32);
	(0x402d92, 2, 1, 140068033182272, 0x00007f64215cba40, 0);
	(0x402d96, 2, 1, 140068033182432, 0x00007f64215cbae0, 32);
	(0x402d9f, 2, 3, 140068033182592, 0x00007f64215cbb80, 0);
	(0x402da3, 2, 3, 140068033182752, 0x00007f64215cbc20, 32);
	(0x402dad, 2, 1, 140068033182592, 0x00007f64215cbb80, 0);
	(0x402db1, 2, 1, 140068033182752, 0x00007f64215cbc20, 32);
	(0x402dba, 2, 3, 140068033182912, 0x00007f64215cbcc0, 0);
	(0x402dbe, 2, 3, 140068033183072, 0x00007f64215cbd60, 32);
	(0x402dc8, 2, 1, 140068033182912, 0x00007f64215cbcc0, 0);
	(0x402dcc, 2, 1, 140068033183072, 0x00007f64215cbd60, 32);
	(0x402dd5, 2, 3, 140068033183232, 0x00007f64215cbe00, 0);
	(0x402dd9, 2, 3, 140068033183392, 0x00007f64215cbea0, 32);
	(0x402de3, 2, 1, 140068033183232, 0x00007f64215cbe00, 0);
	(0x402de7, 2, 1, 140068033183392, 0x00007f64215cbea0, 32);

ITER 3 - 16:
	(0x402d80, 3, 3, 140068033183552, 0x00007f64215cbf40, 0);
	(0x402d88, 3, 3, 140068033183712, 0x00007f64215cbfe0, 32);
	(0x402d92, 3, 1, 140068033183552, 0x00007f64215cbf40, 0);
	(0x402d96, 3, 1, 140068033183712, 0x00007f64215cbfe0, 32);
	(0x402d9f, 3, 3, 140068033183872, 0x00007f64215cc080, 0);
	(0x402da3, 3, 3, 140068033184032, 0x00007f64215cc120, 32);
	(0x402dad, 3, 1, 140068033183872, 0x00007f64215cc080, 0);
	(0x402db1, 3, 1, 140068033184032, 0x00007f64215cc120, 32);
	(0x402dba, 3, 3, 140068033184192, 0x00007f64215cc1c0, 0);
	(0x402dbe, 3, 3, 140068033184352, 0x00007f64215cc260, 32);
	(0x402dc8, 3, 1, 140068033184192, 0x00007f64215cc1c0, 0);
	(0x402dcc, 3, 1, 140068033184352, 0x00007f64215cc260, 32);
	(0x402dd5, 3, 3, 140068033184512, 0x00007f64215cc300, 0);
	(0x402dd9, 3, 3, 140068033184672, 0x00007f64215cc3a0, 32);
	(0x402de3, 3, 1, 140068033184512, 0x00007f64215cc300, 0);
	(0x402de7, 3, 1, 140068033184672, 0x00007f64215cc3a0, 32);

ITER 4 - 16:
	(0x402d80, 4, 3, 140068033184832, 0x00007f64215cc440, 0);
	(0x402d88, 4, 3, 140068033184992, 0x00007f64215cc4e0, 32);
	(0x402d92, 4, 1, 140068033184832, 0x00007f64215cc440, 0);
	(0x402d96, 4, 1, 140068033184992, 0x00007f64215cc4e0, 32);
	(0x402d9f, 4, 3, 140068033185152, 0x00007f64215cc580, 0);
	(0x402da3, 4, 3, 140068033185312, 0x00007f64215cc620, 32);
	(0x402dad, 4, 1, 140068033185152, 0x00007f64215cc580, 0);
	(0x402db1, 4, 1, 140068033185312, 0x00007f64215cc620, 32);
	(0x402dba, 4, 3, 140068033185472, 0x00007f64215cc6c0, 0);
	(0x402dbe, 4, 3, 140068033185632, 0x00007f64215cc760, 32);
	(0x402dc8, 4, 1, 140068033185472, 0x00007f64215cc6c0, 0);
	(0x402dcc, 4, 1, 140068033185632, 0x00007f64215cc760, 32);
	(0x402dd5, 4, 3, 140068033185792, 0x00007f64215cc800, 0);
	(0x402dd9, 4, 3, 140068033185952, 0x00007f64215cc8a0, 32);
