LoopID : 1; InstanceID : 0; LoopCount : 25000; NbInsns : 8

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402dd0; MOVUPS (%RAX,%R11,8),%XMM6                        ;	load;	l;	0x402dd0;	0;	512;	24488;	0;	4096;	20904;	0;	25000;	0
0x402dd5; MOVUPS 0x10(%RAX,%R11,8),%XMM7                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402ddb; MOVUPS 0x20(%RAX,%R11,8),%XMM8                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402de1; MOVUPS 0x30(%RAX,%R11,8),%XMM9                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS %XMM6,(%RAX,%R11,8)                        ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e02; MOVUPS %XMM7,0x10(%RAX,%R11,8)                    ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e14; MOVUPS %XMM8,0x20(%RAX,%R11,8)                    ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1f; MOVUPS %XMM9,0x30(%RAX,%R11,8)                    ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	175000.000;	512.000;	24488.000;	0.000;	4096.000;	20904.000;	0.000;	25000.000;	0.000
Sum(Column) / LoopCount:	21875.000;	64.000;	3061.000;	0.000;	512.000;	2613.000;	0.000;	3125.000;	0.000

LoopID : 1; InstanceID : 1; LoopCount : 25000; NbInsns : 8

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402dd0; MOVUPS (%RAX,%R11,8),%XMM6                        ;	load;	l;	0x402dd0;	448;	0;	24552;	3584;	0;	20968;	20968;	0;	0
0x402dd5; MOVUPS 0x10(%RAX,%R11,8),%XMM7                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402ddb; MOVUPS 0x20(%RAX,%R11,8),%XMM8                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402de1; MOVUPS 0x30(%RAX,%R11,8),%XMM9                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS %XMM6,(%RAX,%R11,8)                        ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e02; MOVUPS %XMM7,0x10(%RAX,%R11,8)                    ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e14; MOVUPS %XMM8,0x20(%RAX,%R11,8)                    ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1f; MOVUPS %XMM9,0x30(%RAX,%R11,8)                    ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	175448.000;	0.000;	24552.000;	3584.000;	0.000;	20968.000;	20968.000;	0.000;	0.000
Sum(Column) / LoopCount:	21931.000;	0.000;	3069.000;	448.000;	0.000;	2621.000;	2621.000;	0.000;	0.000

LoopID : 1; InstanceID : 2; LoopCount : 25000; NbInsns : 8

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402dd0; MOVUPS (%RAX,%R11,8),%XMM6                        ;	load;	l;	0x402dd0;	448;	0;	24552;	3584;	0;	20968;	20968;	0;	0
0x402dd5; MOVUPS 0x10(%RAX,%R11,8),%XMM7                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402ddb; MOVUPS 0x20(%RAX,%R11,8),%XMM8                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402de1; MOVUPS 0x30(%RAX,%R11,8),%XMM9                    ;	load;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402df9; MOVUPS %XMM6,(%RAX,%R11,8)                        ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402e02; MOVUPS %XMM7,0x10(%RAX,%R11,8)                    ;	store;	f;	0x402dd0;	25000;	0;	0;	0;	0;	0;	0;	0;	0
