LoopID : 0; InstanceID : 0; LoopCount : 25000; NbInsns : 16

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d6b; MOVSD (%R10,%RSI,1),%XMM1                         ;	load;	l;	0x402d6b;	0;	256;	24744;	0;	2048;	22952;	0;	25000;	0
0x402d74; MOVSD 0x8(%R10,%RSI,1),%XMM2                      ;	load;	f;	0x402d6b;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d7b; MOVSD 0x10(%R10,%RSI,1),%XMM3                     ;	load;	f;	0x402d6b;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d82; MOVSD 0x18(%R10,%RSI,1),%XMM4                     ;	load;	f;	0x402d6b;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d89; MOVSD 0x20(%R10,%RSI,1),%XMM5                     ;	load;	f;	0x402d6b;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d90; MOVSD 0x28(%R10,%RSI,1),%XMM6                     ;	load;	f;	0x402d6b;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d97; MOVSD 0x30(%R10,%RSI,1),%XMM7                     ;	load;	f;	0x402d6b;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d9e; MOVSD 0x38(%R10,%RSI,1),%XMM8                     ;	load;	f;	0x402d6b;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dc6; MOVSD %XMM1,(%R10,%RAX,1)                         ;	store;	l;	0x402dc6;	0;	256;	24744;	0;	2048;	22952;	0;	25000;	0
0x402dcc; MOVSD %XMM2,0x8(%R10,%RAX,1)                      ;	store;	f;	0x402dc6;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dd3; MOVSD %XMM3,0x10(%R10,%RAX,1)                     ;	store;	f;	0x402dc6;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dda; MOVSD %XMM4,0x18(%R10,%RAX,1)                     ;	store;	f;	0x402dc6;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402de1; MOVSD %XMM5,0x20(%R10,%RAX,1)                     ;	store;	f;	0x402dc6;	25000;	0;	0;	0;	0;	0;	0;	0;	0
