ITER 0 - 8:
	(0x402dc8, 0, 3, 140435920769088, 0x00007fb9c92bd040, 0);
	(0x402dcd, 0, 3, 140435920769248, 0x00007fb9c92bd0e0, 32);
	(0x402dd8, 0, 3, 140435920769408, 0x00007fb9c92bd180, 0);
	(0x402de0, 0, 3, 140435920769568, 0x00007fb9c92bd220, 32);
	(0x402dea, 0, 3, 140435920769728, 0x00007fb9c92bd2c0, 0);
	(0x402df2, 0, 3, 140435920769888, 0x00007fb9c92bd360, 32);
	(0x402dfc, 0, 3, 140435920770048, 0x00007fb9c92bd400, 0);
	(0x402e04, 0, 3, 140435920770208, 0x00007fb9c92bd4a0, 32);

ITER 1 - 8:
	(0x402dc8, 1, 3, 140435920770368, 0x00007fb9c92bd540, 0);
	(0x402dcd, 1, 3, 140435920770528, 0x00007fb9c92bd5e0, 32);
	(0x402dd8, 1, 3, 140435920770688, 0x00007fb9c92bd680, 0);
	(0x402de0, 1, 3, 140435920770848, 0x00007fb9c92bd720, 32);
	(0x402dea, 1, 3, 140435920771008, 0x00007fb9c92bd7c0, 0);
	(0x402df2, 1, 3, 140435920771168, 0x00007fb9c92bd860, 32);
	(0x402dfc, 1, 3, 140435920771328, 0x00007fb9c92bd900, 0);
	(0x402e04, 1, 3, 140435920771488, 0x00007fb9c92bd9a0, 32);

ITER 2 - 8:
	(0x402dc8, 2, 3, 140435920771648, 0x00007fb9c92bda40, 0);
	(0x402dcd, 2, 3, 140435920771808, 0x00007fb9c92bdae0, 32);
	(0x402dd8, 2, 3, 140435920771968, 0x00007fb9c92bdb80, 0);
	(0x402de0, 2, 3, 140435920772128, 0x00007fb9c92bdc20, 32);
	(0x402dea, 2, 3, 140435920772288, 0x00007fb9c92bdcc0, 0);
	(0x402df2, 2, 3, 140435920772448, 0x00007fb9c92bdd60, 32);
	(0x402dfc, 2, 3, 140435920772608, 0x00007fb9c92bde00, 0);
	(0x402e04, 2, 3, 140435920772768, 0x00007fb9c92bdea0, 32);

ITER 3 - 8:
	(0x402dc8, 3, 3, 140435920772928, 0x00007fb9c92bdf40, 0);
	(0x402dcd, 3, 3, 140435920773088, 0x00007fb9c92bdfe0, 32);
	(0x402dd8, 3, 3, 140435920773248, 0x00007fb9c92be080, 0);
	(0x402de0, 3, 3, 140435920773408, 0x00007fb9c92be120, 32);
	(0x402dea, 3, 3, 140435920773568, 0x00007fb9c92be1c0, 0);
	(0x402df2, 3, 3, 140435920773728, 0x00007fb9c92be260, 32);
	(0x402dfc, 3, 3, 140435920773888, 0x00007fb9c92be300, 0);
	(0x402e04, 3, 3, 140435920774048, 0x00007fb9c92be3a0, 32);

ITER 4 - 8:
	(0x402dc8, 4, 3, 140435920774208, 0x00007fb9c92be440, 0);
	(0x402dcd, 4, 3, 140435920774368, 0x00007fb9c92be4e0, 32);
	(0x402dd8, 4, 3, 140435920774528, 0x00007fb9c92be580, 0);
	(0x402de0, 4, 3, 140435920774688, 0x00007fb9c92be620, 32);
	(0x402dea, 4, 3, 140435920774848, 0x00007fb9c92be6c0, 0);
	(0x402df2, 4, 3, 140435920775008, 0x00007fb9c92be760, 32);
	(0x402dfc, 4, 3, 140435920775168, 0x00007fb9c92be800, 0);
	(0x402e04, 4, 3, 140435920775328, 0x00007fb9c92be8a0, 32);

ITER 5 - 8:
	(0x402dc8, 5, 3, 140435920775488, 0x00007fb9c92be940, 0);
	(0x402dcd, 5, 3, 140435920775648, 0x00007fb9c92be9e0, 32);
	(0x402dd8, 5, 3, 140435920775808, 0x00007fb9c92bea80, 0);
	(0x402de0, 5, 3, 140435920775968, 0x00007fb9c92beb20, 32);
	(0x402dea, 5, 3, 140435920776128, 0x00007fb9c92bebc0, 0);
	(0x402df2, 5, 3, 140435920776288, 0x00007fb9c92bec60, 32);
	(0x402dfc, 5, 3, 140435920776448, 0x00007fb9c92bed00, 0);
	(0x402e04, 5, 3, 140435920776608, 0x00007fb9c92beda0, 32);

ITER 6 - 8:
	(0x402dc8, 6, 3, 140435920776768, 0x00007fb9c92bee40, 0);
	(0x402dcd, 6, 3, 140435920776928, 0x00007fb9c92beee0, 32);
	(0x402dd8, 6, 3, 140435920777088, 0x00007fb9c92bef80, 0);
	(0x402de0, 6, 3, 140435920777248, 0x00007fb9c92bf020, 32);
	(0x402dea, 6, 3, 140435920777408, 0x00007fb9c92bf0c0, 0);
	(0x402df2, 6, 3, 140435920777568, 0x00007fb9c92bf160, 32);
	(0x402dfc, 6, 3, 140435920777728, 0x00007fb9c92bf200, 0);
