LoopID : 0; InstanceID : 0; LoopCount : 100000; NbInsns : 8

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d40; MOVSD -0x8(%RDI,%RAX,8),%XMM6                     ;	load;	l;	0x402d40;	87500;	128;	12372;	0;	976;	11524;	0;	12468;	32
0x402d49; MOVSD -0x8(%RCX,%RAX,8),%XMM9                     ;	load;	l;	0x402d49;	87499;	128;	12373;	0;	988;	11513;	0;	12470;	31
0x402d53; MOVSD (%RSI,%R8,8),%XMM8                          ;	load;	l;	0x402d53;	86016;	128;	13856;	1360;	987;	11637;	124;	12454;	46
0x402d5c; MOVSD (%R9,%R8,8),%XMM7                           ;	load;	f;	0x402d49;	83416;	128;	16456;	3732;	983;	11869;	352;	12470;	30
0x402d89; MOVSD %XMM3,(%RSI,%R8,8)                          ;	store;	f;	0x402d53;	100000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d8f; MOVSD %XMM7,(%R9,%R8,8)                           ;	store;	f;	0x402d49;	100000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d98; MOVSD %XMM5,-0x8(%RDI,%RAX,8)                     ;	store;	f;	0x402d40;	98520;	0;	1480;	1352;	0;	128;	128;	0;	0
0x402d9e; MOVSD %XMM9,-0x8(%RCX,%RAX,8)                     ;	store;	f;	0x402d49;	95540;	0;	4460;	4080;	0;	380;	380;	0;	0

Sum(Column):	738491.000;	512.000;	60997.000;	10524.000;	3934.000;	47051.000;	984.000;	49862.000;	139.000
Sum(Column) / LoopCount:	92311.375;	64.000;	7624.625;	1315.500;	491.750;	5881.375;	123.000;	6232.750;	17.375

LoopID : 0; InstanceID : 1; LoopCount : 100000; NbInsns : 8

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d40; MOVSD -0x8(%RDI,%RAX,8),%XMM6                     ;	load;	l;	0x402d40;	87604;	0;	12396;	850;	0;	11546;	11513;	0;	33
0x402d49; MOVSD -0x8(%RCX,%RAX,8),%XMM9                     ;	load;	f;	0x402d5c;	87611;	0;	12389;	818;	0;	11571;	11568;	0;	3
0x402d53; MOVSD (%RSI,%R8,8),%XMM8                          ;	load;	l;	0x402d53;	86065;	0;	13935;	2177;	0;	11758;	11736;	0;	22
