ITER 0 - 6:
	(0x402d42, 0, 3, 139686050515512, 0x00007f0b316bca38, 56);
	(0x402d4c, 0, 3, 139686052115536, 0x00007f0b31843450, 16);
	(0x402d52, 0, 1, 139686050515504, 0x00007f0b316bca30, 48);
	(0x402d61, 0, 1, 139686052115528, 0x00007f0b31843448, 8);
	(0x402d67, 0, 1, 139686052115536, 0x00007f0b31843450, 16);
	(0x402d71, 0, 1, 139686052115528, 0x00007f0b31843448, 8);

ITER 1 - 6:
	(0x402d42, 1, 1, 139686050515496, 0x00007f0b316bca28, 40);
	(0x402d4c, 1, 1, 139686052115520, 0x00007f0b31843440, 0);
	(0x402d52, 1, 1, 139686050515488, 0x00007f0b316bca20, 32);
	(0x402d61, 1, 3, 139686052115512, 0x00007f0b31843438, 56);
	(0x402d67, 1, 1, 139686052115520, 0x00007f0b31843440, 0);
	(0x402d71, 1, 1, 139686052115512, 0x00007f0b31843438, 56);

ITER 2 - 6:
	(0x402d42, 2, 1, 139686050515480, 0x00007f0b316bca18, 24);
	(0x402d4c, 2, 1, 139686052115504, 0x00007f0b31843430, 48);
	(0x402d52, 2, 1, 139686050515472, 0x00007f0b316bca10, 16);
	(0x402d61, 2, 1, 139686052115496, 0x00007f0b31843428, 40);
	(0x402d67, 2, 1, 139686052115504, 0x00007f0b31843430, 48);
	(0x402d71, 2, 1, 139686052115496, 0x00007f0b31843428, 40);

ITER 3 - 6:
	(0x402d42, 3, 1, 139686050515464, 0x00007f0b316bca08, 8);
	(0x402d4c, 3, 1, 139686052115488, 0x00007f0b31843420, 32);
	(0x402d52, 3, 1, 139686050515456, 0x00007f0b316bca00, 0);
	(0x402d61, 3, 1, 139686052115480, 0x00007f0b31843418, 24);
	(0x402d67, 3, 1, 139686052115488, 0x00007f0b31843420, 32);
	(0x402d71, 3, 1, 139686052115480, 0x00007f0b31843418, 24);

ITER 4 - 6:
	(0x402d42, 4, 3, 139686050515448, 0x00007f0b316bc9f8, 56);
	(0x402d4c, 4, 1, 139686052115472, 0x00007f0b31843410, 16);
	(0x402d52, 4, 1, 139686050515440, 0x00007f0b316bc9f0, 48);
	(0x402d61, 4, 1, 139686052115464, 0x00007f0b31843408, 8);
	(0x402d67, 4, 1, 139686052115472, 0x00007f0b31843410, 16);
	(0x402d71, 4, 1, 139686052115464, 0x00007f0b31843408, 8);

ITER 5 - 6:
	(0x402d42, 5, 1, 139686050515432, 0x00007f0b316bc9e8, 40);
	(0x402d4c, 5, 1, 139686052115456, 0x00007f0b31843400, 0);
	(0x402d52, 5, 1, 139686050515424, 0x00007f0b316bc9e0, 32);
	(0x402d61, 5, 3, 139686052115448, 0x00007f0b318433f8, 56);
	(0x402d67, 5, 1, 139686052115456, 0x00007f0b31843400, 0);
	(0x402d71, 5, 1, 139686052115448, 0x00007f0b318433f8, 56);

ITER 6 - 6:
	(0x402d42, 6, 1, 139686050515416, 0x00007f0b316bc9d8, 24);
	(0x402d4c, 6, 1, 139686052115440, 0x00007f0b318433f0, 48);
	(0x402d52, 6, 1, 139686050515408, 0x00007f0b316bc9d0, 16);
	(0x402d61, 6, 1, 139686052115432, 0x00007f0b318433e8, 40);
	(0x402d67, 6, 1, 139686052115440, 0x00007f0b318433f0, 48);
	(0x402d71, 6, 1, 139686052115432, 0x00007f0b318433e8, 40);

ITER 7 - 6:
	(0x402d42, 7, 1, 139686050515400, 0x00007f0b316bc9c8, 8);
	(0x402d4c, 7, 1, 139686052115424, 0x00007f0b318433e0, 32);
	(0x402d52, 7, 1, 139686050515392, 0x00007f0b316bc9c0, 0);
	(0x402d61, 7, 1, 139686052115416, 0x00007f0b318433d8, 24);
	(0x402d67, 7, 1, 139686052115424, 0x00007f0b318433e0, 32);
	(0x402d71, 7, 1, 139686052115416, 0x00007f0b318433d8, 24);

ITER 8 - 6:
	(0x402d42, 8, 3, 139686050515384, 0x00007f0b316bc9b8, 56);
	(0x402d4c, 8, 1, 139686052115408, 0x00007f0b318433d0, 16);
	(0x402d52, 8, 1, 139686050515376, 0x00007f0b316bc9b0, 48);
	(0x402d61, 8, 1, 139686052115400, 0x00007f0b318433c8, 8);
	(0x402d67, 8, 1, 139686052115408, 0x00007f0b318433d0, 16);
	(0x402d71, 8, 1, 139686052115400, 0x00007f0b318433c8, 8);

ITER 9 - 6:
	(0x402d42, 9, 1, 139686050515368, 0x00007f0b316bc9a8, 40);
	(0x402d4c, 9, 1, 139686052115392, 0x00007f0b318433c0, 0);
	(0x402d52, 9, 1, 139686050515360, 0x00007f0b316bc9a0, 32);
	(0x402d61, 9, 3, 139686052115384, 0x00007f0b318433b8, 56);
	(0x402d67, 9, 1, 139686052115392, 0x00007f0b318433c0, 0);
	(0x402d71, 9, 1, 139686052115384, 0x00007f0b318433b8, 56);

ITER 10 - 6:
	(0x402d42, 10, 1, 139686050515352, 0x00007f0b316bc998, 24);
	(0x402d4c, 10, 1, 139686052115376, 0x00007f0b318433b0, 48);
	(0x402d52, 10, 1, 139686050515344, 0x00007f0b316bc990, 16);
	(0x402d61, 10, 1, 139686052115368, 0x00007f0b318433a8, 40);
	(0x402d67, 10, 1, 139686052115376, 0x00007f0b318433b0, 48);
	(0x402d71, 10, 1, 139686052115368, 0x00007f0b318433a8, 40);

ITER 11 - 6:
	(0x402d42, 11, 1, 139686050515336, 0x00007f0b316bc988, 8);
	(0x402d4c, 11, 1, 139686052115360, 0x00007f0b318433a0, 32);
	(0x402d52, 11, 1, 139686050515328, 0x00007f0b316bc980, 0);
	(0x402d61, 11, 1, 139686052115352, 0x00007f0b31843398, 24);
	(0x402d67, 11, 1, 139686052115360, 0x00007f0b318433a0, 32);
	(0x402d71, 11, 1, 139686052115352, 0x00007f0b31843398, 24);

ITER 12 - 6:
	(0x402d42, 12, 3, 139686050515320, 0x00007f0b316bc978, 56);
	(0x402d4c, 12, 1, 139686052115344, 0x00007f0b31843390, 16);
	(0x402d52, 12, 1, 139686050515312, 0x00007f0b316bc970, 48);
	(0x402d61, 12, 1, 139686052115336, 0x00007f0b31843388, 8);
	(0x402d67, 12, 1, 139686052115344, 0x00007f0b31843390, 16);
	(0x402d71, 12, 1, 139686052115336, 0x00007f0b31843388, 8);

ITER 13 - 6:
	(0x402d42, 13, 1, 139686050515304, 0x00007f0b316bc968, 40);
	(0x402d4c, 13, 1, 139686052115328, 0x00007f0b31843380, 0);
	(0x402d52, 13, 1, 139686050515296, 0x00007f0b316bc960, 32);
	(0x402d61, 13, 3, 139686052115320, 0x00007f0b31843378, 56);
	(0x402d67, 13, 1, 139686052115328, 0x00007f0b31843380, 0);
	(0x402d71, 13, 1, 139686052115320, 0x00007f0b31843378, 56);

ITER 14 - 6:
	(0x402d42, 14, 1, 139686050515288, 0x00007f0b316bc958, 24);
	(0x402d4c, 14, 1, 139686052115312, 0x00007f0b31843370, 48);
	(0x402d52, 14, 1, 139686050515280, 0x00007f0b316bc950, 16);
	(0x402d61, 14, 1, 139686052115304, 0x00007f0b31843368, 40);
	(0x402d67, 14, 1, 139686052115312, 0x00007f0b31843370, 48);
	(0x402d71, 14, 1, 139686052115304, 0x00007f0b31843368, 40);

ITER 15 - 6:
	(0x402d42, 15, 1, 139686050515272, 0x00007f0b316bc948, 8);
	(0x402d4c, 15, 1, 139686052115296, 0x00007f0b31843360, 32);
	(0x402d52, 15, 1, 139686050515264, 0x00007f0b316bc940, 0);
	(0x402d61, 15, 1, 139686052115288, 0x00007f0b31843358, 24);
	(0x402d67, 15, 1, 139686052115296, 0x00007f0b31843360, 32);
	(0x402d71, 15, 1, 139686052115288, 0x00007f0b31843358, 24);

ITER 16 - 6:
	(0x402d42, 16, 3, 139686050515256, 0x00007f0b316bc938, 56);
	(0x402d4c, 16, 1, 139686052115280, 0x00007f0b31843350, 16);
	(0x402d52, 16, 1, 139686050515248, 0x00007f0b316bc930, 48);
	(0x402d61, 16, 1, 139686052115272, 0x00007f0b31843348, 8);
	(0x402d67, 16, 1, 139686052115280, 0x00007f0b31843350, 16);
	(0x402d71, 16, 1, 139686052115272, 0x00007f0b31843348, 8);

ITER 17 - 6:
	(0x402d42, 17, 1, 139686050515240, 0x00007f0b316bc928, 40);
	(0x402d4c, 17, 1, 139686052115264, 0x00007f0b31843340, 0);
	(0x402d52, 17, 1, 139686050515232, 0x00007f0b316bc920, 32);
	(0x402d61, 17, 3, 139686052115256, 0x00007f0b31843338, 56);
	(0x402d67, 17, 1, 139686052115264, 0x00007f0b31843340, 0);
	(0x402d71, 17, 1, 139686052115256, 0x00007f0b31843338, 56);

ITER 18 - 6:
	(0x402d42, 18, 1, 139686050515224, 0x00007f0b316bc918, 24);
	(0x402d4c, 18, 1, 139686052115248, 0x00007f0b31843330, 48);
	(0x402d52, 18, 1, 139686050515216, 0x00007f0b316bc910, 16);
	(0x402d61, 18, 1, 139686052115240, 0x00007f0b31843328, 40);
	(0x402d67, 18, 1, 139686052115248, 0x00007f0b31843330, 48);
	(0x402d71, 18, 1, 139686052115240, 0x00007f0b31843328, 40);

ITER 19 - 6:
	(0x402d42, 19, 1, 139686050515208, 0x00007f0b316bc908, 8);
	(0x402d4c, 19, 1, 139686052115232, 0x00007f0b31843320, 32);
	(0x402d52, 19, 1, 139686050515200, 0x00007f0b316bc900, 0);
	(0x402d61, 19, 1, 139686052115224, 0x00007f0b31843318, 24);
	(0x402d67, 19, 1, 139686052115232, 0x00007f0b31843320, 32);
	(0x402d71, 19, 1, 139686052115224, 0x00007f0b31843318, 24);

ITER 20 - 6:
	(0x402d42, 20, 3, 139686050515192, 0x00007f0b316bc8f8, 56);
	(0x402d4c, 20, 1, 139686052115216, 0x00007f0b31843310, 16);
	(0x402d52, 20, 1, 139686050515184, 0x00007f0b316bc8f0, 48);
	(0x402d61, 20, 1, 139686052115208, 0x00007f0b31843308, 8);
	(0x402d67, 20, 1, 139686052115216, 0x00007f0b31843310, 16);
	(0x402d71, 20, 1, 139686052115208, 0x00007f0b31843308, 8);

ITER 21 - 6:
	(0x402d42, 21, 1, 139686050515176, 0x00007f0b316bc8e8, 40);
	(0x402d4c, 21, 1, 139686052115200, 0x00007f0b31843300, 0);
	(0x402d52, 21, 1, 139686050515168, 0x00007f0b316bc8e0, 32);
	(0x402d61, 21, 3, 139686052115192, 0x00007f0b318432f8, 56);
	(0x402d67, 21, 1, 139686052115200, 0x00007f0b31843300, 0);
	(0x402d71, 21, 1, 139686052115192, 0x00007f0b318432f8, 56);

ITER 22 - 6:
	(0x402d42, 22, 1, 139686050515160, 0x00007f0b316bc8d8, 24);
	(0x402d4c, 22, 1, 139686052115184, 0x00007f0b318432f0, 48);
	(0x402d52, 22, 1, 139686050515152, 0x00007f0b316bc8d0, 16);
	(0x402d61, 22, 1, 139686052115176, 0x00007f0b318432e8, 40);
	(0x402d67, 22, 1, 139686052115184, 0x00007f0b318432f0, 48);
	(0x402d71, 22, 1, 139686052115176, 0x00007f0b318432e8, 40);

ITER 23 - 6:
	(0x402d42, 23, 1, 139686050515144, 0x00007f0b316bc8c8, 8);
	(0x402d4c, 23, 1, 139686052115168, 0x00007f0b318432e0, 32);
	(0x402d52, 23, 1, 139686050515136, 0x00007f0b316bc8c0, 0);
	(0x402d61, 23, 1, 139686052115160, 0x00007f0b318432d8, 24);
	(0x402d67, 23, 1, 139686052115168, 0x00007f0b318432e0, 32);
	(0x402d71, 23, 1, 139686052115160, 0x00007f0b318432d8, 24);

ITER 24 - 6:
	(0x402d42, 24, 3, 139686050515128, 0x00007f0b316bc8b8, 56);
	(0x402d4c, 24, 1, 139686052115152, 0x00007f0b318432d0, 16);
	(0x402d52, 24, 1, 139686050515120, 0x00007f0b316bc8b0, 48);
	(0x402d61, 24, 1, 139686052115144, 0x00007f0b318432c8, 8);
	(0x402d67, 24, 1, 139686052115152, 0x00007f0b318432d0, 16);
	(0x402d71, 24, 1, 139686052115144, 0x00007f0b318432c8, 8);

ITER 25 - 6:
	(0x402d42, 25, 1, 139686050515112, 0x00007f0b316bc8a8, 40);
	(0x402d4c, 25, 1, 139686052115136, 0x00007f0b318432c0, 0);
	(0x402d52, 25, 1, 139686050515104, 0x00007f0b316bc8a0, 32);
	(0x402d61, 25, 3, 139686052115128, 0x00007f0b318432b8, 56);
	(0x402d67, 25, 1, 139686052115136, 0x00007f0b318432c0, 0);
	(0x402d71, 25, 1, 139686052115128, 0x00007f0b318432b8, 56);

ITER 26 - 6:
	(0x402d42, 26, 1, 139686050515096, 0x00007f0b316bc898, 24);
	(0x402d4c, 26, 1, 139686052115120, 0x00007f0b318432b0, 48);
	(0x402d52, 26, 1, 139686050515088, 0x00007f0b316bc890, 16);
	(0x402d61, 26, 1, 139686052115112, 0x00007f0b318432a8, 40);
	(0x402d67, 26, 1, 139686052115120, 0x00007f0b318432b0, 48);
	(0x402d71, 26, 1, 139686052115112, 0x00007f0b318432a8, 40);

ITER 27 - 6:
	(0x402d42, 27, 1, 139686050515080, 0x00007f0b316bc888, 8);
	(0x402d4c, 27, 1, 139686052115104, 0x00007f0b318432a0, 32);
	(0x402d52, 27, 1, 139686050515072, 0x00007f0b316bc880, 0);
	(0x402d61, 27, 1, 139686052115096, 0x00007f0b31843298, 24);
	(0x402d67, 27, 1, 139686052115104, 0x00007f0b318432a0, 32);
	(0x402d71, 27, 1, 139686052115096, 0x00007f0b31843298, 24);

ITER 28 - 6:
	(0x402d42, 28, 3, 139686050515064, 0x00007f0b316bc878, 56);
	(0x402d4c, 28, 1, 139686052115088, 0x00007f0b31843290, 16);
	(0x402d52, 28, 1, 139686050515056, 0x00007f0b316bc870, 48);
	(0x402d61, 28, 1, 139686052115080, 0x00007f0b31843288, 8);
	(0x402d67, 28, 1, 139686052115088, 0x00007f0b31843290, 16);
	(0x402d71, 28, 1, 139686052115080, 0x00007f0b31843288, 8);

ITER 29 - 6:
	(0x402d42, 29, 1, 139686050515048, 0x00007f0b316bc868, 40);
	(0x402d4c, 29, 1, 139686052115072, 0x00007f0b31843280, 0);
	(0x402d52, 29, 1, 139686050515040, 0x00007f0b316bc860, 32);
	(0x402d61, 29, 3, 139686052115064, 0x00007f0b31843278, 56);
	(0x402d67, 29, 1, 139686052115072, 0x00007f0b31843280, 0);
	(0x402d71, 29, 1, 139686052115064, 0x00007f0b31843278, 56);

ITER 30 - 6:
	(0x402d42, 30, 1, 139686050515032, 0x00007f0b316bc858, 24);
	(0x402d4c, 30, 1, 139686052115056, 0x00007f0b31843270, 48);
	(0x402d52, 30, 1, 139686050515024, 0x00007f0b316bc850, 16);
	(0x402d61, 30, 1, 139686052115048, 0x00007f0b31843268, 40);
	(0x402d67, 30, 1, 139686052115056, 0x00007f0b31843270, 48);
	(0x402d71, 30, 1, 139686052115048, 0x00007f0b31843268, 40);

ITER 31 - 6:
	(0x402d42, 31, 1, 139686050515016, 0x00007f0b316bc848, 8);
	(0x402d4c, 31, 1, 139686052115040, 0x00007f0b31843260, 32);
	(0x402d52, 31, 1, 139686050515008, 0x00007f0b316bc840, 0);
	(0x402d61, 31, 1, 139686052115032, 0x00007f0b31843258, 24);
	(0x402d67, 31, 1, 139686052115040, 0x00007f0b31843260, 32);
	(0x402d71, 31, 1, 139686052115032, 0x00007f0b31843258, 24);

ITER 32 - 6:
	(0x402d42, 32, 3, 139686050515000, 0x00007f0b316bc838, 56);
	(0x402d4c, 32, 1, 139686052115024, 0x00007f0b31843250, 16);
	(0x402d52, 32, 1, 139686050514992, 0x00007f0b316bc830, 48);
	(0x402d61, 32, 1, 139686052115016, 0x00007f0b31843248, 8);
	(0x402d67, 32, 1, 139686052115024, 0x00007f0b31843250, 16);
	(0x402d71, 32, 1, 139686052115016, 0x00007f0b31843248, 8);

ITER 33 - 6:
	(0x402d42, 33, 1, 139686050514984, 0x00007f0b316bc828, 40);
