application.name,batch.name,code.name,codelet.name,binary_loop.id,cpu.generation,prefetchers,decan_experimental_configuration.data_size,decan_experimental_configuration.memory_load,decan_experimental_configuration.frequency,decan_variant.name,decan_experimental_configuration.num_core,Iterations,Repetitions,CPU_CLK_UNHALTED_THREAD,INST_RETIRED_ANY,L1D_PEND_MISS_PENDING_ND,L1D_REPLACEMENT_ND,MEM_LOAD_UOPS_RETIRED_HIT_LFB_ND,MEM_LOAD_UOPS_RETIRED_L1_HIT_ND,MEM_LOAD_UOPS_RETIRED_L1_MISS,MEM_LOAD_UOPS_RETIRED_L2_HIT_ND,MEM_LOAD_UOPS_RETIRED_LLC_HIT_PS,MEM_LOAD_UOPS_RETIRED_LLC_MISS_PS,MEM_UOPS_RETIRED_ALL_LOADS,MEM_UOPS_RETIRED_ALL_STORES,UOPS_ISSUED_ANY_ND,UOPS_RETIRED_ALL_ND,UOPS_RETIRED_RETIRE_SLOTS_ND,Bytes_loaded,Bytes_stored
NRs_CAPE,1D_loop-Stride_1,balanc_3,balanc_3_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,666675000,26667,15.88,28.04,31.99,1.00,6.90,0.13,0.99,0.00,0.99,0.00,8.01,8.01,27.06,35.06,27.05,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,balanc_3,balanc_3_de,1,Haswell,15,200000,0,2500000,ORG,1,1333350000,53334,9.12,15.02,37.11,1.00,2.96,0.06,0.99,0.00,0.99,0.00,4.01,4.00,14.03,18.03,14.03,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,elmhes_10,elmhes_10_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,400000000,16000,27.28,36.07,62.17,2.02,13.72,0.31,1.99,0.01,1.97,0.00,16.02,8.01,35.09,51.10,35.08,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,elmhes_10,elmhes_10_de,1,Haswell,15,200000,0,2500000,ORG,1,661175000,26447,15.33,19.04,71.70,2.04,5.89,0.14,1.98,0.01,1.97,0.00,8.01,4.01,18.05,26.06,18.05,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,four1_2,four1_2_me,1,Haswell,15,200000,0,2500000,ORG,1,799984000,16000,16.61,32.04,7.12,0.25,2.22,3.55,0.25,0.00,0.25,0.00,6.01,4.01,35.05,39.05,35.05,24.00,16.00
NRs_CAPE,1D_loop-Stride_1,mprove_9,mprove_9_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,400000000,16000,25.42,28.07,63.03,2.00,13.55,0.49,1.97,0.00,1.97,0.00,16.02,8.01,27.09,43.10,27.08,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,mprove_9,mprove_9_de,1,Haswell,15,200000,0,2500000,ORG,1,698100000,27924,14.55,15.04,74.26,2.00,5.84,0.20,1.97,0.00,1.97,0.00,8.01,4.01,14.05,22.06,14.05,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,realft_4,realft_4_de,0,Haswell,15,200000,0,2500000,ORG,1,799984000,16000,20.23,41.04,14.38,0.50,1.53,2.00,0.49,0.00,0.48,0.00,4.01,4.01,40.05,44.06,40.05,32.00,32.00
Saeed,1D_loop-Stride_1,s1244,s1244_se,1,Haswell,15,59961,0,2500000,ORG,1,799476660,53334,12.90,15.04,25.90,1.00,1.77,0.50,0.74,0.00,0.74,0.00,3.01,2.01,14.06,16.06,14.05,48.00,32.00
Saeed,1D_loop-Stride_1,s1244,s1244_sVS_se,0,Haswell,15,59961,0,2500000,ORG,1,1918720000,32000,6.01,15.02,5.77,0.25,1.01,1.81,0.19,0.00,0.18,0.00,3.00,2.00,15.02,17.03,15.02,12.00,8.00
Saeed,1D_loop-Stride_1,s319,s319_sVS_se,0,Haswell,15,60000,0,2500000,ORG,1,1421280000,23688,7.05,12.02,5.67,0.31,1.05,1.78,0.18,0.00,0.18,0.00,3.01,2.00,11.03,13.03,11.03,12.00,8.00
Saeed,1D_loop-Stride_1,s319,s319_se,1,Haswell,15,60000,0,2500000,ORG,1,240000000,32000,41.77,21.14,47.14,2.50,0.43,4.13,1.48,0.00,1.48,0.00,6.04,4.02,20.18,24.20,20.17,96.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_13,svdcmp_13_de,1,Haswell,15,200000,0,2500000,ORG,1,200000000,8000,56.41,23.14,28.82,1.00,2.95,0.10,0.99,0.00,0.99,0.00,4.04,4.02,22.18,26.20,22.17,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_13,svdcmp_13_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,100000000,4000,112.83,44.28,28.67,1.00,6.86,0.23,0.99,0.00,0.99,0.00,8.08,8.04,43.36,51.40,43.34,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_14,svdcmp_14_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,100000000,4000,112.70,28.28,28.82,2.00,6.89,0.20,0.99,0.00,0.99,0.00,8.08,8.04,27.36,35.40,27.34,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_14,svdcmp_14_de,1,Haswell,15,200000,0,2500000,ORG,1,200000000,8000,56.37,15.14,29.54,2.00,2.96,0.10,0.99,0.00,0.99,0.00,4.04,4.02,14.18,18.20,14.17,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,toeplz_1,toeplz_1_sVS_de,0,Haswell,15,100001,0,2500000,ORG,1,202537500,16203,49.41,58.16,91.20,3.14,27.63,3.34,3.07,0.14,2.93,0.00,34.04,2.03,57.21,75.23,57.19,272.00,16.00
