ITER 0 - 16:
	(0x3f81, 0, 3, 140710575464384, 0x00007ff9bbdddfc0, 0);
	(0x3f85, 0, 1, 140710575464400, 0x00007ff9bbdddfd0, 16);
	(0x3f96, 0, 1, 140710575464416, 0x00007ff9bbdddfe0, 32);
	(0x3f9e, 0, 1, 140710575464432, 0x00007ff9bbdddff0, 48);
	(0x3fa8, 0, 3, 140710575464448, 0x00007ff9bbdde000, 0);
	(0x3fb0, 0, 1, 140710575464464, 0x00007ff9bbdde010, 16);
	(0x3fbe, 0, 1, 140710575464480, 0x00007ff9bbdde020, 32);
	(0x3fc6, 0, 1, 140710575464496, 0x00007ff9bbdde030, 48);
	(0x3fd0, 0, 3, 140710575464512, 0x00007ff9bbdde040, 0);
	(0x3fd5, 0, 1, 140710575464528, 0x00007ff9bbdde050, 16);
	(0x3fdc, 0, 1, 140710575464544, 0x00007ff9bbdde060, 32);
	(0x3fe1, 0, 1, 140710575464560, 0x00007ff9bbdde070, 48);
	(0x3fed, 0, 3, 140710575464576, 0x00007ff9bbdde080, 0);
	(0x3ff2, 0, 1, 140710575464592, 0x00007ff9bbdde090, 16);
	(0x3ff9, 0, 1, 140710575464608, 0x00007ff9bbdde0a0, 32);
	(0x3ffe, 0, 1, 140710575464624, 0x00007ff9bbdde0b0, 48);

ITER 1 - 16:
	(0x3f81, 1, 3, 140710575464640, 0x00007ff9bbdde0c0, 0);
	(0x3f85, 1, 1, 140710575464656, 0x00007ff9bbdde0d0, 16);
	(0x3f96, 1, 1, 140710575464672, 0x00007ff9bbdde0e0, 32);
	(0x3f9e, 1, 1, 140710575464688, 0x00007ff9bbdde0f0, 48);
	(0x3fa8, 1, 3, 140710575464704, 0x00007ff9bbdde100, 0);
	(0x3fb0, 1, 1, 140710575464720, 0x00007ff9bbdde110, 16);
	(0x3fbe, 1, 1, 140710575464736, 0x00007ff9bbdde120, 32);
	(0x3fc6, 1, 1, 140710575464752, 0x00007ff9bbdde130, 48);
	(0x3fd0, 1, 3, 140710575464768, 0x00007ff9bbdde140, 0);
	(0x3fd5, 1, 1, 140710575464784, 0x00007ff9bbdde150, 16);
	(0x3fdc, 1, 1, 140710575464800, 0x00007ff9bbdde160, 32);
	(0x3fe1, 1, 1, 140710575464816, 0x00007ff9bbdde170, 48);
	(0x3fed, 1, 3, 140710575464832, 0x00007ff9bbdde180, 0);
	(0x3ff2, 1, 1, 140710575464848, 0x00007ff9bbdde190, 16);
	(0x3ff9, 1, 1, 140710575464864, 0x00007ff9bbdde1a0, 32);
	(0x3ffe, 1, 1, 140710575464880, 0x00007ff9bbdde1b0, 48);

ITER 2 - 16:
	(0x3f81, 2, 3, 140710575464896, 0x00007ff9bbdde1c0, 0);
	(0x3f85, 2, 1, 140710575464912, 0x00007ff9bbdde1d0, 16);
	(0x3f96, 2, 1, 140710575464928, 0x00007ff9bbdde1e0, 32);
	(0x3f9e, 2, 1, 140710575464944, 0x00007ff9bbdde1f0, 48);
	(0x3fa8, 2, 3, 140710575464960, 0x00007ff9bbdde200, 0);
	(0x3fb0, 2, 1, 140710575464976, 0x00007ff9bbdde210, 16);
	(0x3fbe, 2, 1, 140710575464992, 0x00007ff9bbdde220, 32);
	(0x3fc6, 2, 1, 140710575465008, 0x00007ff9bbdde230, 48);
	(0x3fd0, 2, 3, 140710575465024, 0x00007ff9bbdde240, 0);
	(0x3fd5, 2, 1, 140710575465040, 0x00007ff9bbdde250, 16);
