ITER 0 - 16:
	(0x3f81, 0, 3, 140710575456384, 0x00007ff9bbddc080, 0);
	(0x3f85, 0, 1, 140710575456400, 0x00007ff9bbddc090, 16);
	(0x3f96, 0, 1, 140710575456416, 0x00007ff9bbddc0a0, 32);
	(0x3f9e, 0, 1, 140710575456432, 0x00007ff9bbddc0b0, 48);
	(0x3fa8, 0, 3, 140710575456448, 0x00007ff9bbddc0c0, 0);
	(0x3fb0, 0, 1, 140710575456464, 0x00007ff9bbddc0d0, 16);
	(0x3fbe, 0, 1, 140710575456480, 0x00007ff9bbddc0e0, 32);
	(0x3fc6, 0, 1, 140710575456496, 0x00007ff9bbddc0f0, 48);
	(0x3fd0, 0, 3, 140710575456512, 0x00007ff9bbddc100, 0);
	(0x3fd5, 0, 1, 140710575456528, 0x00007ff9bbddc110, 16);
	(0x3fdc, 0, 1, 140710575456544, 0x00007ff9bbddc120, 32);
	(0x3fe1, 0, 1, 140710575456560, 0x00007ff9bbddc130, 48);
	(0x3fed, 0, 3, 140710575456576, 0x00007ff9bbddc140, 0);
	(0x3ff2, 0, 1, 140710575456592, 0x00007ff9bbddc150, 16);
	(0x3ff9, 0, 1, 140710575456608, 0x00007ff9bbddc160, 32);
	(0x3ffe, 0, 1, 140710575456624, 0x00007ff9bbddc170, 48);

ITER 1 - 16:
	(0x3f81, 1, 3, 140710575456640, 0x00007ff9bbddc180, 0);
	(0x3f85, 1, 1, 140710575456656, 0x00007ff9bbddc190, 16);
	(0x3f96, 1, 1, 140710575456672, 0x00007ff9bbddc1a0, 32);
	(0x3f9e, 1, 1, 140710575456688, 0x00007ff9bbddc1b0, 48);
	(0x3fa8, 1, 3, 140710575456704, 0x00007ff9bbddc1c0, 0);
	(0x3fb0, 1, 1, 140710575456720, 0x00007ff9bbddc1d0, 16);
	(0x3fbe, 1, 1, 140710575456736, 0x00007ff9bbddc1e0, 32);
	(0x3fc6, 1, 1, 140710575456752, 0x00007ff9bbddc1f0, 48);
	(0x3fd0, 1, 3, 140710575456768, 0x00007ff9bbddc200, 0);
	(0x3fd5, 1, 1, 140710575456784, 0x00007ff9bbddc210, 16);
	(0x3fdc, 1, 1, 140710575456800, 0x00007ff9bbddc220, 32);
	(0x3fe1, 1, 1, 140710575456816, 0x00007ff9bbddc230, 48);
	(0x3fed, 1, 3, 140710575456832, 0x00007ff9bbddc240, 0);
	(0x3ff2, 1, 1, 140710575456848, 0x00007ff9bbddc250, 16);
	(0x3ff9, 1, 1, 140710575456864, 0x00007ff9bbddc260, 32);
	(0x3ffe, 1, 1, 140710575456880, 0x00007ff9bbddc270, 48);

ITER 2 - 16:
	(0x3f81, 2, 3, 140710575456896, 0x00007ff9bbddc280, 0);
	(0x3f85, 2, 1, 140710575456912, 0x00007ff9bbddc290, 16);
	(0x3f96, 2, 1, 140710575456928, 0x00007ff9bbddc2a0, 32);
	(0x3f9e, 2, 1, 140710575456944, 0x00007ff9bbddc2b0, 48);
	(0x3fa8, 2, 3, 140710575456960, 0x00007ff9bbddc2c0, 0);
	(0x3fb0, 2, 1, 140710575456976, 0x00007ff9bbddc2d0, 16);
	(0x3fbe, 2, 1, 140710575456992, 0x00007ff9bbddc2e0, 32);
	(0x3fc6, 2, 1, 140710575457008, 0x00007ff9bbddc2f0, 48);
	(0x3fd0, 2, 3, 140710575457024, 0x00007ff9bbddc300, 0);
	(0x3fd5, 2, 1, 140710575457040, 0x00007ff9bbddc310, 16);
	(0x3fdc, 2, 1, 140710575457056, 0x00007ff9bbddc320, 32);
	(0x3fe1, 2, 1, 140710575457072, 0x00007ff9bbddc330, 48);
	(0x3fed, 2, 3, 140710575457088, 0x00007ff9bbddc340, 0);
	(0x3ff2, 2, 1, 140710575457104, 0x00007ff9bbddc350, 16);
	(0x3ff9, 2, 1, 140710575457120, 0x00007ff9bbddc360, 32);
	(0x3ffe, 2, 1, 140710575457136, 0x00007ff9bbddc370, 48);

ITER 3 - 16:
	(0x3f81, 3, 3, 140710575457152, 0x00007ff9bbddc380, 0);
	(0x3f85, 3, 1, 140710575457168, 0x00007ff9bbddc390, 16);
	(0x3f96, 3, 1, 140710575457184, 0x00007ff9bbddc3a0, 32);
	(0x3f9e, 3, 1, 140710575457200, 0x00007ff9bbddc3b0, 48);
	(0x3fa8, 3, 3, 140710575457216, 0x00007ff9bbddc3c0, 0);
	(0x3fb0, 3, 1, 140710575457232, 0x00007ff9bbddc3d0, 16);
	(0x3fbe, 3, 1, 140710575457248, 0x00007ff9bbddc3e0, 32);
	(0x3fc6, 3, 1, 140710575457264, 0x00007ff9bbddc3f0, 48);
	(0x3fd0, 3, 3, 140710575457280, 0x00007ff9bbddc400, 0);
	(0x3fd5, 3, 1, 140710575457296, 0x00007ff9bbddc410, 16);
	(0x3fdc, 3, 1, 140710575457312, 0x00007ff9bbddc420, 32);
	(0x3fe1, 3, 1, 140710575457328, 0x00007ff9bbddc430, 48);
	(0x3fed, 3, 3, 140710575457344, 0x00007ff9bbddc440, 0);
	(0x3ff2, 3, 1, 140710575457360, 0x00007ff9bbddc450, 16);
	(0x3ff9, 3, 1, 140710575457376, 0x00007ff9bbddc460, 32);
	(0x3ffe, 3, 1, 140710575457392, 0x00007ff9bbddc470, 48);

ITER 4 - 16:
	(0x3f81, 4, 3, 140710575457408, 0x00007ff9bbddc480, 0);
	(0x3f85, 4, 1, 140710575457424, 0x00007ff9bbddc490, 16);
	(0x3f96, 4, 1, 140710575457440, 0x00007ff9bbddc4a0, 32);
	(0x3f9e, 4, 1, 140710575457456, 0x00007ff9bbddc4b0, 48);
	(0x3fa8, 4, 3, 140710575457472, 0x00007ff9bbddc4c0, 0);
	(0x3fb0, 4, 1, 140710575457488, 0x00007ff9bbddc4d0, 16);
	(0x3fbe, 4, 1, 140710575457504, 0x00007ff9bbddc4e0, 32);
	(0x3fc6, 4, 1, 140710575457520, 0x00007ff9bbddc4f0, 48);
	(0x3fd0, 4, 3, 140710575457536, 0x00007ff9bbddc500, 0);
	(0x3fd5, 4, 1, 140710575457552, 0x00007ff9bbddc510, 16);
	(0x3fdc, 4, 1, 140710575457568, 0x00007ff9bbddc520, 32);
	(0x3fe1, 4, 1, 140710575457584, 0x00007ff9bbddc530, 48);
	(0x3fed, 4, 3, 140710575457600, 0x00007ff9bbddc540, 0);
	(0x3ff2, 4, 1, 140710575457616, 0x00007ff9bbddc550, 16);
	(0x3ff9, 4, 1, 140710575457632, 0x00007ff9bbddc560, 32);
	(0x3ffe, 4, 1, 140710575457648, 0x00007ff9bbddc570, 48);

ITER 5 - 16:
	(0x3f81, 5, 3, 140710575457664, 0x00007ff9bbddc580, 0);
