ITER 0 - 16:
	(0x3f81, 0, 3, 140710576248384, 0x00007ff9bbe9d640, 0);
	(0x3f85, 0, 1, 140710576248400, 0x00007ff9bbe9d650, 16);
	(0x3f96, 0, 1, 140710576248416, 0x00007ff9bbe9d660, 32);
	(0x3f9e, 0, 1, 140710576248432, 0x00007ff9bbe9d670, 48);
	(0x3fa8, 0, 3, 140710576248448, 0x00007ff9bbe9d680, 0);
	(0x3fb0, 0, 1, 140710576248464, 0x00007ff9bbe9d690, 16);
	(0x3fbe, 0, 1, 140710576248480, 0x00007ff9bbe9d6a0, 32);
	(0x3fc6, 0, 1, 140710576248496, 0x00007ff9bbe9d6b0, 48);
	(0x3fd0, 0, 3, 140710576248512, 0x00007ff9bbe9d6c0, 0);
	(0x3fd5, 0, 1, 140710576248528, 0x00007ff9bbe9d6d0, 16);
	(0x3fdc, 0, 1, 140710576248544, 0x00007ff9bbe9d6e0, 32);
	(0x3fe1, 0, 1, 140710576248560, 0x00007ff9bbe9d6f0, 48);
	(0x3fed, 0, 3, 140710576248576, 0x00007ff9bbe9d700, 0);
	(0x3ff2, 0, 1, 140710576248592, 0x00007ff9bbe9d710, 16);
	(0x3ff9, 0, 1, 140710576248608, 0x00007ff9bbe9d720, 32);
	(0x3ffe, 0, 1, 140710576248624, 0x00007ff9bbe9d730, 48);

ITER 1 - 16:
	(0x3f81, 1, 3, 140710576248640, 0x00007ff9bbe9d740, 0);
	(0x3f85, 1, 1, 140710576248656, 0x00007ff9bbe9d750, 16);
	(0x3f96, 1, 1, 140710576248672, 0x00007ff9bbe9d760, 32);
	(0x3f9e, 1, 1, 140710576248688, 0x00007ff9bbe9d770, 48);
	(0x3fa8, 1, 3, 140710576248704, 0x00007ff9bbe9d780, 0);
	(0x3fb0, 1, 1, 140710576248720, 0x00007ff9bbe9d790, 16);
	(0x3fbe, 1, 1, 140710576248736, 0x00007ff9bbe9d7a0, 32);
	(0x3fc6, 1, 1, 140710576248752, 0x00007ff9bbe9d7b0, 48);
	(0x3fd0, 1, 3, 140710576248768, 0x00007ff9bbe9d7c0, 0);
	(0x3fd5, 1, 1, 140710576248784, 0x00007ff9bbe9d7d0, 16);
